"protein_group","number_of_peptides_Cu complex_1","number_of_peptides_Cu complex_2","number_of_peptides_Cu complex_3","number_of_peptides_Cu complex_4","number_of_peptides_Cu complex_5","number_of_peptides_Cu complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn complex_1","number_of_peptides_Mn complex_2","number_of_peptides_Mn complex_3","number_of_peptides_Mn complex_4","number_of_peptides_Mn complex_5","number_of_peptides_Mn complex_6","abundance_Cu complex_1","abundance_Cu complex_2","abundance_Cu complex_3","abundance_Cu complex_4","abundance_Cu complex_5","abundance_Cu complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn complex_1","abundance_Mn complex_2","abundance_Mn complex_3","abundance_Mn complex_4","abundance_Mn complex_5","abundance_Mn complex_6","log_fold_change_genotypeDMSO.genotypeCu.complex.","differential_abundance_pvalue_genotypeDMSO.genotypeCu.complex.","differential_abundance_qvalue_genotypeDMSO.genotypeCu.complex.","log_fold_change_genotypeMn.complex.genotypeCu.complex.","differential_abundance_pvalue_genotypeMn.complex.genotypeCu.complex.","differential_abundance_qvalue_genotypeMn.complex.genotypeCu.complex."
"Q9NQP4",NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,1,16.4644139051553,16.1869734514823,15.7800507829719,16.168792650735,15.5500796840884,16.4330433664032,18.5669131678177,18.2381245925445,18.2736604840033,18.3734993813551,18.157532600476,18.2903911737516,17.4500234337722,17.1118998415127,17.4055653985467,17.981043202577,17.414345316206,17.5726635546104,1.52008497211421,1.83243173583892e-14,1.25354989201708e-13,1.21034173099769,1.27306128682283e-11,1.68874041417768e-10
"O15042",NA,NA,1,NA,NA,NA,8,7,5,5,4,6,NA,3,2,1,4,NA,16.3367947868499,16.4908960259316,16.2880523819019,16.7508733929298,15.8293462430878,15.5819035608754,17.5363941235659,17.1248750961563,16.8851082766958,17.299297997808,17.1494630579319,17.3603561890136,16.3441959827877,16.5002561876599,16.3175131921435,17.020885337609,16.3891512648562,16.1776010105775,0.414149429503941,2.85541816501526e-05,5.82698893335316e-05,0.0115829763879671,0.907674697511371,1
"P02786",13,19,14,17,21,19,1,NA,1,1,3,5,5,9,6,9,11,7,18.0137884528096,18.7259043313134,17.8617574908098,18.5480345887032,18.5674548470334,18.470354359495,16.0975037936565,15.7023871748549,16.0859541354065,16.0604522045181,16.3820879843104,16.7363764921325,16.9204280191493,17.124607257488,16.843217442657,18.2108457208966,17.3684708323095,17.0432407608607,-2.85339363224506,3.33370104877582e-33,1.51463247650041e-31,-1.32766824694919,1.7557074301728e-10,1.98842148105891e-09
"P07954",11,11,10,13,11,10,9,9,10,9,10,10,10,10,12,8,11,12,18.524673893991,19.4193013550103,18.241749641801,19.3437219901899,19.0681828373715,18.6308327867155,19.004019450931,18.626218317522,18.3494983397552,18.5084304259046,18.3473165541511,18.5802372748687,18.8831100570787,18.3739246914226,18.1557045613309,19.4373082729004,18.6567648503697,18.561446269253,-0.841042955508411,5.5211772105221e-06,1.24835631201288e-05,-0.38838805705823,0.030433840411658,0.0556948558143223
"Q9Y490",22,3,22,NA,NA,7,24,25,28,26,22,21,18,17,18,17,17,17,17.7398689456943,15.3539772346149,17.6392986493612,15.6547485563606,15.6465533805441,16.1622905360815,18.0838547081224,17.7493449495768,17.8287667129365,17.9240241668929,17.7869028071052,18.1751033982376,17.5371530450685,17.450319162425,17.3820191367623,18.23833136591,17.4015810940787,17.3056797845381,0.711368952153784,0.0113218259842437,0.0163762642215544,0.764929659690622,0.00657953715215396,0.0151898737522324
"Q96S52",NA,2,1,3,2,3,NA,NA,1,NA,2,NA,1,2,3,1,2,3,16.9625041429591,17.4079184936882,16.531309655639,16.8373003538143,16.834252085731,16.5649349284322,16.2058453153572,16.0944828500033,15.8017492194232,15.7959720399956,16.7023783251413,16.6589841894927,16.8239814760323,16.7642589743833,16.8314457655553,17.3404099331584,16.8809508585995,16.9176505774354,-1.36918160373358,1.55747595366081e-12,8.29734977083013e-12,-0.183231745453049,0.1613751480985,0.231874165520346
"P35221",2,NA,2,NA,NA,NA,4,2,2,6,5,4,NA,NA,NA,NA,NA,NA,17.0052578430901,NA,16.9723596430241,15.7225448890068,15.5833893940508,16.0152758461241,17.1797753046508,16.9682874184118,16.4656579391294,17.2487713533533,17.3333625345097,16.8756287796188,16.5754298997178,16.3650198034886,16.410253358107,17.1515442929503,16.4232879562683,15.9522191597346,1.87177356593701e-20,0.999999999879913,1,-3.23948321834088e-20,0.999999999789309,1
"Q96C19",NA,NA,NA,NA,NA,NA,2,3,NA,1,NA,NA,NA,NA,1,1,3,2,16.4485048710304,16.0361839390275,NA,NA,NA,16.5580514239298,NA,16.8298317972681,16.0753428058074,17.7707400520955,NA,18.0546481921765,18.1215714747537,16.9996407473033,17.5322540664599,17.8486115218684,17.3006561382459,17.3852193808764,0.423954636225186,0.137367810589937,0.173456574672558,0.882143845528152,0.00184956088047661,0.00508100191535964
"Q9GZT9",2,NA,NA,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,5,NA,16.2074022834461,16.3366394287175,16.1840953626654,16.9023560667662,16.3341341235049,16.532183464285,16.6106743545388,16.2861656888833,15.3816199218787,15.931235738345,16.3952242481258,15.3323980675446,16.1291013701807,15.8150560495272,15.6261251768583,16.5442476527242,15.6091556416414,15.8259740195404,-0.729738161824682,0.00172506346701343,0.00275826881047035,-0.533147068301629,0.00293187261369865,0.00761842656438361
"O15427",4,4,3,2,4,3,2,2,2,3,2,2,2,4,2,2,2,4,19.04376858185,18.8913208844166,18.5594643066104,18.8190114741496,18.7033711462352,18.5526671734432,16.9459945806735,16.6821050964197,17.6128232864936,17.0702767812747,18.222381035001,18.0357543127481,18.3014230040425,18.3728362202339,18.1085986430754,18.8819031126272,18.4733176381768,18.3210986019897,-1.94512184488195,2.21292877850682e-09,7.91787889843152e-09,-0.538882878939502,0.0283207896703348,0.0525082749022965
"P0DMV8,P0DMV9",11,11,11,11,10,9,12,10,11,12,11,12,10,11,11,11,11,11,18.9448903487273,17.8655268986211,18.701942606618,18.1289362969452,18.097654251317,18.0543623254013,19.305972396216,18.9362724622748,18.9727721604195,19.0994871932829,18.6284063410109,19.126864500118,18.200290944505,18.3316464926305,18.2901096709911,19.1281238948319,18.8199309865127,18.6109846951937,0.0816408486891496,0.309986944055531,0.37026218317744,0.018071004587926,0.823147768236098,0.930498018613405
"Q8TAE8",NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2266596332767,NA,17.3126718360014,16.7512085857667,16.9550873269482,16.9707632209759,17.5985022598924,NA,NA,NA,NA,NA,15.8797375280033,NA,NA,NA,16.4830945751646,-0.455999132615209,0.108915224685779,0.139876192556456,-0.860781341789223,0.00675406357388711,0.0155479450056596
"P26641",10,9,10,7,6,9,16,18,14,15,16,17,13,13,14,10,13,15,17.0147699525791,15.8837558812898,16.8203217177985,16.1400975351478,15.9199228842029,16.3358550408686,18.5103476262407,18.0088389498947,18.0266149404391,18.1411369678124,18.2691475169406,18.5552157499711,17.8217575726396,17.7071855127283,17.7972963927153,18.5900288261553,17.886883644372,17.8355151821576,1.34761537629651,1.31965379724125e-19,1.68133668981849e-18,1.3405703672608,2.1911186877545e-19,7.20667940999803e-18
"P31350",1,NA,2,NA,NA,1,4,4,3,5,2,2,NA,1,NA,NA,NA,NA,16.1919085360816,15.772215495291,17.3145816379158,16.5707262316958,15.5753549368478,16.1010244091982,17.9248107728343,17.6538287844464,17.6279816747012,17.8214920304585,17.2453232665419,17.7452915887753,15.8943071039905,15.9555661954175,16.0135096722142,16.9129738956889,15.9558588435497,15.9627872395574,0.705197048823293,0.000425013776717705,0.000743233968290657,-0.407476355393728,0.0395308199128613,0.0696357289880997
"Q7Z5L9",NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,16.8637278619499,NA,15.5774416567708,15.4933320302698,NA,NA,17.8380486639356,NA,17.3135844431841,18.6890171317645,NA,17.0371053703813,16.1332466062893,NA,16.3209135229596,NA,NA,NA,0.693403153721064,0.0118020487034178,0.0169972088982238,0.212651708131387,0.46940038024076,0.576781122291742
"P19404",6,5,5,5,5,5,NA,NA,5,2,1,NA,3,4,5,4,3,4,18.1506064703454,18.8034904706982,18.1247824813494,18.4654104959308,18.7128546772933,18.1355239124027,16.4936112637606,16.4388315431036,17.4693959519151,17.0895046709711,17.9962477329481,17.8152516469182,17.5733318795932,17.7256657361897,17.5133338988367,18.0244274668594,18.0947981351807,17.6348627995879,-1.69473268599758,1.51411151787669e-08,4.78284250576592e-08,-0.803576375141953,0.00333855833334008,0.0085004014404555
"P54802",1,3,NA,3,4,NA,NA,NA,NA,NA,NA,NA,3,NA,2,1,1,3,16.7669274561448,17.5906737606983,17.1723638690109,17.663074841711,17.58127364692,16.7487484913604,17.0119058753343,NA,16.8777459140051,16.5566061504883,16.3723214736667,16.8403180665436,17.6818957014727,17.3872429797241,17.2128266060304,18.2183221450697,17.2209372125187,17.2508572617702,-1.28497042376175,1.12671337199322e-09,4.21948024845983e-09,-0.0609829123762314,0.680154619171628,0.794285622875038
"P13995",NA,NA,1,NA,NA,1,3,4,1,2,2,2,NA,NA,NA,NA,2,1,17.2168097696023,17.0454972468173,16.8506233521176,17.0043024212559,16.5508009435916,17.0992452097088,18.5038277707162,18.3667504719052,17.9756049221551,18.3335997099269,18.179092178582,18.2412984090468,16.8442153028297,16.8019668318441,16.8422363904153,17.949915562407,17.0654434587316,16.973537142281,0.689762753885479,3.77737367633557e-09,1.29203349611023e-08,-0.069124950042086,0.464323521112202,0.571420181543001
"P46777",3,4,5,5,3,4,9,10,7,6,7,9,4,4,3,3,3,3,16.6128521808612,15.4780002889342,16.7598422953709,15.8806373884897,15.7196423673517,16.3037415041039,19.1074294649325,18.7639256702132,18.4177636582311,18.5666909120194,18.6390346225386,18.7963695196501,16.4474570328251,16.5017143304694,16.3363540325613,16.868916650563,16.3983907356701,16.2336228029891,1.84203012947873,7.05790994465214e-24,1.34884501164463e-22,0.0469793046935685,0.756489877783184,0.864508422921193
"P17858",5,NA,4,2,NA,3,10,7,9,8,8,8,6,5,5,5,4,4,17.1787342215649,15.9102170436296,16.9629292975471,15.5861099577989,15.3824487922076,16.0241902930268,18.8669075938028,18.4710933078875,18.0945029477082,18.2299705071978,18.2206035467451,18.5339987567452,17.557506913781,17.0622895565246,17.2610932421994,17.9488602563158,17.1655269800136,17.0812322053377,1.48836663535349,1.60568749047754e-11,7.67161801005935e-11,0.898399563871236,1.47308965136066e-05,7.05965719145097e-05
"Q9BX93",NA,1,1,1,1,NA,NA,NA,NA,1,1,NA,1,1,1,1,3,2,17.2259566489749,18.3322019410939,16.8398446408519,18.1912671911505,18.2786112291589,17.4478351209739,17.6016516557208,17.228924279349,17.0934988669936,17.405451392298,17.3840507953579,17.5256120202294,17.9680486095537,17.3397483375861,17.3820334582291,18.3437360566289,17.3403290967172,17.2548130478052,-1.05171799527439,1.81650144508773e-05,3.82020565918886e-05,-0.444508017594404,0.0308920551917174,0.0564044292892118
"Q9UBQ7",NA,NA,NA,NA,NA,NA,7,8,6,6,4,6,4,3,3,2,3,3,16.9987872421752,16.374821119538,16.9836919710435,16.8710151083602,16.9170282913612,16.9833856879542,18.9766069250194,18.8088950519161,18.7288101287509,18.7703557174976,18.3142062545422,18.7583793016366,17.7338626732247,17.3355909807428,17.3314885234456,18.150639719109,17.4286322999727,17.4741389976432,1.18403477741889,9.73156725129791e-12,4.72451893974302e-11,0.551218605177107,0.000140925096488646,0.000536562949723563
"P55060",17,NA,17,3,1,9,23,22,22,21,21,20,14,12,15,10,14,13,18.4280388301432,15.7841377016211,18.5092409916747,16.1868271736353,16.0022158179844,16.8227599487721,19.4427024984092,19.2181583873284,19.128308554875,19.2945955877357,18.8424007229751,19.261728617913,18.052004897243,18.0197907678552,17.9941211105313,18.7733697588531,17.8593639573096,18.0857190977843,1.4053680096207,4.28179166075106e-05,8.54938169078652e-05,0.793471819431871,0.0199882987916264,0.0391451104393923
"P51452",3,NA,5,NA,NA,2,NA,2,2,2,1,2,2,2,NA,NA,1,NA,17.6427777907494,NA,17.739456928202,16.0898646207643,16.4296092362316,16.1715107616605,17.5437175739741,17.4659539957895,17.5729067113252,17.5550207755185,17.4125257646433,17.6910486519168,16.7080564807463,16.9294123166875,16.7598456833522,17.6407438255897,16.9457000375915,16.9086486908912,6.99220832710708e-21,0.999999999916998,1,-1.16480165772812e-20,0.999999999863714,1
"Q9Y277",8,7,8,5,5,8,NA,NA,7,4,8,7,5,4,5,6,6,5,19.8864231864058,17.9782291681087,19.7052471238805,18.0355426433244,17.9758899583295,18.428526252485,16.6876616994289,16.1630917956388,18.3700934338461,17.2431894355346,19.0608681470038,18.8818143434096,17.1567479165442,17.9374915378514,16.9444381830986,18.9083668243116,17.7861693006974,17.0415800654423,-1.25315873099404,0.0067520789816618,0.0100364235727417,-1.01538897636797,0.025665814381403,0.0484843590320602
"P12259",7,11,7,7,7,8,NA,NA,NA,1,NA,NA,7,6,5,5,7,5,19.6138104564339,20.1215439083772,19.353857456734,19.7356289521117,19.5755620692607,19.3099474738992,14.2749729934369,14.1757801957864,15.2541028986672,14.6603584888532,14.5181412725195,14.6718747711746,18.6745896572574,18.4568240580696,18.3616942996576,19.277486918167,18.8357202809425,18.4757129654195,-3.4845682703383e-08,0.999747460532806,1,-2.82654358510911e-09,0.999972117577312,1
"Q14554",6,8,6,8,6,6,4,3,3,2,2,2,8,6,5,5,6,6,17.498168178291,18.1803178883174,17.3103816441505,17.9815125746216,17.7488063335316,17.6246926581116,16.7992822585515,16.7583662639767,16.2848139549394,16.5595073956681,16.2644980584006,16.7077857998587,17.693215445794,17.2765859066333,17.0551163634859,18.2470621971089,17.3506768729365,17.3042820771513,-1.81004164441226,8.25105412350261e-23,1.39919284009819e-21,-0.544731517143344,0.000109132021988925,0.000431673780552569
"Q08211",22,3,22,10,9,21,29,28,28,28,26,29,23,25,22,24,24,24,17.9920354710685,15.7419966803403,18.0398385143396,16.3288856451352,16.1685992429446,16.9498777943442,18.7575630172324,18.3826875239618,18.0914110360919,18.4662810198169,18.3724646209768,18.7275554001934,18.0933495408735,17.9268322840994,17.916734777603,18.691019469972,18.085339890055,17.9448171502078,0.000105322027762581,0.978607813849239,1,0.000108731686904188,0.977942801563641,1
"P09496",NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,17.5933951889318,16.9948071224944,16.9452811654393,17.0066650594302,16.6961871493096,17.4086788578076,19.6251042221865,19.2073503031412,18.8068451860008,18.7139502669516,18.4399627229033,19.0890728130352,18.4473092245074,18.2094228454033,17.3852479858537,19.3314330200098,18.1593945235546,18.2500559658199,1.19267754275225,9.90833026162706e-07,2.4957384173638e-06,0.991055745769627,1.52104049495913e-05,7.24885093298358e-05
"Q52LJ0",1,NA,3,NA,NA,NA,4,1,1,3,2,2,1,3,1,2,1,NA,16.2601265956399,NA,NA,NA,15.0701542901237,14.6929958860008,17.1328789281363,16.7701640280313,16.4893483646563,16.6597682718745,16.7097888290177,17.0303479209567,16.74441875691,16.3926927768354,16.100075208209,17.2425744728355,16.2388888614347,16.0070497173786,1.02164721204933e-19,0.999999999449723,1,9.20057638332278e-20,0.999999999507831,1
"P35232",13,14,13,12,10,13,7,7,10,8,12,9,11,11,11,12,13,11,20.8332443518117,20.7076744054174,20.4224380252933,20.5048140573159,20.5725564023056,20.4221475987742,17.001168851895,17.0719553071482,18.7790852300619,18.0736034576894,19.3872016412034,19.2737918625856,19.6881388375437,19.8680738071171,19.617651988977,20.5647339879205,20.2924145706746,19.9702119546767,-2.83308159065771,8.78985336634347e-13,4.83241253565184e-12,-0.756333582381942,0.040979861487311,0.0716103693093404
"P35606",9,2,8,2,2,7,20,20,16,15,15,18,13,8,11,10,10,11,18.0939515475254,16.4622777938312,17.9232747357137,16.9487915019024,16.3830114939024,17.0681641949018,19.0218028530378,18.6113815713579,18.4911562773463,18.6574375163198,18.5082489554362,18.7808575925048,18.1734062213264,18.0075558977327,17.9321503559267,18.7466203187507,18.1006878622265,17.9582471045612,0.836119771753195,6.34814483796511e-06,1.42330845156611e-05,0.705856114415141,0.000128612751744728,0.000498867878738435
"P62258",5,4,4,6,4,6,9,7,10,7,9,8,6,6,6,7,6,5,17.5458183370396,16.7418218585227,17.044955769055,17.2617385192221,16.7732489238081,17.4068556360621,19.8668443972112,19.6036589065226,19.5414682926807,19.6993934677631,19.2637802609555,19.6623729093033,18.5175252067184,18.2649964176752,18.2661096125179,19.1188497266681,18.4388384031548,18.328171429133,1.81522351256523,3.43824152735805e-31,1.14990077748308e-29,1.19256560614322,8.857903707381e-19,2.72664446172074e-17
"P49257",7,10,8,10,7,6,3,3,2,2,4,5,6,5,5,5,5,6,18.5003090274627,18.5255630247231,18.0991498129772,18.3839094517296,18.0468998614302,18.2809971637371,17.1025738195708,16.4185864532087,16.8048981523884,16.6006961465064,17.4547807156816,17.642376301568,18.0051292075108,17.9002045380332,17.764535587057,18.685338213577,18.1929222124053,18.028452052604,-1.82279571191477,9.03676051717e-26,1.99637791975646e-24,-0.452389850738157,0.0012514525375171,0.00364210611221642
"O00273",NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,16.577954684874,NA,NA,NA,NA,NA,17.8922202675127,17.3357845723871,17.6573496269991,17.8400851370122,17.3199376471383,17.5438977044561,16.3309811025567,16.0631818817134,16.5875707226508,16.9888332309318,16.5783798940329,NA,0.325132170435156,0.131298787292447,0.166403936736954,-0.2968056546446,0.175586680543967,0.2490157235594
"P31040",NA,3,NA,1,NA,NA,6,6,5,5,8,7,4,5,6,5,5,4,15.9358051253173,16.4058991388504,15.7608553659405,16.5128088366902,16.0773627586549,15.761126096881,18.2640264020841,17.9116006519234,17.854458328169,18.1214951475408,18.2369327862823,18.4426009967451,16.8964201303897,16.6876273409602,16.7070001549872,17.8162859904029,16.6286411723489,16.8112011229254,1.35118449129183,5.93702076921749e-19,6.7435594397527e-18,0.566496605842532,2.63481617212751e-05,0.000121424061982306
"P05091",2,4,NA,4,3,5,21,20,20,19,19,21,7,8,7,12,9,9,15.7871229225971,15.5899015563506,15.84448417706,15.7590045616593,15.4407069859288,15.810339151036,19.8993224563149,19.6008928530896,19.202808699289,19.5319640949138,19.3044012457415,19.5173635178173,17.0265934648215,16.7458109093832,16.7331991702594,17.9336356217097,16.8784617006787,16.5363041691199,3.14332420683401,7.46588674053189e-92,4.4944638178002e-89,0.998117525768086,4.38178084924759e-22,1.91284651255336e-20
"P52758",NA,5,2,4,3,4,NA,1,NA,NA,NA,1,NA,NA,NA,2,2,NA,17.0962334093241,17.5904376043909,16.1407170288044,17.5902588048368,17.5234922503019,16.812244412837,16.9341997034693,16.4080143574163,16.5039724731788,16.382747215581,16.3854154064205,16.4932897395294,16.6313850844091,16.2776542484172,16.5642157837474,17.1831874145492,16.7161439812577,16.5312154794991,-1.12139573115749,1.00204755090614e-06,2.51871659977243e-06,-0.662773032220389,0.00194591907895427,0.00530926330519227
"Q9Y315",NA,5,1,2,2,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,16.4775466147048,17.3382848797768,16.259475452249,17.1136866269783,17.0063508810454,16.5294576662667,17.4474736285336,17.1268737703798,16.9499967218371,17.0610513130602,16.7312470023992,17.1666158312677,16.4787713647584,16.6967024514847,16.71283432696,17.5358284792006,16.6171545323109,16.601512733082,-0.208053521616076,0.0973361773558999,0.12594600487534,-0.133463057631718,0.276304767533749,0.366523617043387
"P22102",12,NA,13,2,NA,4,15,17,18,11,11,13,10,9,11,11,11,9,17.6099388839625,14.9013484350209,17.6901769562415,15.663452810819,15.5979907213466,15.9186132506647,18.6201301400801,18.3747583304776,18.3510436621162,18.4421332688891,17.9933715788907,18.457597042656,17.1992349835368,17.371682930772,17.1024039497335,18.0786426431145,17.1660088791932,17.0584312427302,1.30743962081539,4.58044627586614e-05,9.10793941559511e-05,0.744508943137856,0.0190662546051275,0.0375537959859813
"P46926",NA,NA,NA,NA,NA,NA,5,4,5,5,3,3,3,3,3,4,3,2,NA,16.1474197627863,NA,16.0226524418564,15.983864736473,15.9379724584795,18.4218239101553,18.0890890995842,18.096428091024,18.0421657486642,17.8995143274126,18.3114907653798,17.4444886557545,16.780592060561,17.2147382286952,17.9574583659058,17.4090353798743,NA,1.3537926294465,4.65797571859441e-13,2.63295904468905e-12,1.08307703386014,1.57550829570906e-10,1.80133115142735e-09
"Q9BZE9",NA,NA,NA,NA,NA,1,4,7,6,4,5,5,NA,NA,NA,3,3,NA,16.7635691967226,15.2910743502029,16.8705670343527,16.1961070976246,16.1256305959917,16.3188879336325,18.3820935600734,17.9763766195497,17.8635249090832,18.2235601247196,17.9678926379878,18.3854709801881,16.8983297254415,16.9515558072446,16.6572311961163,17.7428068498012,17.2074079035604,16.9507549022531,1.04474195072111,8.59813325539926e-18,8.4507366853067e-17,0.355149830889718,0.000306920592820306,0.00106183911147198
"Q14974",13,4,12,5,3,6,22,22,20,22,20,22,17,15,16,13,17,14,17.4812997888301,16.0803322126536,17.5973717167371,16.1065160518257,16.0096275687425,16.3472502612706,19.0083748336177,18.7436750390991,18.4213570595216,18.6395258168169,18.4961397388509,18.7279890753163,18.0334852538156,17.8863345314639,17.875506922969,18.6064687779326,17.9745810789744,17.9319012224577,1.41590037068738,2.17000455639978e-10,9.13343332364803e-10,1.18989934095568,7.04974681207693e-08,5.27303492080894e-07
"P62829",3,1,2,1,2,2,4,5,4,5,4,4,3,1,2,4,3,3,16.8355220450108,14.8095511445872,16.7750572859987,15.3347610662795,15.1284269547083,15.5710879659621,18.3782170029251,18.1011001927481,18.0312980561349,18.1656078505583,17.9480533812362,18.4451168085522,15.7999101131757,15.046120767289,15.7253845657969,17.2724299962906,15.8053161769393,15.4870080113168,1.32860843311128,2.98769644418051e-12,1.54717699733047e-11,-0.38613995552572,0.0359124542310923,0.0643956703576196
"P05386",2,2,2,2,1,2,4,3,2,2,2,3,2,2,2,2,2,2,18.9870249268682,18.271122402035,18.936572712614,18.248528008667,18.1846372979481,18.513991961704,21.7744591600957,20.9310872373822,20.5579339238149,20.7477667447495,20.8301179008731,21.3659777492039,19.9874813995281,20.0801790523113,19.8066238322127,20.6428056418959,20.0709017166714,20.0851384148166,1.85570121618743,2.24462998374456e-16,1.9099183748611e-15,1.30324534352871,1.62102315583865e-11,2.11525902020032e-10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.714452214467,NA,17.195530471167,15.6232422265204,15.3326588268079,NA,16.776321260702,15.970601053476,NA,16.9530690249627,16.7139473143575,NA,NA,15.6890024750857,16.4243283494294,16.8110048413606,16.7715038150248,NA,-1.53302721052851e-19,0.999999999603167,1,4.56817965521958e-20,0.99999999988175,1
"Q9UQ80",7,4,7,5,5,5,10,9,9,10,11,11,6,6,6,7,6,7,18.5961574752363,16.516821472717,18.4301312171234,16.8527362562616,16.5164759307239,17.116420849276,19.5640780638343,19.3414588854555,18.9887982622083,19.4051722096455,19.2806623132162,19.5682765322163,18.1678344080031,18.3396063715057,18.060729125776,19.0796412459125,18.3643373695653,18.4062535041337,1.30297542830262,2.27918689877013e-06,5.48828205223848e-06,0.771354664310155,0.00377120232416332,0.00945162503164523
"P35637",1,2,2,2,2,1,5,6,2,3,4,4,2,3,2,3,3,2,17.1280792484341,16.3834296500854,16.314142828058,16.4355747888646,16.0450957911924,16.5631166805604,19.3422260412554,18.949411354611,18.2992218781863,18.4166958086916,18.3691606700074,19.1253673266947,17.6016489892012,17.2939829834079,17.4300864024988,18.1803948791549,17.3250095875883,17.5089338884104,1.56129627047915,3.13098614492592e-19,3.71399735811902e-18,0.868012547036589,1.42215876414424e-09,1.40734702742672e-08
"P07741",4,NA,4,2,NA,2,10,6,7,8,7,8,4,4,5,3,4,3,17.5200693473866,16.4493010690437,17.5256569048747,16.8634721563681,16.9289131076999,17.1860213462183,19.5090056832735,19.1810185503527,19.3972708708301,19.4608806034309,18.8701633832805,19.3005296230593,18.1662733149732,17.9163018763217,18.0901328267661,18.6560146215272,18.1349884611705,17.91485969627,1.59152469845706,2.8190322958609e-19,3.39411488421653e-18,0.895581317160795,2.6424267579846e-09,2.4783072835629e-08
"Q92616",15,NA,19,NA,NA,2,22,27,21,25,16,24,9,10,7,8,10,10,16.7492300183737,NA,16.8202209217001,14.8800292419228,14.6713949238446,15.1290203214279,17.4858726625655,17.2381834111046,16.9031657945074,17.2178474285509,16.8805797005188,17.2473217890232,16.4445340109941,16.2071327494869,16.3250666947328,16.9013810635571,16.3367808446089,16.1813461110989,0.602143514465514,0.0129480911901501,0.018547890294992,0.375961025161414,0.123712565510762,0.184607750025692
"P22087",6,3,8,3,6,8,7,8,8,6,8,11,8,7,8,7,7,8,18.1951004519855,16.7807256449693,18.2001545917899,16.9618288871083,16.5872481490658,17.5878365052274,18.8100498466729,18.4476419848669,18.1245058629483,18.5555918053995,18.8927350577815,19.0127957491407,18.1885773303271,18.1804719743962,18.1082905625768,19.2201415740313,18.5028746156924,18.2215404522779,0.535382450620667,0.0135350153942384,0.019331148914191,0.671025897087312,0.00220821066146504,0.00597062364659634
"P00505",13,20,12,20,20,16,13,13,11,12,13,10,13,13,13,14,14,13,18.6841737666727,19.654442349694,18.4595095599418,19.5554830687248,19.3436383522765,18.8951702427012,18.8096119415643,18.5256853965176,18.2492284218629,18.6643129811235,18.4091294948574,18.5124865880913,18.6811363997444,18.3230666471121,18.2358901140841,19.2415041166597,18.6319677486102,18.4594729144523,-1.11903738470823,2.94760854618541e-08,8.90569809186256e-08,-0.669651944441749,0.000738319520379224,0.00229031675507819
"O14744",5,4,4,3,4,4,7,8,9,9,7,8,5,7,3,7,3,8,16.5847789978235,15.6774086108963,16.4656259742799,15.879496800058,15.7247957963689,15.8625450529756,18.0831028773299,17.6950117571209,17.717605911351,17.6479775244729,17.3377876396797,17.8854641258358,16.8997377883077,16.8041238559109,16.6462050733082,17.4941378640319,16.8618254375637,16.6320486590229,1.01238542732894,4.82545535244368e-20,6.38444862015626e-19,0.605161736806674,1.36372601970936e-09,1.36429423888424e-08
"Q16555",6,NA,7,1,NA,3,11,10,11,10,8,10,6,6,5,4,5,5,17.7833718022767,16.1235813358474,17.6512746743372,16.2223408279666,16.1740485891518,16.6945980860077,19.0246080247422,18.6892024430145,18.4757849823572,18.7415371775752,18.415434046635,18.7732815441874,17.781404131774,17.75451612956,17.6704902237399,18.5476310116129,17.797148682194,17.7529606671929,1.20940842336616,2.12434262033607e-08,6.53309965487772e-08,0.818846469633439,9.30250927038359e-05,0.00037412604285077
"Q15149",33,NA,34,NA,7,6,19,10,14,20,28,22,22,26,23,20,21,26,17.4646166905965,15.0678757227292,17.3645095462544,15.1282200283317,15.2094146280193,16.0339737820762,17.3051299560913,17.037745513964,17.1130885632756,17.1203641441937,17.2138046110745,17.2452887922092,17.2977903446288,17.291508605909,17.0994681337431,17.9663317419568,17.2023673980412,17.1864669724719,0.330801447472733,0.240415299455959,0.293124071437949,0.758319326487771,0.00724366127890407,0.0165166483671877
