"protein_group","number_of_peptides_Cu complex_1","number_of_peptides_Cu complex_2","number_of_peptides_Cu complex_3","number_of_peptides_Cu complex_4","number_of_peptides_Cu complex_5","number_of_peptides_Cu complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn complex_1","number_of_peptides_Mn complex_2","number_of_peptides_Mn complex_3","number_of_peptides_Mn complex_4","number_of_peptides_Mn complex_5","number_of_peptides_Mn complex_6","abundance_Cu complex_1","abundance_Cu complex_2","abundance_Cu complex_3","abundance_Cu complex_4","abundance_Cu complex_5","abundance_Cu complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn complex_1","abundance_Mn complex_2","abundance_Mn complex_3","abundance_Mn complex_4","abundance_Mn complex_5","abundance_Mn complex_6","log_fold_change_genotypeDMSO.genotypeCu.complex.","differential_abundance_pvalue_genotypeDMSO.genotypeCu.complex.","differential_abundance_qvalue_genotypeDMSO.genotypeCu.complex.","log_fold_change_genotypeMn.complex.genotypeCu.complex.","differential_abundance_pvalue_genotypeMn.complex.genotypeCu.complex.","differential_abundance_qvalue_genotypeMn.complex.genotypeCu.complex."
"Q99832",13,12,14,9,10,10,22,20,16,20,15,20,13,14,12,14,13,14,18.4301557259876,17.4902720448343,18.2837902567685,17.5784593077915,17.5030948238695,17.3609740428638,19.5801428739092,19.3366365723406,19.13795917057,19.3068803566756,19.0184057354268,19.3585314818098,18.5548163863209,18.460541001169,18.4847372607358,19.2740906767456,18.6793300781052,18.4613554134914,0.912633646170424,2.85329221111312e-15,2.12059495196309e-14,0.65402799906392,6.86280027902757e-09,6.10280869257229e-08
"P13674",15,19,14,18,17,17,12,10,11,10,12,11,15,14,14,14,14,15,18.9046709073285,19.5632581417874,18.4070112898795,19.4226887467658,19.2000560902716,18.9817884622043,18.2946703446124,17.881009684616,17.5537865434704,17.9763424109349,17.8285114223553,18.168961113841,18.8757784298943,18.458179616034,18.3882495877286,19.4785519324999,18.6155605850168,18.5503676442376,-1.71939962251869,3.59609948609072e-21,5.28012656250394e-20,-0.553928110629097,0.00108181286016376,0.00320275299291391
"Q9NWV4",NA,NA,NA,NA,NA,NA,NA,2,5,2,NA,4,NA,NA,NA,NA,NA,NA,17.1139086607637,NA,17.4556478795756,NA,NA,16.3432683237491,17.6078225427521,17.6638415214474,17.7078708493196,17.7681260534759,17.0921171186539,17.4398959584324,16.6812730020322,16.2465178513455,16.9910980623875,16.8824342963998,14.9723333629215,16.2735921587712,-0.0939551291429593,0.675844147454183,0.765130562797213,-0.66821674666961,0.00818577145868588,0.0182828253695859
"O76021",11,7,10,8,6,8,15,14,12,13,18,17,15,13,12,14,13,13,17.5352030600681,16.4011552648015,17.6113262186578,16.4510639100485,16.4682976890102,16.9037185758774,18.6681578313631,18.2119465846278,18.0430783281375,18.3954049376895,18.9055340578272,19.0054735624964,18.111229268129,17.8340060861997,17.8799053616839,18.9418824123705,18.1814085633916,17.9956988864647,0.910380738647449,3.74714950037398e-07,9.94833075733246e-07,0.922260249551635,2.87113637602098e-07,1.92022240635832e-06
"O75534",4,NA,3,NA,NA,NA,7,7,5,6,5,7,NA,NA,1,NA,NA,NA,17.012801095542,NA,17.3181079414768,NA,14.7258380210951,15.9637641995163,18.1946129408608,17.9203466608416,17.7714682082935,17.8624267986143,17.6495338617349,18.1423091585783,16.7923796100753,16.7868938778321,16.6035427206895,17.7728698368569,16.7733309621166,16.5133364939236,0.451287292014372,0.000631707434382463,0.00107883085247728,-0.112755302050161,0.413088059786747,0.516037685508834
"P06733",16,9,13,11,10,15,19,19,19,21,20,16,19,16,18,18,19,22,17.9928427936501,17.0063857892714,17.6523064353999,17.4704208244205,16.8984033112116,17.6087159748494,19.8473907637912,19.2979351398335,19.4377277463253,19.5404402092458,19.1985821811038,19.5464330893713,18.7751024334124,18.6077317278673,18.6641858664201,19.4626899940539,18.5046027054942,18.6226795806692,1.36125304529386,2.94668117446388e-23,5.21735902066841e-22,1.07276173166375,2.69182545119761e-16,6.39908208745094e-15
"Q14677",2,NA,1,NA,NA,1,3,2,2,1,1,1,2,1,1,1,2,1,15.9454259754334,14.4746978683801,15.8467262569794,15.2312400587612,14.7809226395325,15.6071628981487,16.4858756609837,16.1188006485507,16.0775452415115,16.516727784501,16.2025356463984,16.2719690985074,15.7573079820958,15.8301936558411,15.8718652740153,16.4451550014385,15.757331328016,15.7991764620085,4.16272921814058e-10,0.999957453053994,1,5.24500202788433e-10,0.999948377428498,1
"P60842",8,NA,9,NA,NA,5,11,10,11,11,11,10,9,7,8,7,8,8,18.6512925135686,15.5559162675075,18.7396489242592,16.1441562811382,16.2376066069792,16.8809421286182,19.8584117011043,19.475439431845,19.3649421819459,19.6277109107818,19.2928570470015,19.3686382719729,17.8990746356235,17.7581211168147,17.7462240167927,18.5303024121579,17.9152425169284,17.7074614603634,1.60593410276771,6.67320865612321e-05,0.000129798759644141,0.610155083391342,0.120707237241408,0.181249578872182
"Q9HAV7",4,9,4,7,7,5,6,5,5,4,6,5,7,4,7,5,5,6,17.9901970858055,18.6610176047354,17.756813331099,18.7539535742409,18.4484583373354,17.9264635640634,18.2231156013114,17.7714379383928,17.7586700277784,17.9802653801894,17.5352714349167,17.9257507436079,18.130866316536,17.8382872700527,17.7987254243828,18.7483647518255,18.0192703473199,17.9485249456057,-1.00155087931265,1.53516920268955e-09,5.63519426840922e-09,-0.375281231301168,0.0150831415541254,0.0308472085787521
"Q5JTV8",4,4,3,4,5,4,NA,1,2,2,2,2,3,3,3,3,4,4,17.8898319975329,18.2699918691825,17.4400650522812,17.9660310996287,17.7982087301179,17.673098843335,16.2169013936418,15.4215550493726,16.5486367936512,16.8615308142516,16.8201671539514,17.3167380618224,17.8184687022634,17.3989688128875,17.4828810475848,18.5041841516884,17.8839172571342,17.8048127224221,-1.73189895470311,2.44885230862889e-18,2.58633173648174e-17,-0.26099696582642,0.0309360879062257,0.0564119570800257
