"protein_group","abundance_Cu.complex_1","abundance_Cu.complex_2","abundance_Cu.complex_3","abundance_Cu.complex_4","abundance_Cu.complex_5","abundance_Cu.complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn.complex_1","abundance_Mn.complex_2","abundance_Mn.complex_3","abundance_Mn.complex_4","abundance_Mn.complex_5","abundance_Mn.complex_6","number_of_peptides_Cu.complex_1","number_of_peptides_Cu.complex_2","number_of_peptides_Cu.complex_3","number_of_peptides_Cu.complex_4","number_of_peptides_Cu.complex_5","number_of_peptides_Cu.complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn.complex_1","number_of_peptides_Mn.complex_2","number_of_peptides_Mn.complex_3","number_of_peptides_Mn.complex_4","number_of_peptides_Mn.complex_5","number_of_peptides_Mn.complex_6","differential_abundance_pvalue_Cu.complex_vs_DMSO","differential_abundance_qvalue_Cu.complex_vs_DMSO","log_ratios_Cu.complex_vs_DMSO","differential_abundance_pvalue_Cu.complex_vs_Mn.complex","differential_abundance_qvalue_Cu.complex_vs_Mn.complex","log_ratios_Cu.complex_vs_Mn.complex","differential_abundance_pvalue_DMSO_vs_Mn.complex","differential_abundance_qvalue_DMSO_vs_Mn.complex","log_ratios_DMSO_vs_Mn.complex"
"sp|P08134|RHOC_HUMAN",NA,NA,NA,NA,NA,NA,NA,-17.02585783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,1,1,2,3,2,2,3,3,2,3,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P08195|4F2_HUMAN",-17.0516061751,-15.6540488428,-16.5658185671,NA,-15.1456645668,-15.3983295922,-17.4978528152,-18.7902627712,-17.4965349977,-16.4134253517,-18.0760473607,-17.768398782,-17.3977176212,-16.6836606848,-16.3682300832,-16.5562271939,-16.9198931677,-16.8274859281,11,13,9,15,11,12,6,7,8,7,8,9,7,10,9,10,8,12,0.00148671096345515,0,1.71066013095,0.0287565789473684,0.391304347826087,0.829108897683334,0.0499074074074074,0.0833333333333333,-0.881551233266666
"sp|P08559|ODPA_HUMAN",NA,NA,NA,NA,NA,NA,-18.140266092,-18.0422909906,-18.1383566998,-18.1807566172,-18.0168876341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P08621|RU17_HUMAN",NA,NA,NA,NA,NA,NA,-18.3894009826,-18.3886701422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P08697|A2AP_HUMAN",NA,NA,-18.037633575,NA,-17.4680984675,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.8081064604,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P08708|RS17_HUMAN",NA,NA,NA,NA,NA,NA,NA,-14.5789082003,-15.1744127788,-16.3692306779,-15.3164705015,NA,NA,NA,-16.2808071132,-16.1448468524,NA,NA,NA,NA,1,NA,NA,NA,3,3,3,2,3,3,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.169763532763533,0.245283018867925,0.853071443175002
"sp|P08727|K1C19_HUMAN",NA,-15.5624153491,-17.5710970229,-17.2214546749,-16.1067689536,-17.3039651826,-18.1029042119,NA,-16.9485776416,NA,-16.7215793287,-17.0288430252,-15.9514103427,-15.4982385325,-15.7295412182,-16.4605171898,-17.3711054322,-16.4214762287,5,9,6,6,10,10,7,4,6,7,6,8,9,12,11,10,10,9,0.26536877076412,0.380208333333333,0.447335815230002,0.184166118421053,0.490740740740741,-0.51442541260333,0.0639430199430199,0.104294478527607,-0.961761227833332
"sp|P08865|RSSA_HUMAN",NA,NA,NA,NA,NA,-17.0599990109,-16.4120755782,-17.2819640248,-17.8594407112,-17.5368821232,-17.1167742893,-17.3316286242,NA,NA,NA,NA,NA,NA,5,1,3,2,2,4,5,5,5,5,5,5,3,3,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P09110|THIK_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.1293037264,-18.3154225986,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P09327|VILI_HUMAN",-17.8675115456,NA,NA,NA,NA,-18.3914631374,-17.6319230063,-17.5714440097,-17.61991547,-18.018675595,-17.5016441991,-17.6997323648,-17.7349757185,-17.7610671203,NA,-17.7485398526,NA,-18.6324140871,6,NA,5,3,3,4,8,8,8,8,8,7,5,5,4,5,3,6,0.155918604651163,0.254545454545455,-0.455598234016666,0.569822368421053,0.723404255319149,-0.160238146874999,0.1762849002849,0.251162790697674,0.295360087141667
"sp|P09382|LEG1_HUMAN",-16.2286760849,NA,-15.279957161,NA,-15.3809290998,NA,NA,-16.6361740373,-16.7127709311,NA,NA,NA,NA,-16.0774322058,-16.2789448279,NA,NA,NA,3,1,3,1,1,NA,3,3,3,2,3,2,2,2,3,2,2,2,0.0160299003322259,0.0869565217391304,1.04461836896667,0.123800986842105,0.463414634146341,0.548334401616668,0.0115840455840456,0.0283018867924528,-0.496283967350003
"sp|P09525|ANXA4_HUMAN",-15.0813536052,-15.5510333502,-16.110066826,-15.5974075738,-15.2284454073,-17.0890895386,-16.4728341125,-16.5549106195,-16.3905367357,-17.3756659319,-16.4070416832,-15.6051847117,-15.2766897536,-15.3956616454,-16.9498616589,-15.2988299313,-15.3099950683,-16.7266830276,8,7,6,6,7,7,6,7,7,7,10,9,7,8,6,6,7,6,0.0794933554817276,0.172413793103448,0.691462915566667,0.826363486842105,0.8719723183391,0.0500541306666662,0.147283475783476,0.221674876847291,-0.641408784900001
"sp|P09543|CN37_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.0527163955,-18.223866713,NA,NA,NA,-17.7136391434,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P09622|DLDH_HUMAN",NA,-17.5237044171,NA,NA,-16.3802836887,-17.802284337,NA,NA,NA,NA,NA,NA,NA,NA,-17.6697472862,NA,NA,NA,1,2,2,2,2,3,1,1,1,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P09651|ROA1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.6830074452,-17.8499483484,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,4,4,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P09874|PARP1_HUMAN",-19.2526104276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.0006877653,NA,-19.0494099049,NA,2,NA,3,NA,NA,NA,NA,NA,2,NA,3,3,NA,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P09960|LKHA4_HUMAN",NA,NA,NA,NA,NA,NA,-18.7723761023,NA,-18.6832190212,-18.6278721543,-18.6247324143,NA,NA,NA,-18.2470566882,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P0C0L4|CO4A_HUMAN",NA,-19.7058907075,-19.9460512442,-19.5458308112,NA,-18.752126208,NA,NA,NA,NA,NA,-20.4158552782,NA,NA,NA,-19.8208579851,NA,NA,4,9,3,7,8,5,3,NA,1,4,2,2,2,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P0C0S5|H2AZ_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.4720816926,NA,NA,NA,-15.7689453689,NA,NA,3,3,3,3,3,3,NA,2,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P0C0S8|H2A1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.8036184751,NA,NA,4,NA,4,2,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P0DME0|SETLP_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.7539882924,-17.5345579637,NA,NA,NA,NA,-17.1796812305,NA,-17.2787364077,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0.0227478632478632,0.0461538461538462,-0.415064308949997
"sp|P0DMV8|HS71A_HUMAN",NA,-17.1993556196,-17.0388285107,-17.5566071249,-17.4898737208,NA,-18.7964178398,NA,-18.784499416,-17.6252436483,-18.7194174847,-17.2109286304,-18.3399364686,-17.2261543172,NA,-16.9477878839,NA,NA,13,9,12,10,9,9,12,11,12,12,10,11,9,8,12,9,12,11,0.0309933554817276,0.112903225806452,0.906135159839998,0.535220394736842,0.706666666666667,0.183459979233334,0.220344729344729,0.311111111111111,-0.722675180606664
"sp|P10109|ADX_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.2836630814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P10253|LYAG_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.4575006311,NA,NA,NA,NA,NA,NA,2,2,2,2,1,3,2,3,2,2,2,2,1,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P10321|HLAC_HUMAN",NA,NA,NA,-17.1116467028,-16.9512913433,-17.2192627689,NA,NA,NA,NA,NA,NA,-17.3691713237,NA,NA,NA,-17.4483784676,-17.4176345451,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,0.0625625,0.430769230769231,0.317661173800001,NA,NA,NA
"sp|P10412|H14_HUMAN",-15.140492143,-16.3475079826,-16.6809401169,-15.3290933847,-16.456654808,-16.3399910902,-17.0361139389,NA,NA,-16.0799213549,-16.9520239721,-16.1052841784,-15.7248827943,NA,-15.7537048234,-15.5678955974,-15.1226318061,-16.8529369841,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,0.189581395348837,0.295454545454545,0.494222606841667,0.436957236842105,0.654822335025381,-0.244702853173333,0.107517094017094,0.169398907103825,-0.738925460015
"sp|P10606|COX5B_HUMAN",NA,NA,NA,NA,-15.126634012,NA,NA,NA,NA,NA,-15.8931776327,-16.014007507,NA,NA,NA,NA,NA,NA,4,4,3,2,4,4,1,3,3,2,3,4,3,3,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P10619|PPGB_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,-18.1705249999,NA,-17.9377021113,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,1,3,2,3,2,2,3,3,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P10721|KIT_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.1966588174,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P10768|ESTD_HUMAN",NA,NA,-16.0260136908,NA,NA,-17.372521301,-17.6344297328,-17.4663501991,-16.1343036437,-17.5838203174,-17.4927522914,-17.7119997434,NA,-15.9792474416,-17.2558124781,NA,-15.8690736766,-17.287676169,1,NA,3,NA,NA,1,3,4,3,3,2,3,2,2,2,2,2,3,0.140548172757475,0.241830065359477,0.638008492066668,0.779927631578947,0.855595667870036,-0.101315054575,0.132018518518519,0.202020202020202,-0.739323546641668
"sp|P10809|CH60_HUMAN",-16.664206006,-15.3449304368,-16.3360740579,-15.1481038662,-16.2649855534,-16.0648510859,-16.7446626802,-17.4465341777,-17.303457246,-16.6554138842,-17.191520807,-16.3934165943,-16.4790238811,-16.6830124026,-16.6137745193,-15.4294612713,-16.1525999641,-16.1238711348,12,18,12,21,16,17,14,9,10,13,11,12,12,12,13,13,15,15,0.0146395348837209,0.075,0.985309063866666,0.321975328947368,0.577639751552795,0.276432027833334,0.0387264957264957,0.0616438356164384,-0.708877036033332
"sp|P10909|CLUS_HUMAN",NA,NA,NA,-17.8532900609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P11021|BIP_HUMAN",-16.43114948,-14.9443149591,-16.2072434383,-14.8635338514,-15.1167474424,-15.6347861173,-16.4605233786,-16.9582479439,-16.4280303765,-15.9191635836,-16.3552152675,-16.4931681005,-15.8563739865,-15.3520527297,-17.0819185344,-15.8642812916,-16.5963136031,-15.7643208377,9,17,9,16,18,13,7,7,7,8,6,6,8,10,9,9,10,10,0.023563122923588,0.0980392156862745,0.902762227016666,0.110268092105263,0.463414634146341,0.552914282416666,0.258371794871795,0.358974358974359,-0.3498479446
"sp|P11047|LAMC1_HUMAN",NA,-18.440502943,NA,-19.384268017,-19.436182387,NA,NA,NA,NA,NA,-20.2142926188,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,5,1,1,NA,NA,NA,1,1,1,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P11142|HSP7C_HUMAN",NA,-16.8973032396,-17.5900148506,-18.09826202,-16.8915559758,-17.072777909,-16.0005568876,-16.8908769932,-16.6109654612,-16.916683765,-18.5041908427,-16.9567242669,-16.4976041021,-16.9930940101,-16.9719066654,-17.0158311625,-17.042437685,-16.4406299727,7,4,6,6,3,7,14,13,15,13,14,15,8,12,10,9,11,11,0.368862126245847,0.486111111111111,-0.329983096233335,0.077235197368421,0.430769230769231,-0.4830655327,0.633321937321937,0.731788079470199,-0.153082436466665
"sp|P11166|GTR1_HUMAN",-17.1442493144,NA,-17.9284909638,-17.444256625,-16.5993205002,-17.7596285419,NA,NA,NA,-18.7543117363,NA,NA,-18.1263803522,NA,-17.8615178898,-17.846189102,-17.9301497999,-18.2747155336,4,5,4,5,4,5,2,2,2,1,2,2,2,2,3,3,3,3,NA,NA,NA,0.0330625,0.391304347826087,0.632601346439998,NA,NA,NA
"sp|P11216|PYGB_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.7967598082,NA,NA,NA,NA,NA,NA,5,4,3,3,2,3,NA,NA,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P11388|TOP2A_HUMAN",NA,NA,-18.9113825792,NA,NA,-19.8303184077,NA,NA,NA,NA,-18.7423717465,-20.490684178,NA,NA,NA,-19.3586158539,NA,NA,1,NA,5,NA,NA,2,NA,NA,NA,NA,6,1,NA,1,1,1,1,1,0.610662790697674,0.714566929133858,0.2456774688,NA,NA,NA,NA,NA,NA
"sp|P11413|G6PD_HUMAN",NA,NA,-18.2818152587,NA,NA,NA,-18.2468035103,-18.3781119946,-18.4744522715,NA,-18.3823840489,-18.6143750564,NA,-18.0559731304,-18.0418967394,NA,-17.9373403385,NA,1,NA,2,1,NA,1,9,8,6,6,7,7,3,3,4,3,4,5,NA,NA,NA,NA,NA,NA,0.0104430199430199,0.0222222222222222,-0.40748864024
"sp|P11498|PYC_HUMAN",NA,NA,NA,NA,NA,NA,-20.3800236774,-19.686881205,NA,-19.8733571072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P11586|C1TC_HUMAN",-17.9055637103,NA,-18.9644207555,NA,NA,NA,-17.6302902941,-17.1626040279,-17.5359771979,-19.2424577172,-18.1536668447,-17.2961906063,-17.727021423,-18.7690451227,-17.722518559,-17.6334868265,-17.8293296259,-18.7633467128,4,1,4,NA,NA,3,7,9,10,8,8,7,6,6,5,4,6,7,0.182468438538206,0.286549707602339,-0.598127784883335,0.333207236842105,0.583333333333333,-0.36086752125,0.516801994301994,0.618055555555556,0.237260263633335
"sp|P11717|MPRI_HUMAN",-19.3780401418,-17.5537487404,-19.3716526443,-18.3874245072,-17.6112863592,-17.8869729672,NA,NA,-20.8785903165,-21.0349262812,-19.8216501977,NA,-19.2487186502,-19.1435105266,-18.2202921547,-19.1556751767,-19.3357667658,-18.7474768477,9,18,12,14,14,19,5,5,4,6,6,7,10,10,11,9,11,13,5.81395348837209e-05,0,2.21353470511666,0.0866957236842105,0.430769230769231,0.610385793599999,0.0117763532763533,0.0283018867924528,-1.60314891151667
"sp|P12004|PCNA_HUMAN",NA,NA,NA,-16.7425877639,NA,NA,-17.3039535598,-17.1282972025,NA,-17.1433202351,NA,NA,NA,-16.776436386,-16.8490356221,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0.0102079772079772,0.0222222222222222,-0.37912099508333
"sp|P12259|FA5_HUMAN",-19.915270652,-18.1404961655,-19.052703211,NA,-19.6125778613,-18.8816908462,NA,NA,NA,NA,NA,NA,-19.8952482246,-19.9216639592,-20.0351874001,-18.9512495654,-19.0151906748,-19.9522806512,4,6,5,6,5,4,NA,NA,NA,1,NA,NA,4,4,3,2,3,3,NA,NA,NA,0.127421052631579,0.463414634146341,0.507922332016665,NA,NA,NA
"sp|P12270|TPR_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,-20.4624469452,NA,-20.3360998549,NA,NA,NA,NA,-19.2553252163,NA,-20.4831819611,2,NA,NA,NA,NA,3,6,5,6,5,7,3,3,7,4,7,4,4,NA,NA,NA,NA,NA,NA,0.392770655270655,0.509578544061303,-0.530019811349998
"sp|P12814|ACTN1_HUMAN",-18.7871103512,NA,-18.7567930201,NA,-17.6864714738,NA,-17.6676261915,-19.1586507885,-18.4987016645,-19.1250897998,-19.4236588508,-18.9294054023,-17.0570291509,-17.7902545425,NA,-17.7432237139,-18.5972540396,-17.5736156986,8,5,7,7,6,8,15,17,16,15,15,13,12,12,14,11,12,12,0.301980066445183,0.419191919191919,0.390397167866663,0.0859572368421053,0.430769230769231,-0.657849519266669,0.0355099715099715,0.0616438356164384,-1.04824668713333
"sp|P12956|XRCC6_HUMAN",-18.3043131293,NA,-16.7098337199,NA,-18.0218481362,-17.0612789632,-17.0282442504,-16.9159360335,-16.9869802007,-17.6112564686,-17.4674870554,NA,-16.4955029495,-17.0541570522,-17.1008960174,-18.1453582675,-16.5559761069,NA,8,4,7,1,2,5,8,7,8,8,8,8,5,7,5,5,7,8,0.357915282392027,0.47196261682243,-0.322337685429996,0.235422697368421,0.53125,-0.453940408449999,0.651088319088319,0.74025974025974,-0.131602723020002
"sp|P13010|XRCC5_HUMAN",-16.7849720962,NA,-18.8337211225,NA,-17.1687844001,-18.5642791673,-16.9025909077,-17.9147285454,-17.2053406077,-16.5591944332,-16.787854232,-17.9915664326,-16.2481051804,-16.0622339219,-16.8603486178,-16.7499001857,-17.5297977478,-16.470263787,10,5,13,7,5,7,13,12,14,15,16,14,11,13,14,13,14,15,0.145395348837209,0.245283018867925,-0.611060003424999,0.0156019736842105,0.25,-1.18449762309167,0.121796296296296,0.1875,-0.573437619666667
"sp|P13073|COX41_HUMAN",-14.765131102,-14.3587845637,-15.0980679298,-16.0523928061,-14.7531089911,-14.5512135291,-16.5959860047,-16.4422900814,-15.6425062901,NA,-15.4696012138,-16.8104511201,-15.0949883419,-15.0580337569,-16.4965886928,-14.6840810919,-15.2180927338,-16.3821266694,7,7,7,6,7,6,2,2,5,2,4,4,6,6,5,7,6,3,0.00591860465116279,0.0357142857142857,1.26238378838667,0.117726973684211,0.463414634146341,0.559202060816668,0.136893162393162,0.205,-0.703181727570001
"sp|P13385|TDGF1_HUMAN",-17.2454442169,NA,NA,NA,-17.1699337722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.4865836282,NA,NA,1,1,1,1,2,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P13473|LAMP2_HUMAN",-18.0042210996,-17.4772469973,NA,-17.6345910508,NA,-17.8320655721,NA,-18.4009271066,-18.0678857827,NA,NA,NA,-17.5764549587,-17.5515522677,NA,NA,NA,NA,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2,0.129707641196013,0.231292517006803,0.497375264699997,0.381526315789474,0.614130434782609,-0.173027566750001,0.0173917378917379,0.0341880341880342,-0.670402831449998
"sp|P13639|EF2_HUMAN",-18.0413395636,NA,-16.896886424,NA,-18.3389385158,NA,-15.8530914872,-16.3945141008,-16.7865303602,-16.044436021,-16.3296808033,-16.648636682,-17.0012962949,-17.9376391468,-17.0867029011,-18.6662951686,-17.0557870954,-16.3921691405,13,2,13,6,5,7,24,20,23,24,17,20,11,9,11,9,11,12,0.00215448504983389,0,-1.41623992538333,0.341167763157895,0.590643274853801,-0.402406543250002,0.0376908831908832,0.0616438356164384,1.01383338213333
"sp|P13667|PDIA4_HUMAN",-16.1925174564,-15.0179893285,-15.7293198741,-15.0749484545,-15.2935513055,-15.7492802137,-16.5387799778,-16.6844840193,-17.9652850109,-16.407425651,-17.6909153732,-16.3415826842,-15.5123834068,-16.0396464465,-15.8745081048,-15.7730998762,-15.8228841046,-15.5694793466,12,20,14,19,21,17,14,12,11,14,11,12,14,12,13,14,16,17,0.00197674418604651,0,1.42847768061667,0.252111842105263,0.540740740740741,0.255732442133333,0.0180042735042735,0.0341880341880342,-1.17274523848334
"sp|P13674|P4HA1_HUMAN",NA,-17.1506355047,NA,NA,NA,-18.2149101613,-18.4128213853,NA,-17.5581600841,NA,NA,-18.982944315,NA,NA,NA,NA,-16.8351040223,-18.3195939973,4,5,3,5,4,3,5,3,3,3,4,2,4,3,3,3,3,3,0.169405315614618,0.271084337349398,0.635202428466666,0.806105263157895,0.871886120996441,-0.105423823199999,0.346693732193732,0.456692913385827,-0.740626251666665
"sp|P13797|PLST_HUMAN",NA,NA,NA,NA,NA,NA,NA,-18.5997936422,NA,-17.7789018711,NA,NA,NA,NA,-18.2160083209,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,4,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P13798|ACPH_HUMAN",NA,NA,NA,NA,NA,NA,NA,-18.8838643426,NA,NA,NA,NA,-18.5977441686,NA,NA,NA,-18.6527993927,-18.6236695969,1,NA,NA,NA,NA,NA,5,5,5,3,4,3,2,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P13804|ETFA_HUMAN",NA,NA,NA,NA,NA,NA,-17.7271065398,-17.775157921,NA,NA,NA,-17.8613584062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P13987|CD59_HUMAN",-16.1832894571,-15.6918424935,-14.2734065324,-14.4755353537,-14.4763634853,-15.9997449772,-16.9332537645,-16.6372931326,-14.7039802548,-15.5658741537,-14.4649694963,-14.7023382936,-14.6980314,-14.855506201,-14.7280227964,-14.6310425872,-14.9780427931,-14.1813274453,2,2,4,2,2,2,2,2,3,3,3,3,2,2,2,2,2,3,0.422398671096345,0.547085201793722,0.317921132716668,0.136467105263158,0.476190476190476,-0.504701512699999,0.112367521367521,0.181818181818182,-0.822622645416667
"sp|P14314|GLU2B_HUMAN",-18.0639478878,NA,NA,NA,-17.6915691697,-17.9519983108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,3,5,4,4,2,2,1,1,2,2,3,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P14324|FPPS_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,-18.3670894648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,4,5,3,3,3,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P14550|AK1A1_HUMAN",NA,NA,NA,NA,NA,NA,NA,-17.9353765204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P14618|KPYM_HUMAN",-17.0230802607,NA,-16.5911695379,NA,-17.6219619351,-18.2398255346,-16.3819479935,-16.2619228097,-16.7466479579,-16.7870378002,-17.3435768428,-16.4049039094,-17.8720057582,-17.9235971334,-16.7780412778,-18.1345909049,-16.3379671513,-16.3977242014,6,4,7,4,3,7,7,8,6,8,7,7,7,6,7,7,6,7,0.0661428571428571,0.16,-0.714669764825,0.688986842105263,0.796934865900383,-0.128354912575002,0.159133903133903,0.233009708737864,0.586314852249998
"sp|P14625|ENPL_HUMAN",-16.916787185,-17.4221628756,-17.2523655466,-16.6899150871,-17.3675534857,-16.2278604493,-19.091662647,-19.1974558567,-19.0079799721,-18.1493353314,NA,-18.1984987564,-18.3334494879,-18.4936488452,-17.0738946318,-18.6589844434,-17.7901984567,-18.5052716429,15,16,13,18,16,17,11,14,13,11,10,11,15,13,15,12,12,14,0.000285714285714286,0,1.74954574117,0.00629769736842105,0.222222222222222,1.1631338131,0.131039886039886,0.197969543147208,-0.58641192807
"sp|P14678|RSMB_HUMAN",-17.295567065,NA,NA,NA,NA,NA,-17.7439967158,-17.5999560719,-17.5732473728,-17.6734003437,-17.5462637301,-17.6978348804,-17.0342938733,-17.0159930673,-17.043002719,-17.0990868888,-17.2262088731,-17.0837868372,2,NA,1,NA,NA,NA,2,2,2,2,2,2,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,0.00116096866096866,0,-0.555387809333332
"sp|P14854|CX6B1_HUMAN",NA,-15.2714154534,NA,NA,NA,-15.5349015759,NA,NA,-15.5369669971,NA,NA,-16.0691494531,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,2,NA,1,1,NA,1,NA,NA,NA,NA,0.242252491694352,0.347368421052632,0.399899710450001,NA,NA,NA,NA,NA,NA
"sp|P14866|HNRPL_HUMAN",NA,NA,NA,NA,NA,NA,-18.5671872114,-18.9535443688,NA,-17.7104611559,NA,NA,-18.1743050956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P14868|SYDC_HUMAN",NA,NA,NA,NA,NA,NA,-18.7750571936,NA,-18.4303530001,NA,NA,NA,-17.9719284564,NA,NA,NA,-18.4388456423,NA,6,1,8,3,2,4,5,5,6,5,7,5,5,6,5,4,6,6,NA,NA,NA,NA,NA,NA,0.207282051282051,0.294117647058824,-0.397318047499997
