"protein_group","abundance_Cu.complex_1","abundance_Cu.complex_2","abundance_Cu.complex_3","abundance_Cu.complex_4","abundance_Cu.complex_5","abundance_Cu.complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn.complex_1","abundance_Mn.complex_2","abundance_Mn.complex_3","abundance_Mn.complex_4","abundance_Mn.complex_5","abundance_Mn.complex_6","number_of_peptides_Cu.complex_1","number_of_peptides_Cu.complex_2","number_of_peptides_Cu.complex_3","number_of_peptides_Cu.complex_4","number_of_peptides_Cu.complex_5","number_of_peptides_Cu.complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn.complex_1","number_of_peptides_Mn.complex_2","number_of_peptides_Mn.complex_3","number_of_peptides_Mn.complex_4","number_of_peptides_Mn.complex_5","number_of_peptides_Mn.complex_6","differential_abundance_pvalue_Cu.complex_vs_DMSO","differential_abundance_qvalue_Cu.complex_vs_DMSO","log_ratios_Cu.complex_vs_DMSO","differential_abundance_pvalue_Cu.complex_vs_Mn.complex","differential_abundance_qvalue_Cu.complex_vs_Mn.complex","log_ratios_Cu.complex_vs_Mn.complex","differential_abundance_pvalue_DMSO_vs_Mn.complex","differential_abundance_qvalue_DMSO_vs_Mn.complex","log_ratios_DMSO_vs_Mn.complex"
"sp|O60568|PLOD3_HUMAN",NA,-18.0832345872,NA,NA,-18.0457718979,-18.353591952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,3,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O60641|AP180_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.4656486085,NA,-19.4676616107,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O60701|UGDH_HUMAN",-18.2129604246,NA,-18.2841830617,-18.046620447,NA,NA,-18.6187850797,-18.392642284,-17.9339188408,-18.5109472468,-18.4867238829,-17.4549786489,-17.9977841112,NA,-17.9934969574,-17.7414704176,-17.7722382659,NA,6,2,4,4,2,3,7,8,7,8,7,7,6,4,3,5,6,6,0.826119601328904,0.855670103092783,0.0517446860833353,0.0866151315789474,0.430769230769231,-0.30500720640833,0.172279202279202,0.246478873239437,-0.356751892491666
"sp|O60716|CTND1_HUMAN",NA,NA,-19.3053669266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.2575749293,-18.1649737336,2,NA,2,NA,NA,1,1,1,1,2,2,3,NA,3,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O60749|SNX2_HUMAN",NA,NA,NA,NA,NA,NA,-18.8073473766,NA,-18.7477798654,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,4,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O60762|DPM1_HUMAN",NA,-16.727537549,-17.1896950375,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.0408767693,NA,NA,NA,NA,NA,1,2,2,2,2,2,NA,NA,NA,NA,1,1,1,2,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O60763|USO1_HUMAN",NA,NA,NA,NA,NA,-18.8721713381,-18.2408000522,-19.2913188855,NA,NA,-19.1213944027,-19.3922947436,NA,-17.9064664964,-19.1011755096,NA,-17.9744761814,-18.8943052147,NA,NA,NA,NA,NA,1,2,2,2,1,2,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,0.215569800569801,0.303571428571429,-0.542346170475
"sp|O60814|H2B1K_HUMAN",-15.6378333912,-15.2058455284,NA,-15.6468774187,NA,NA,NA,NA,NA,NA,NA,NA,-15.9365584375,NA,NA,NA,NA,-16.0501198859,3,4,7,4,4,7,2,2,2,3,9,3,3,3,4,3,4,3,NA,NA,NA,0.0467680921052632,0.411764705882353,0.496487048933334,NA,NA,NA
"sp|O60925|PFD1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,-16.4607380529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75083|WDR1_HUMAN",-18.485577698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75129|ASTN2_HUMAN",NA,NA,NA,-20.3633833932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75131|CPNE3_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.1857338388,NA,NA,NA,-18.4028629726,2,NA,2,NA,NA,NA,1,1,1,NA,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75306|NDUS2_HUMAN",-17.9252389187,-17.4812859506,NA,NA,-17.4609929201,NA,NA,NA,NA,NA,-18.4699472995,NA,NA,-18.2725117361,NA,NA,-18.0224680314,NA,2,3,3,2,2,2,NA,NA,NA,NA,2,3,NA,1,1,2,1,NA,NA,NA,NA,0.0478898026315789,0.411764705882353,0.524983953949999,NA,NA,NA
"sp|O75347|TBCA_HUMAN",NA,NA,NA,NA,NA,-15.7310852286,NA,-15.4954844226,-15.5863127253,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,2,1,1,1,2,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75352|MPU1_HUMAN",NA,NA,NA,-17.0325873607,NA,NA,NA,NA,NA,NA,-17.5701658234,-17.8294217656,NA,NA,NA,NA,NA,-17.4350060834,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75356|ENTP5_HUMAN",-17.8983035642,-17.3816435727,NA,NA,-16.8957991562,-17.1978354484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,3,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75366|AVIL_HUMAN",NA,-18.6234450048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75369|FLNB_HUMAN",-18.3220829453,NA,-20.4622028745,-18.4203989281,-19.8394546457,-19.1439799349,-18.9578314113,-18.1972241434,-18.8007421437,-17.9448192291,-19.4862441739,-18.8102640915,-18.5157106663,-19.3622498316,-18.240705192,-19.3996350403,-20.0922787758,-18.8612871917,18,4,17,7,7,8,21,20,19,19,16,20,10,15,12,14,12,15,0.17443023255814,0.273809523809524,-0.538103000216665,0.627695723684211,0.756,-0.15897941608333,0.306344729344729,0.412244897959184,0.379123584133335
"sp|O75380|NDUS6_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,-16.6731351747,NA,NA,NA,NA,-16.1887276867,-16.2551975239,NA,-16.1716184905,NA,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75390|CISY_HUMAN",-16.8453165279,-17.2489627808,-16.9684201619,-16.5289330428,-15.9684228447,-17.7069745093,NA,-18.3474452088,NA,NA,NA,-18.4185295897,-17.7343324188,-16.8071555521,-17.8682117199,-17.7244539984,-17.9653598124,-17.9235233256,5,5,5,5,5,6,2,8,4,5,4,4,5,5,3,4,2,4,0.00221760797342193,0,1.50514908801667,0.0216726973684211,0.315789473684211,0.792667826633334,0.0716182336182336,0.119760479041916,-0.712481261383331
"sp|O75396|SC22B_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,-17.1212501569,NA,-16.9791264694,NA,NA,-16.575664126,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75439|MPPB_HUMAN",NA,NA,NA,NA,NA,NA,NA,-18.3348079031,NA,NA,NA,-18.2636646741,NA,NA,NA,-18.0885934176,NA,NA,NA,1,1,1,1,1,4,4,4,2,4,2,2,3,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75477|ERLN1_HUMAN",NA,-16.8273659107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75489|NDUS3_HUMAN",NA,-16.7306592727,NA,NA,NA,NA,NA,NA,NA,NA,-17.3459507526,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,NA,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75521|ECI2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.9785952412,NA,NA,NA,-17.5147257216,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
