"protein_group","number_of_peptides_Cu.complex_1","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn.complex_1","number_of_peptides_Mn.complex_2","number_of_peptides_Mn.complex_3","number_of_peptides_Mn.complex_4","number_of_peptides_Mn.complex_5","number_of_peptides_Mn.complex_6","number_of_peptides_Cu.complex_2","number_of_peptides_Cu.complex_3","number_of_peptides_Cu.complex_4","number_of_peptides_Cu.complex_5","number_of_peptides_Cu.complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","differential_abundance_pvalue_DMSO.Cu.complex","differential_abundance_pvalue_Mn.complex.Cu.complex","differential_abundance_qvalue_DMSO.Cu.complex","differential_abundance_qvalue_Mn.complex.Cu.complex","abundance_Cu.complex_1","abundance_Cu.complex_2","abundance_Cu.complex_3","abundance_Cu.complex_4","abundance_Cu.complex_5","abundance_Cu.complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn.complex_1","abundance_Mn.complex_2","abundance_Mn.complex_3","abundance_Mn.complex_4","abundance_Mn.complex_5","abundance_Mn.complex_6"
"sp|P60660|MYL6_HUMAN;sp|P14649|MYL6B_HUMAN",5,3,5,5,5,4,3,4,4,4,2,6,3,1,3,3,4,4,0.378044853302875,0.222691515571508,0.458390995343903,0.362637305905723,24.8182412779045,22.7443334190476,24.7490932653728,23.0344407632079,22.4160985210893,23.6538558430187,22.9304126700775,23.3268348554736,24.3257118675017,23.2320335799449,25.1268635622591,24.8802090073119,24.0905698643689,24.095199019635,23.9200864421959,23.9646320127632,24.5281281198868,24.1782892095198
"sp|P63261|ACTG_HUMAN;sp|P60709|ACTB_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|A5A3E0|POTEF_HUMAN;sp|Q9BYX7|ACTBM_HUMAN;sp|P0CG38|POTEI_HUMAN",12,13,13,12,12,13,12,13,12,12,9,13,12,11,11,13,13,12,1.36865155089501e-05,0.00034859197668559,7.12854396165371e-05,0.00298205974815315,29.582233008612,27.7725262336699,29.4889635732563,28.4984915295156,28.2044289399816,28.957889724354,30.3260442064717,30.2826880549923,30.2471052386483,30.478384034088,30.2561955912827,30.3017185585151,29.6799307462116,29.9444048225809,29.827338370047,29.883933825825,30.1135745604956,30.0778303493928
"sp|P60842|IF4A1_HUMAN",13,12,14,12,10,8,11,9,12,13,3,12,3,3,5,13,14,14,0.0236960942957989,0.657689203539523,0.0415787467910284,0.77289331117812,25.7948358836038,NA,26.0565314386814,NA,NA,21.9444818991994,26.2249174903036,26.2063200604899,26.4335885049395,26.1719014502041,26.140063434976,25.998021932381,24.753553195749,24.7571243163323,24.828634617709,24.2892596180042,25.5080156815664,25.1844239956919
"sp|P60866|RS20_HUMAN",3,3,3,3,3,3,3,3,3,2,2,3,3,1,3,3,3,3,0.00307771306872102,0.94330165656493,0.00697520734518403,0.969069288295554,24.8513863697473,18.6816570205083,24.8395243136708,23.39624688177,22.4855028004334,24.2085584545842,25.7303755243539,25.2669987053868,25.4087135776157,25.7988631905341,25.4151220383221,25.646319298931,22.6400146087488,23.2494797385678,23.2446870145388,22.5476148784183,23.6734456238695,23.422001517952
"sp|P60891|PRPS1_HUMAN",0,1,0,1,1,0,2,0,1,1,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4091103699897,19.7539978512665,20.4036745589653,20.6244078032398,NA,19.9829692684893,20.0978606020265,NA,21.1557790962571,NA,20.1807808256312,20.5291000382429
"sp|P60900|PSA6_HUMAN",5,7,8,6,5,6,6,5,7,7,3,4,3,3,3,7,8,7,1.65601977808913e-07,9.03971600289117e-06,2.15064673812365e-06,0.000190417243544772,24.4590964822068,22.4313095810402,23.7673501711636,23.1269285864305,22.9626477098814,23.3607143869717,25.6700785816544,25.7513264481759,25.6275084967498,25.5579660659995,25.3401007919379,25.5056099959955,24.647119829909,24.8487136447633,25.0151951130534,24.8488934138694,25.2768123868313,25.452120983018
"sp|P60953|CDC42_HUMAN",4,3,4,5,2,3,4,2,4,4,2,2,3,3,3,2,3,2,0.0732035399027253,0.100923890752603,0.112454309547066,0.208334986284878,24.0658662444159,21.2579456830052,22.9188871595444,21.5863366985924,22.2837659635806,22.1029189901616,22.7592069835587,23.3887123609129,22.4904054276403,22.3941629849107,23.890843473481,24.2842856113833,22.5840787600583,22.6463031464064,23.4131552833039,22.7545112765001,23.8220565336664,23.533373626539
"sp|P60981|DEST_HUMAN",3,2,1,0,1,1,1,0,2,4,0,1,0,0,0,3,4,5,0.885987547569509,0.270926265549862,0.914732712874779,0.41758029442343,22.9385012498848,NA,22.3320053835211,NA,NA,NA,22.9529183874872,23.4944257760947,23.5494684183654,22.7653490298154,19.8034937676701,NA,20.9098583893272,21.4874322556556,21.4840356594211,NA,21.8453900835911,22.6463031464064
"sp|P61006|RAB8A_HUMAN",2,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0.061686625274576,0.707953318700969,0.0967191408197085,0.811041258090759,20.2371280371882,NA,21.3639973403997,NA,NA,20.2369521138266,NA,NA,19.4614761916688,NA,19.1104087858924,NA,NA,21.1563613209658,21.0297899796326,NA,21.5691780816542,19.5075687626924
"sp|P61009|SPCS3_HUMAN",2,0,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,0.000346931184653577,0.199960194984922,0.00102368035651145,0.334519233113118,23.4523733210463,23.5544482954492,21.8348093088641,23.1840636234981,22.765725128432,23.0476228609483,20.5143425586065,20.9713818876153,21.738798894219,NA,22.0496994719556,21.3038942193682,22.3440592141363,22.8348027215449,21.2401783321729,22.7988927104276,22.7763979739252,22.9814795821037
