Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.0335476833333333	29/09/2023	10:58:28	29/09/2023	10:58:30
Assemble run info 	0.50140595	29/09/2023	10:58:30	29/09/2023	10:59:00
Finish run info 	0.0334483833333333	29/09/2023	10:59:00	29/09/2023	10:59:02
Testing fasta files 	0.05011675	29/09/2023	10:59:02	29/09/2023	10:59:05
Testing raw files 	0.0846633666666667	29/09/2023	10:59:05	29/09/2023	10:59:10
Feature detection 	13.61948555	29/09/2023	10:59:10	29/09/2023	11:12:47
Deisotoping 	29.4407830166667	29/09/2023	11:12:47	29/09/2023	11:42:14
MS/MS preparation 	2.7684121	29/09/2023	11:42:14	29/09/2023	11:45:00
Calculating peak properties 	0.434789683333333	29/09/2023	11:45:00	29/09/2023	11:45:26
Combining apl files for first search 	0.333495866666667	29/09/2023	11:45:26	29/09/2023	11:45:46
Preparing searches 	4.31735441666667	29/09/2023	11:45:46	29/09/2023	11:50:05
MS/MS first search 	12.9697132166667	29/09/2023	11:50:05	29/09/2023	12:03:03
Read search results for recalibration 	1.48487685	29/09/2023	12:03:03	29/09/2023	12:04:32
Mass recalibration 	3.10175558333333	29/09/2023	12:04:32	29/09/2023	12:07:38
Calculating masses 	1.01822523333333	29/09/2023	12:07:38	29/09/2023	12:08:39
MS/MS preparation for main search 	0.901509566666667	29/09/2023	12:08:39	29/09/2023	12:09:33
Combining apl files for main search 	0.35015435	29/09/2023	12:09:33	29/09/2023	12:09:54
MS/MS main search 	16.97049175	29/09/2023	12:09:54	29/09/2023	12:26:53
Preparing combined folder  	0.133462916666667	29/09/2023	12:26:53	29/09/2023	12:27:01
Correcting errors 	4.65070736666667	29/09/2023	12:27:01	29/09/2023	12:31:40
Reading search engine results 	2.90183658333333	29/09/2023	12:31:40	29/09/2023	12:34:34
Preparing reverse hits 	0.200140166666667	29/09/2023	12:34:34	29/09/2023	12:34:46
Finish search engine results 	0.0847094833333333	29/09/2023	12:34:46	29/09/2023	12:34:51
Filter identifications (MS/MS) 	0.1347202	29/09/2023	12:34:51	29/09/2023	12:34:59
Calculating PEP 	0.55019145	29/09/2023	12:34:59	29/09/2023	12:35:32
Copying identifications 	0.0514697333333333	29/09/2023	12:35:32	29/09/2023	12:35:35
Applying FDR 	0.0834553833333333	29/09/2023	12:35:35	29/09/2023	12:35:40
Assembling second peptide MS/MS 	0.918173616666667	29/09/2023	12:35:40	29/09/2023	12:36:35
Combining second peptide files 	0.2335238	29/09/2023	12:36:35	29/09/2023	12:36:49
Second peptide search 	15.8371565	29/09/2023	12:36:49	29/09/2023	12:52:39
Reading search engine results (SP) 	1.2515005	29/09/2023	12:52:39	29/09/2023	12:53:55
Finish search engine results (SP) 	0.0680096666666667	29/09/2023	12:53:55	29/09/2023	12:53:59
Filtering identifications (SP) 	0.101346216666667	29/09/2023	12:53:59	29/09/2023	12:54:05
Applying FDR (SP) 	0.216796433333333	29/09/2023	12:54:05	29/09/2023	12:54:18
Re-quantification 	0.0513398	29/09/2023	12:54:18	29/09/2023	12:54:21
Reporter quantification 	0.0513419166666667	29/09/2023	12:54:21	29/09/2023	12:54:24
Retention time alignment 	59.3261602833333	29/09/2023	12:54:24	29/09/2023	13:53:43
Matching between runs 1 	0.534769816666667	29/09/2023	13:53:43	29/09/2023	13:54:16
Matching between runs 2 	0.116787566666667	29/09/2023	13:54:16	29/09/2023	13:54:23
Matching between runs 3 	0.333475933333333	29/09/2023	13:54:23	29/09/2023	13:54:43
Matching between runs 4 	0.183463366666667	29/09/2023	13:54:43	29/09/2023	13:54:54
Prepare protein assembly 	0.3001424	29/09/2023	13:54:54	29/09/2023	13:55:12
Assembling proteins 	1.68504541666667	29/09/2023	13:55:12	29/09/2023	13:56:53
Assembling unidentified peptides 	0.05136975	29/09/2023	13:56:53	29/09/2023	13:56:56
Finish protein assembly 	2.1504405	29/09/2023	13:56:56	29/09/2023	13:59:05
Updating identifications 	0.0513840666666667	29/09/2023	13:59:05	29/09/2023	13:59:08
Label-free preparation 	0.0334461833333333	29/09/2023	13:59:08	29/09/2023	13:59:10
Label-free normalization 	0.0334457833333333	29/09/2023	13:59:10	29/09/2023	13:59:12
Label-free quantification 	0.168021133333333	29/09/2023	13:59:12	29/09/2023	13:59:22
Label-free collect 	0.0834501333333333	29/09/2023	13:59:22	29/09/2023	13:59:27
Estimating complexity 	0.168006233333333	29/09/2023	13:59:27	29/09/2023	13:59:37
Prepare writing tables  	0.0501142166666667	29/09/2023	13:59:37	29/09/2023	13:59:40
Writing tables 	2.30168258333333	29/09/2023	13:59:40	29/09/2023	14:01:58
Finish writing tables  	0.61683995	29/09/2023	14:01:58	29/09/2023	14:02:35
