"","protein_group","number_of_peptides_SARS.Covid19.Negative_1","number_of_peptides_SARS.Covid19.Negative_2","number_of_peptides_SARS.Covid19.Negative_3","number_of_peptides_SARS.Covid19.Negative_4","number_of_peptides_SARS.Covid19.Negative_5","number_of_peptides_SARS.Covid19.Negative_6","number_of_peptides_SARS.Covid19.Negative_7","number_of_peptides_SARS.Covid19.Negative_8","number_of_peptides_SARS.Covid19.Negative_9","number_of_peptides_SARS.Covid19.Negative_10","number_of_peptides_SARS.Covid19.Positive_1","number_of_peptides_SARS.Covid19.Positive_2","number_of_peptides_SARS.Covid19.Positive_3","number_of_peptides_SARS.Covid19.Positive_4","number_of_peptides_SARS.Covid19.Positive_5","number_of_peptides_SARS.Covid19.Positive_6","number_of_peptides_SARS.Covid19.Positive_7","number_of_peptides_SARS.Covid19.Positive_8","number_of_peptides_SARS.Covid19.Positive_9","number_of_peptides_SARS.Covid19.Positive_10","abundance_SARS.Covid19.Negative_1","abundance_SARS.Covid19.Positive_1","abundance_SARS.Covid19.Negative_2","abundance_SARS.Covid19.Positive_2","abundance_SARS.Covid19.Negative_3","abundance_SARS.Covid19.Positive_3","abundance_SARS.Covid19.Negative_4","abundance_SARS.Covid19.Positive_4","abundance_SARS.Covid19.Negative_5","abundance_SARS.Covid19.Positive_5","abundance_SARS.Covid19.Negative_6","abundance_SARS.Covid19.Positive_6","abundance_SARS.Covid19.Negative_7","abundance_SARS.Covid19.Positive_7","abundance_SARS.Covid19.Negative_8","abundance_SARS.Covid19.Positive_8","abundance_SARS.Covid19.Negative_9","abundance_SARS.Covid19.Positive_9","abundance_SARS.Covid19.Negative_10","abundance_SARS.Covid19.Positive_10","log_ratios_SARS.Covid19.Positive..vs.SARS.Covid19.Negative.","differential_abundance_qvalue_SARS.Covid19.Positive..vs.SARS.Covid19.Negative."
"1","sp|P02768|ALBU_HUMAN",46,42,49,47,24,22,49,49,40,41,63,58,51,54,47,45,47,45,55,54,30.4440928150891,30.5220719068166,30.1605891460557,30.4018935372571,30.2833734086031,29.0030952885884,30.1285601549538,29.1051212312749,28.3560251319405,28.6149231149166,27.6828769578177,28.4249097592118,30.268446624925,28.6149231149166,30.0904970642262,28.4249097592118,29.8686930561437,29.7439567143668,29.4751803833623,29.3904725897325,-0.4512057726824,0.577604313764482
"2","sp|P02788|TRFL_HUMAN",44,53,41,43,30,30,70,62,50,45,33,37,36,30,42,39,42,39,39,41,28.767209633412,26.7751768217239,28.5912437162428,26.4311694484507,28.2838095745153,25.6745590998636,27.8987406821218,25.6808330438854,27.3034606769085,26.7691846959987,27.0089026739649,26.6098948397231,29.6664841889848,26.7691846959987,29.5105154918723,26.6098948397231,29.059445303929,26.7123691432982,29.1922595488207,26.5206814986324,-2.07291233634743,1.47727011997248e-10
"3","sp|P04264|K2C1_HUMAN",18,17,31,34,31,28,45,37,45,46,42,45,52,49,60,48,60,48,39,41,26.9567696262066,28.0272508324647,26.7075892577825,28.1953191856073,27.8113064822574,28.8849320647263,27.4582115895755,28.8168881457007,27.4762682172035,29.3046505874934,27.2213937410374,28.9754057008913,28.4394990384155,29.3046505874934,28.1704080007388,28.9754057008913,30.0165287961121,27.8865815862011,30.6717283943759,27.5843112274255,0.502569247518978,0.000651113329199029
"4","sp|P05787|K2C8_HUMAN",27,26,41,45,29,25,33,22,29,30,56,54,54,50,44,43,44,43,38,38,28.2475310661224,29.074403480531,28.1375506149581,28.9680488689914,29.2632405409774,28.2125967192679,28.9321536438477,28.4894525767539,27.8598353178089,28.3603868474571,27.2793151446592,28.1801214693975,27.8735511264927,28.3603868474571,27.4800735046297,28.1801214693975,29.1520229745025,27.9373286468955,29.5525093935091,27.5538299964101,-0.0461106404948701,0.043197139904395
"5","sp|P29508|SPB3_HUMAN",19,20,26,23,34,32,30,29,22,21,48,44,36,34,41,33,41,33,40,37,27.3665307297042,29.1739698612797,27.1892810478791,28.5573891420537,27.7175227890346,26.9050372212824,27.3647192545953,26.8461594016721,27.9292037682731,27.6969493846443,27.5507777804516,27.6001454432683,27.973551461538,27.6969493846443,27.6081962678033,27.6001454432683,28.1111829612676,28.0853468343546,27.2413844542854,27.8476892732325,0.1957430874868,0.238656741502033
"6","sp|P98088|MUC5A_HUMAN",22,23,27,26,16,13,46,36,29,28,30,27,27,29,35,36,35,36,31,28,26.1330514100545,25.7430510057313,25.9436585891298,25.4925705671019,26.0155673329098,24.7146877171991,25.6566683855015,24.7287267434768,25.8546832274125,25.5453709378958,25.0705368323271,25.5189569648572,27.0455603781395,25.5453709378958,26.8408044263095,25.5189569648572,26.4173976204738,25.2337375663358,26.126730621353,24.8175680658814,-0.82456613523787,5.32382864528725e-05
"7","sp|P08727|K1C19_HUMAN",25,28,38,37,27,26,32,27,28,31,51,45,48,47,45,41,45,41,41,45,28.3898265373247,29.9145943505428,28.100641487916,29.543819379855,29.5279420243972,29.014543085809,29.2600530752647,28.9741755257397,27.8184169793535,28.8214709627081,27.3412313175463,28.6229791172284,28.3451197330837,28.8214709627081,28.2156399357229,28.6229791172284,28.6661642866509,28.3326306102171,28.3554718142677,27.9322971266659,0.458045304717491,0.0997822684704988
"8","sp|P13645|K1C10_HUMAN",13,19,27,22,23,21,33,29,42,45,29,31,36,38,39,38,39,38,33,30,26.6106323243835,27.4950735395296,25.8872433961795,27.34129403614,27.1505054653858,27.9928445747263,28.0227633294884,28.0406591205558,26.6310877763788,28.5699253555668,26.3141659679336,28.5333651440506,27.5946389708665,28.5699253555668,27.431686837023,28.5333651440506,29.8444008191969,27.0668438685282,29.2171776336311,26.6323598183181,0.40713534365657,0.185235554924664
"9","sp|P13647|K2C5_HUMAN",17,15,20,23,13,12,19,22,44,46,37,38,52,45,44,37,44,37,26,28,26.1824351218931,28.0035304362112,25.7759174614584,27.7876932638924,26.5707961011213,28.107137081327,26.3392919407797,28.2006564892609,26.3491927997344,27.8997054131265,25.0916807252751,27.7340383021692,26.8404465025319,27.8997054131265,26.3727633216539,27.7340383021692,30.7436768549137,26.8201416553953,29.9696553608447,26.2612042673441,0.621199443381611,2.73764923054581e-05
"10","sp|P60709|ACTB_HUMAN; sp|P63261|ACTG_HUMAN",28,31,32,30,20,20,32,30,21,21,34,37,30,26,25,27,25,27,28,28,28.1760122511833,28.9526103581133,28.1181036726358,28.8515416586163,29.210990833305,27.133867798532,28.8129213213974,27.3214298095041,27.9239280577161,27.4363314446599,27.8089272639409,27.3169130422183,28.3558106574904,27.4363314446599,28.210832286187,27.3169130422183,27.9638887983318,27.9843603047432,27.7221130311977,27.6155148071785,-0.493771446294162,2.73764923054581e-05
"11","sp|P35908|K22E_HUMAN",21,18,34,32,19,18,37,41,31,32,32,31,39,37,43,39,43,39,32,31,26.4882822038733,27.0730417433777,26.2035266414874,26.9667948034224,27.0097244164732,27.787686589048,26.8246241505373,27.7732262528667,25.9881153362428,27.8661102635991,26.0930785224262,27.6784774262006,27.850360647786,27.8661102635991,27.6888645362457,27.6784774262006,30.5040541053003,26.8640282603706,29.6008931434948,26.4625397158182,-0.0235030959364,0.689449846495484
"12","sp|P01833|PIGR_HUMAN",23,22,26,25,20,14,43,44,30,28,21,21,23,23,20,19,20,19,16,20,27.5739809956358,26.1469834500999,27.5327510192659,25.8605195490658,28.1137482059182,25.8297771153533,27.6556675214582,25.9161605626505,26.5717549576966,26.2201363588094,25.9896042922577,26.1257973302631,29.588759234238,26.2201363588094,29.3100136051163,26.1257973302631,28.9023964610232,26.4912496703,28.5659456496347,26.1079385798785,-1.87601256367516,1.09669703050326e-08
"13","sp|Q15149|PLEC_HUMAN",21,19,44,38,12,7,6,5,11,9,24,22,14,11,14,12,14,12,21,18,25.2157403476102,24.9381336511281,24.9760143624705,24.7108941709156,25.6774848088838,23.8471764689431,25.3663391580855,23.8295400333406,24.152178831812,23.9446556796486,23.5484601199807,23.9178860221907,24.5516596867609,23.9446556796486,24.3780433046395,23.9178860221907,24.6502542653669,24.0905266231725,24.2615787558213,23.598053863595,-0.60383454266578,0.0737845394836072
"14","sp|P14618|KPYM_HUMAN",21,19,33,28,17,15,18,17,20,16,37,35,30,30,32,28,32,28,26,28,27.1283727745629,27.1754286363379,26.8500671044302,26.8184893411921,27.3111909175197,25.9814236517186,26.7407081344183,26.0075190594605,25.3522518595006,25.9409469172199,24.9732178219042,25.892174151651,26.0586621405492,25.9409469172199,25.8552684745743,25.892174151651,26.5773677413863,26.2981730695118,26.2591922753325,25.8266531216809,-0.13323702265346,0.529336694335488
"15","sp|P02538|K2C6A_HUMAN",6,6,11,12,13,11,17,17,48,48,23,25,31,31,42,37,42,37,22,20,25.5254452971676,27.5735168322969,25.0715374856914,27.372327332289,26.0415495380673,27.4654563005746,25.8309033516182,27.6563790346078,26.2894270964796,27.9477277990546,25.3698245545166,27.8318474588998,26.8384541635812,27.9477277990546,26.4519808855368,27.8318474588998,31.2327429548373,26.4350814112603,30.8028577971359,25.9934594004594,0.46006477027649,0.000147872144140185
"16","sp|P00352|AL1A1_HUMAN",22,24,34,29,17,14,17,21,25,26,34,30,30,32,30,29,30,29,30,29,28.307915358934,28.3461805460709,28.0846348617604,28.4215173343068,29.1455181574305,27.523567220212,28.8640482921285,27.591261182158,26.6283401816521,27.447820026563,26.4953711304392,27.3885696925777,27.675134591977,27.447820026563,27.4129116901473,27.3885696925777,28.2648158197369,27.8904736826865,28.0179691960815,27.5808921261333,-0.186998775043849,0.518289074238077
"17","sp|P68371|TBB4B_HUMAN",23,28,36,40,16,16,21,21,24,22,41,34,24,26,21,23,21,23,24,24,27.616383716963,26.9152196350185,27.3118725983064,26.9442388714819,28.0245999759066,25.7724152623659,27.8077762671563,25.9008840320484,26.3163670290051,25.5153142448867,26.1809457941781,25.1439218768216,25.8500941048996,25.5153142448867,25.8464313592741,25.1439218768216,26.7475393531129,25.7114031516445,26.5839238103095,25.266661171063,-1.04566396420728,0.00331709064046193
"18","sp|P11142|HSP7C_HUMAN",21,27,32,33,24,21,23,22,17,18,39,38,31,30,32,26,32,26,37,33,27.2280964577849,27.6340535773464,27.0053099833941,27.4508894232063,27.8479352399021,26.3170538618756,27.6714757392415,26.4400849472177,26.4950975784667,26.5375983030125,25.9584092536802,26.4138592811039,26.2779939385907,26.5375983030125,26.1432622207181,26.4138592811039,26.564316401193,26.7204366409325,26.1835919211133,26.3897255942123,-0.0520329521061001,0.791593209486512
"19","sp|Q8TDL5|BPIB1_HUMAN",13,11,19,20,24,22,25,21,29,28,28,30,25,27,22,21,22,21,27,24,27.3389237680126,28.344664337666,27.2150826560307,28.1335854778974,27.9836756665624,26.3955626370598,27.7641654588254,26.4378254603024,28.0688696097318,27.1895196508962,27.9056041423289,27.0788887831301,28.6391568577278,27.1895196508962,28.5482275021559,27.0788887831301,29.395783962871,27.5320989312885,29.1869102195787,27.0988076593177,-0.95670384722408,0.000651113329199029
"20","sp|P30838|AL3A1_HUMAN",33,35,30,25,21,21,22,20,30,31,32,31,26,31,26,27,26,27,28,26,30.3629389350139,28.7428704534689,29.9630714872779,28.4498563139933,29.4652761798298,27.4637668162812,29.1751212795704,27.5065994744128,28.8591666898902,27.5746635078056,28.4498660091239,27.2867366807672,27.7681546361636,27.5746635078056,27.4480612147567,27.2867366807672,29.7188847400766,27.8674969754472,29.3017288036154,27.5080221382985,-1.32508574262709,1.12421044672099e-06
"21","sp|P15311|EZRI_HUMAN",24,27,35,32,21,17,21,19,4,7,34,30,28,23,14,22,14,22,17,21,27.1535240455258,26.9323327247788,27.003506931984,26.7514678516037,27.6426189252617,25.8095776816197,27.3457532288924,25.6013175223418,25.881733295002,25.6708229499728,25.5226133768057,25.4815792154894,26.1050668653107,25.6708229499728,26.0298331496555,25.4815792154894,24.9920111696193,25.6267781491701,24.9902054358026,25.1480029463465,-0.44925852170747,0.276588924302438
"22","sp|P07900|HS90A_HUMAN",14,19,29,29,18,15,15,18,15,10,31,40,23,25,18,13,18,13,28,29,27.1688240453738,27.498317491764,26.9809334245452,27.4806663393859,27.4507393108524,26.3060608547824,27.2359968144174,26.4032236264841,25.9879726166508,26.1023150318303,25.7040273098617,25.8670399152194,26.5530129522178,26.1023150318303,26.3861314109253,25.8670399152194,25.9460901733127,26.724894750504,25.6588645556727,26.326544420532,-0.0394175236278002,0.79639197243126
"23","sp|Q7Z406|MYH14_HUMAN",11,16,35,30,22,23,6,8,10,7,28,22,13,17,23,26,23,26,19,13,25.3183268275011,25.0428989093805,25.2024018658273,24.9066054889968,25.6029465306285,23.7269301176955,25.3242679122332,23.7202924868403,24.8868936493892,24.4783819274121,24.6755146442453,24.324504569545,24.3061907755154,24.4783819274121,23.9909972259163,24.324504569545,24.2133552327801,23.5649967571085,23.9183653852666,23.130236841661,-0.57415264537062,0.218623078248947
"24","sp|P0DMV8|HS71A_HUMAN; sp|P0DMV9|HS71B_HUMAN",22,25,28,23,18,16,18,21,25,14,31,33,30,24,22,23,22,23,34,32,27.2986323305697,27.1171073795392,27.1901931672001,27.052642671855,27.6984216122681,26.1139532285801,27.3451139112127,26.3298995102245,26.3554345783267,26.0708559969416,25.8295581303616,25.8545203048487,26.2087332758701,26.0708559969416,26.1270735010262,25.8545203048487,26.8701431536377,26.5699849045249,26.5043254794459,26.0973875940998,-0.42959012475147,0.18912819934073
"25","sp|P01876|IGHA1_HUMAN",18,18,17,14,10,10,36,33,17,24,14,12,13,13,13,12,13,12,16,14,29.7447664091033,27.9244085893396,29.6937934163101,27.6837367552345,29.510255543371,27.0877536851774,29.0986210321834,26.9379899397241,28.727782550336,27.7589342929754,28.3873857788184,27.5382320411093,31.507165295917,27.7589342929754,31.2778800362068,27.5382320411093,29.5701803329592,27.7163633652362,29.3442602790207,27.5155541550449,-2.14019515162998,7.8629064285699e-16
"26","sp|P35527|K1C9_HUMAN",13,13,20,23,20,16,20,23,16,18,20,18,31,29,28,25,28,25,23,20,26.1077719635865,27.2558228648085,26.1210213788287,27.1306927822157,26.8150799086618,27.3949161137469,26.5218182249217,27.5813613942532,26.4910480235111,27.1848816973873,26.2193688467194,26.8921788775335,27.3945981073433,27.1848816973873,27.1115763562031,26.8921788775335,27.1835563341294,26.506220280089,26.9354803585985,26.2323784727127,0.33541935551641,0.162461538461538
"27","sp|P04259|K2C6B_HUMAN",8,7,11,12,11,10,14,15,45,43,19,21,26,26,36,35,36,35,19,19,25.4661363463483,27.4423510264253,24.942770236255,27.1105835083606,25.932179691726,27.3402957809819,25.800466765626,27.5747856767904,26.2184421784198,27.7700701169523,25.3222506982688,27.6714816782247,26.8380535182438,27.7700701169523,26.4626907269459,27.6714816782247,31.1326878297675,26.4785658503579,30.665648522358,25.9996879037248,0.40480468230358,0.000147872144140185
"28","sp|P35579|MYH9_HUMAN",13,10,17,15,12,11,18,17,10,10,31,25,19,12,22,20,22,20,21,15,25.0732717584839,25.0833624568205,25.187104349717,24.7932387398388,25.0220594178219,23.7819603645198,25.115595695372,23.7978711609519,23.8339602784765,24.514213443469,23.6044868327486,24.1577370392652,24.8346947871492,24.514213443469,24.5323999224483,24.1577370392652,25.0727899435069,24.0098014575322,24.452693952452,23.5412560513087,-0.437766574173601,0.308912514726915
"29","sp|P48594|SPB4_HUMAN",10,10,15,14,19,21,19,18,10,8,37,34,23,20,30,25,30,25,23,22,26.5245852338128,28.5647612095748,26.3695004358049,27.810878128125,26.9010227381662,26.3431135884373,26.6354739141343,26.3125164277612,27.4868104763738,26.9973216372834,27.1021729201565,26.8558837977176,27.3118149610051,26.9973216372834,26.9435832989176,26.8558837977176,26.7322849312343,27.4558435423137,26.4461602445992,27.3152224097841,0.30553370217934,0.17896282003131
"30","sp|P04083|ANXA1_HUMAN",24,23,31,25,20,19,21,22,18,20,27,27,27,25,24,24,24,24,24,25,28.1107622236229,28.3388128083116,27.8250492199065,28.2182732126806,28.8297497319518,27.3555753170695,28.5474771775977,27.2119969858071,26.8486951399987,27.3482728158177,26.5732404819339,27.2373118005273,26.6600669660705,27.3482728158177,26.2382273061005,27.2373118005273,27.5127968748352,27.0086660948704,27.6316245905417,26.6803085461589,-0.0792887514971291,0.0135820415740372
"31","sp|O43707|ACTN4_HUMAN",10,11,22,21,13,16,13,15,10,9,38,34,29,31,22,23,22,23,34,34,25.0744147508019,25.7823687923912,24.9716445857667,25.6014916368803,25.6311357480463,24.7113220629224,25.3522980692302,24.7902914164163,24.4023015547283,24.9218390307253,24.0097052836878,24.8582445670794,24.9651635386712,24.9218390307253,24.6865652847117,24.8582445670794,25.0449610295479,24.8434412196295,24.6625399538259,24.5471444770849,0.10354970019161,0.393221773288837
"32","sp|P07355|ANXA2_HUMAN",15,19,24,27,17,17,21,19,17,19,31,28,33,28,28,28,28,28,27,23,27.3453417590027,27.9647000949952,27.0391054665949,27.6770344983282,28.2551122990144,27.1706593715147,27.8371820070403,27.2137972183095,26.595036956823,27.3105485762635,26.1897075493903,27.2131082255136,26.9323857147731,27.3105485762635,26.5828573884977,27.2131082255136,27.5045216421923,26.8565780734389,27.2348712131574,26.4849196103186,0.0898880473973197,0.313040041499468
"33","sp|Q9HC84|MUC5B_HUMAN",1,3,4,3,2,3,26,25,34,33,2,1,1,2,6,6,6,6,6,6,23.6860577258011,22.9886253176812,23.5454546055096,22.5744602548145,23.473585860878,21.7374003351952,23.1864044521099,21.8783127149218,22.1075411586586,23.1431226843468,21.9307408561545,22.8878423533095,26.1866084728728,23.1431226843468,25.9392256951677,22.8878423533095,26.943155626045,22.6403350850734,26.8545106982154,22.4059966949301,-1.75662246734838,0.0242192773360539
"34","sp|Q00610|CLH1_HUMAN",14,16,27,23,10,10,20,14,20,16,18,18,10,8,8,8,8,8,28,24,25.6072458686786,24.4819255358607,25.3806034787894,24.4396702330882,25.6378187332753,23.1285129581559,25.3282069131101,23.115214033501,23.8965751125518,23.4343460928331,23.4946814164562,23.2209641111194,24.9168968496093,23.4343460928331,24.5969904486735,23.2209641111194,24.7802340701942,24.4426596926085,24.4596763760907,24.1009980000643,-1.10793284062455,0.0135323849876115
"35","sp|P04406|G3P_HUMAN",15,13,21,17,9,9,14,10,9,8,28,25,22,23,16,16,16,16,21,16,26.561145394895,26.6669447367613,26.5363546567193,26.284671345626,27.5768326039794,25.7082404672877,27.2273624046528,25.7562507949067,25.2783140369906,25.7009157933954,25.268744723416,25.4748429585505,26.5112263983159,25.7009157933954,26.1773720878193,25.4748429585505,26.1841663401555,25.8749339902906,26.0371821200333,25.910224305069,-0.4805917623144,0.0362244680543659
"36","sp|Q13228|SBP1_HUMAN",11,14,20,19,9,7,13,12,15,16,35,36,25,23,22,23,22,23,24,27,25.801527698956,26.4600151159321,25.559682596013,26.4141472574426,26.3244034833013,25.2914722899538,25.984898900698,25.4238238970736,24.3032420066447,25.1582689833081,23.9811710230096,24.984695114838,25.395449019542,25.1582689833081,25.0746561421316,24.984695114838,26.0265884481888,25.5155700353526,26.2380816400025,25.1767423127736,-0.0122001853666998,0.587778798021386
"37","sp|P02533|K1C14_HUMAN",5,7,12,9,12,12,13,14,35,34,18,12,21,22,25,24,25,24,15,14,26.056066938915,27.2550153110495,25.7397982206892,27.1407018551004,26.9843080597116,27.1292852183212,26.9628579770249,27.0635135805048,26.1452284659218,27.3088907274482,25.7136559520699,27.2146268361693,26.4999391689775,27.3088907274482,26.3351602480502,27.2146268361693,29.2363809685809,26.1048413845917,29.0612985051821,25.941573333061,0.09472713047405,0.00320659968618023
"38","sp|P08263|GSTA1_HUMAN",22,24,18,16,11,10,11,9,9,10,24,22,20,22,17,18,17,18,16,17,28.665399571389,28.1567688325482,28.3822589638972,28.4080442299228,29.3950319966382,27.319086759514,29.0157163650983,27.3228622773001,27.0044433734443,27.3171761705413,26.7090506731471,27.0401885335344,25.7289365725192,27.3171761705413,25.7530679763161,27.0401885335344,26.9665681144564,27.2724691840049,26.6622696007552,26.8832246182618,-0.0205557897957796,0.043197139904395
"39","sp|P11021|BIP_HUMAN",12,12,19,20,20,18,16,19,14,11,34,32,23,21,30,28,30,28,19,18,25.6380046335701,26.7338390381902,25.4659060060028,26.4573934046394,26.4518579203434,25.3923396984549,26.0867888355728,25.6124089180838,25.8124105984299,25.8443363548732,24.9165442878426,25.7098557977977,25.1585602285869,25.8443363548732,25.0517481258689,25.7098557977977,25.6070404929921,25.5986190093973,25.3310212005142,25.1585784102047,0.25416804545884,0.217448437395703
"40","sp|P48668|K2C6C_HUMAN",7,7,11,11,13,11,15,17,37,35,22,24,28,29,40,34,40,34,19,18,25.4670827213787,27.5349134982839,24.9960720774116,27.3329605237418,25.9647364886396,27.3946828810198,25.7547300338986,27.6016341095122,26.2284385358249,27.8720662088448,25.3146139439649,27.7679378099771,26.7970980609598,27.8720662088448,26.4141200241316,27.7679378099771,31.1738241160594,26.3473371043229,30.7272511635192,25.9111763601347,0.45647453488708,0.000147872144140185
"41","sp|P06733|ENOA_HUMAN",11,13,19,14,8,6,13,11,8,9,27,22,19,24,13,13,13,13,23,20,26.4640907583144,26.6321254739337,26.2342353461096,26.7034202451639,27.1544715628234,25.3538909282013,26.8247719389695,25.3751494960449,25.3390885600542,25.1791232118157,25.1635945541483,25.0144176004351,26.0505099741789,25.1791232118157,25.724704834734,25.0144176004351,25.9308979209499,26.1009165376673,25.4477315093333,25.7245122918582,-0.40570003622446,0.371602663732024
"42","sp|Q13885|TBB2A_HUMAN",16,19,29,31,12,11,15,16,17,17,33,25,18,18,15,17,15,17,19,16,26.9835483370727,26.210433984139,26.6291291264247,26.1167659294528,27.4576278631806,25.0639919221336,27.1742309767197,25.2246847494943,25.782695731374,24.4985201946135,25.5278790445424,24.3094338869184,25.3615342191664,24.4985201946135,25.2846799579144,24.3094338869184,26.1354497154047,25.1463195984791,26.0353438108923,24.7070959960245,-1.22869184399048,0.00268530682831989
"43","sp|P02787|TRFE_HUMAN",15,12,21,20,6,3,19,21,14,11,29,25,12,13,14,12,14,12,27,25,25.6593697924647,25.6906308486697,25.3349224689824,25.276343106246,25.4726199472448,23.7577476794023,25.1704391761503,23.5925099606165,23.8120770034293,23.6684316563661,23.0893457325387,23.3791830724599,25.354127889021,23.6684316563661,25.1816861012577,23.3791830724599,25.2556252324103,25.3184939889683,24.9212189704954,24.9666136135074,-0.655386365893241,0.298579837350153
"44","sp|Q71U36|TBA1A_HUMAN",19,20,28,29,16,13,14,18,18,19,25,23,21,24,21,18,21,18,22,19,27.1156877617384,26.2876822291623,26.9656768534192,25.9893100372255,27.6886818747525,25.1771358783368,27.3955064177724,25.261633270942,25.7926718567961,24.9663648032936,25.6701519238851,24.7629622645509,25.7451848863432,24.9663648032936,25.5378261254095,24.7629622645509,27.2069821372377,25.25015324256,26.6904337038188,24.9834248236883,-1.3400809923569,0.000105911215364844
"45","sp|P04350|TBB4A_HUMAN",19,20,29,29,11,12,16,16,18,19,29,24,18,19,17,18,17,18,18,18,27.1061734486425,26.1773106436138,26.7015639935788,26.0176352247778,27.5427743600039,25.1165502017248,27.2041887254161,25.3073402172158,25.7308147496599,24.7392364192157,25.5810533177444,24.5437396286244,25.4345624392934,24.7392364192157,25.3840631910687,24.5437396286244,26.2003840978539,25.2009720697143,26.0213553319948,24.8135369643544,-1.17076362381753,0.0016455281682437
"46","sp|P09210|GSTA2_HUMAN",22,21,17,16,10,10,9,8,8,8,24,19,17,18,17,17,17,17,14,15,28.6575136297647,28.3123851364704,28.3514910049337,28.4788035576291,29.4090886682343,27.3306252002385,29.079604247376,27.3209762353374,27.0823629896762,27.3824537106699,26.8555206614405,27.1675803112724,25.639033393928,27.3824537106699,25.6976725375164,27.1675803112724,27.1082111252004,27.3202113749709,26.7823204951233,26.9354181296516,0.0135668924989002,0.0441857109551913
"47","sp|P06576|ATPB_HUMAN",9,12,18,14,10,16,10,9,13,15,29,25,23,27,24,27,24,27,21,18,25.4245297427594,25.556515058952,25.1196828572142,25.3692702473362,25.8897901489691,24.964953773959,25.5695280292799,25.1759257820668,24.3703576279773,24.8286497087005,24.2469794508733,24.8199605614016,24.2241869020017,24.8286497087005,24.0441312642309,24.8199605614016,25.304832428355,24.4085879867456,25.0369769546891,24.1003570810515,-0.0358164936034601,0.824822236586943
"48","sp|P01024|CO3_HUMAN",10,9,12,10,14,11,8,10,8,5,32,32,6,7,12,4,12,4,25,21,24.9680516823328,24.9257299056215,24.8078220495798,24.9099996246972,24.5326676816325,23.01728010436,24.2002529724446,23.0283905557069,23.8206560760127,23.2298396217782,23.5850426424105,23.1285941356922,24.1639293985454,23.2298396217782,23.83146295087,23.1285941356922,24.3115408752133,24.4776773720276,23.6750609176689,23.8198750233595,-0.5000667145997,0.169092063909039
"49","sp|P08238|HS90B_HUMAN",14,15,24,27,16,10,16,16,12,12,23,28,17,19,13,12,13,12,22,21,26.8720651752284,27.0830588738975,26.7295689882036,26.9539302564345,27.075334206259,25.6489236571132,26.9481198895832,25.9117852105316,25.8120774932025,25.5967456249575,25.4501830165868,25.2967483464217,26.3237928322154,25.5967456249575,26.0244576077611,25.2967483464217,25.7140975984519,26.3497147903965,25.4009863749981,25.9007437466271,-0.27155387047312,0.811731727586587
"50","sp|P23141|EST1_HUMAN",11,14,25,24,9,8,3,6,18,21,19,19,15,19,13,16,13,16,11,18,26.3589150068035,25.3916044194793,26.2824274349289,25.0381328078669,27.2203973705035,24.6091068039994,27.152204213136,24.6939808536488,24.6563016681451,24.6402513362041,24.3952055419795,24.4371039884047,23.7095116107203,24.6402513362041,23.6656682544388,24.4371039884047,26.8553887274855,24.3040356953716,26.8624622770946,23.8487168182645,-1.11181940573876,0.00331709064046193
"51","sp|P05783|K1C18_HUMAN",10,12,23,24,10,7,10,9,12,15,21,21,22,18,14,14,14,14,16,12,27.4515844172278,27.8467594002946,27.1121577347094,27.4011941078254,28.1073063254337,26.8764035008845,27.6497401253394,26.840265153886,26.1511737439487,26.8051143621097,25.6725603319202,26.8318779909585,26.2112538018201,26.8051143621097,26.0696895327735,26.8318779909585,26.7606406703059,26.4697968057918,26.3402288075736,26.0823352123013,0.12644033960677,0.0909705472496607
"52","sp|P16050|LOX15_HUMAN",12,12,20,17,9,9,14,18,13,17,22,22,23,22,22,16,22,16,23,27,25.9911358396928,25.4599297194761,25.5585746263375,25.1536933459057,26.5612569419711,24.7173849332748,26.2557694260652,24.6213712432069,24.6755881877128,24.4882256833099,24.5694360110296,24.4948648598445,26.1496793712833,24.4882256833099,25.9008838478348,24.4948648598445,25.6843521574343,25.2091256503308,25.6275840894878,24.884723902271,-0.896185061807509,0.0016455281682437
"53","sp|P07437|TBB5_HUMAN",14,21,27,27,10,13,17,17,18,21,28,25,20,20,15,19,15,19,21,20,26.9397380993207,26.2327003634852,26.5452484916131,26.2193301427816,27.4848984734368,25.1977363797048,27.1646576201787,25.3482035096522,25.4903546476348,24.6551397993724,25.3505115182014,24.5204962733558,25.3208506685156,24.6551397993724,25.2614756018379,24.5204962733558,26.1957251357027,25.2666222856797,26.0710613123254,24.8393682572213,-1.03692884847859,0.0325911900105008
"54","sp|P02545|LMNA_HUMAN",14,18,25,25,17,20,8,10,14,15,24,22,22,21,21,28,21,28,20,16,26.615874307304,25.7338377972281,26.2859057667334,25.6718063414304,26.1232182275772,24.7449695057882,25.9560031488587,24.8185602366702,25.0718848997684,25.0017689604939,24.3119706872654,24.8987869877183,25.550204146416,25.0017689604939,24.5972306834875,24.8987869877183,26.8077984708307,24.4223967958753,26.3326707610108,24.0101544955239,-0.844992403031159,0.00647410078931195
