"","protein_group","number_of_peptides_SARS.Covid19.Negative_1","number_of_peptides_SARS.Covid19.Negative_2","number_of_peptides_SARS.Covid19.Negative_3","number_of_peptides_SARS.Covid19.Negative_4","number_of_peptides_SARS.Covid19.Negative_5","number_of_peptides_SARS.Covid19.Negative_6","number_of_peptides_SARS.Covid19.Negative_7","number_of_peptides_SARS.Covid19.Negative_8","number_of_peptides_SARS.Covid19.Negative_9","number_of_peptides_SARS.Covid19.Negative_10","number_of_peptides_SARS.Covid19.Positive_1","number_of_peptides_SARS.Covid19.Positive_2","number_of_peptides_SARS.Covid19.Positive_3","number_of_peptides_SARS.Covid19.Positive_4","number_of_peptides_SARS.Covid19.Positive_5","number_of_peptides_SARS.Covid19.Positive_6","number_of_peptides_SARS.Covid19.Positive_7","number_of_peptides_SARS.Covid19.Positive_8","number_of_peptides_SARS.Covid19.Positive_9","number_of_peptides_SARS.Covid19.Positive_10","abundance_SARS.Covid19.Negative_1","abundance_SARS.Covid19.Positive_1","abundance_SARS.Covid19.Negative_2","abundance_SARS.Covid19.Positive_2","abundance_SARS.Covid19.Negative_3","abundance_SARS.Covid19.Positive_3","abundance_SARS.Covid19.Negative_4","abundance_SARS.Covid19.Positive_4","abundance_SARS.Covid19.Negative_5","abundance_SARS.Covid19.Positive_5","abundance_SARS.Covid19.Negative_6","abundance_SARS.Covid19.Positive_6","abundance_SARS.Covid19.Negative_7","abundance_SARS.Covid19.Positive_7","abundance_SARS.Covid19.Negative_8","abundance_SARS.Covid19.Positive_8","abundance_SARS.Covid19.Negative_9","abundance_SARS.Covid19.Positive_9","abundance_SARS.Covid19.Negative_10","abundance_SARS.Covid19.Positive_10","log_ratios_SARS.Covid19.Positive..vs.SARS.Covid19.Negative.","differential_abundance_qvalue_SARS.Covid19.Positive..vs.SARS.Covid19.Negative."
"140","sp|P21796|VDAC1_HUMAN",NA,2,8,10,4,5,4,7,8,7,12,10,11,11,10,8,10,8,10,7,22.8373451667361,24.9108956666325,22.8059444664559,24.9008379779315,24.7044989312334,23.84034209537,24.5172072950643,23.8921476493562,22.2996515802598,24.0468081109035,22.8135737575845,23.9351015477845,23.3532990962657,24.0468081109035,22.9669210685143,23.9351015477845,24.5033026491474,23.9310065301415,24.1731879090924,23.6610862100253,0.61252035264792,0.0579302350875499
"141","sp|P07099|HYEP_HUMAN",3,5,6,6,4,3,2,3,5,5,12,7,9,8,10,6,10,6,7,11,23.992129367651,24.8808307184818,24.0043104906497,24.5462546234964,25.4623043066187,24.1893247896921,24.8055749341755,24.350907492144,22.6516204326399,24.2009476816522,22.2683108326363,23.9728967227287,23.5556561251044,24.2009476816522,23.3321866919432,23.9728967227287,25.0012375721449,24.5201594500896,24.6933740128193,24.2948937219718,0.33633548382546,0.248091803007704
"142","sp|P37802|TAGL2_HUMAN",2,3,8,8,4,5,4,5,1,1,13,12,7,9,8,7,8,7,14,11,23.4566406755147,25.0662715318823,23.2027601022331,24.779754917352,25.1397223003438,23.6143880251745,24.7710241329847,23.5805838343853,23.7001671660432,23.2610004818175,23.4674418677269,22.9693151971302,23.8742063670395,23.2610004818175,23.5988095754919,22.9693151971302,23.8976896435689,24.3439951344726,23.7170802022966,24.1409317831923,-0.0838985448888891,0.968613464376278
"143","sp|P04843|RPN1_HUMAN",NA,3,5,6,6,4,2,4,5,7,10,13,6,8,8,8,8,8,4,7,24.7912373260058,23.4589200828264,24.5624278405419,23.2617328274516,23.3521850346498,22.2475614879344,25.1462638104657,22.1646537843577,22.3932912038011,22.7338723369406,21.7317631748196,22.6095693523267,22.583604345246,22.7338723369406,22.4185910104355,22.6095693523267,22.5745667352368,22.6210694693863,23.4634310767309,23.4884783535098,-0.508806217393229,0.497842064794688
"144","sp|Q562R1|ACTBL_HUMAN",9,10,10,9,10,9,11,10,5,4,10,11,8,8,8,8,8,8,9,8,26.8047521980385,26.3253167107272,25.9366997559646,25.8420126633612,26.7393809592715,24.7936837720497,26.310924199689,24.879253519368,25.7273662654635,24.8331425712093,25.3839128151215,24.7640278367557,25.7281268708961,24.8331425712093,26.434533043532,24.7640278367557,25.5915708531109,25.6960950924735,25.6868550550739,25.2446560643034,-0.83687633779485,0.0165310068637438
"145","sp|Q13509|TBB3_HUMAN",8,8,14,12,9,9,10,11,11,14,14,13,9,10,10,13,10,13,12,12,26.0223627329166,25.3105620277386,25.7825230728313,25.276940246655,26.7267935736438,24.293438110324,26.4660508134424,24.491427678477,25.0843336553256,23.7875124344324,24.9956541668224,23.8126796905034,24.6237990127109,23.7875124344324,24.6248997352259,23.8126796905034,25.4966507183575,24.562468135158,25.4691925295739,24.166238797331,-1.19908007652951,0.000758817771757361
"146","sp|P06744|G6PI_HUMAN",6,4,9,7,4,NA,8,8,1,2,9,8,5,3,4,1,4,1,5,8,24.4904165937925,23.9984057001462,24.1275465002588,23.6708865785961,24.6533387628411,22.8645573078021,24.2806280628184,22.7912976483321,22.5384061222735,22.3318777808264,22.0040997391589,22.254208314395,24.1497922315443,22.3318777808264,23.9794375814364,22.254208314395,22.6844684859392,23.4321506328499,22.9584785525316,23.4208218322517,-0.651632074217379,0.24586561450222
"147","sp|P06703|S10A6_HUMAN",2,3,7,7,3,1,8,6,1,5,7,7,7,7,8,6,8,6,9,9,26.3010391011701,27.8368997308841,26.525122534715,28.2437934330086,27.6391939610627,27.6664561245116,27.6235069002296,27.1432362144043,26.6214406679701,27.3888405628823,25.8215593255727,27.070261334363,27.6250163853488,27.3888405628823,26.843599935361,27.070261334363,25.9383697878746,27.375943171921,25.8485664006778,26.883299582184,0.728041705142181,0.000570809731871348
"148","sp|O95994|AGR2_HUMAN",4,6,7,5,3,5,4,4,3,4,10,7,9,9,8,9,8,9,11,8,25.6236024544209,26.5181981024637,25.3654407267493,26.2386594060682,26.4723053529618,24.5489196004814,26.2150312427259,24.8020560977198,25.7334334970133,25.5882318526694,25.4181583581355,25.1767196418308,26.171747019393,25.5882318526694,25.6908393666346,25.1767196418308,24.1359459588455,25.2023788471804,23.850542353342,24.6045188436267,-0.12324124436812,0.79537031016321
"149","sp|P01857|IGHG1_HUMAN",8,10,7,9,9,7,10,9,8,8,11,10,9,10,5,7,5,7,12,12,27.7047722490568,26.2057498549442,26.9094890903788,26.5153615322421,27.1581994764063,24.9360722087459,26.8313408802714,25.0446784359904,26.2836745142295,24.3770612924186,25.3901256497548,24.2974720089776,27.1178948013507,24.3770612924186,26.8733321148262,24.2974720089776,26.769658998956,26.6993284410832,26.6665029344484,25.9841147975027,-1.4970618836378,0.000570809731871348
"150","sp|P01871|IGHM_HUMAN",7,6,6,5,6,4,12,15,1,1,3,6,1,4,2,2,2,2,3,3,24.8240241021797,23.7212477479858,24.502199076405,23.3773925877524,24.3313421872649,22.6067034057523,23.7519945816867,22.4670456447213,23.8859781035883,22.5106181061146,22.9604750181349,22.3806835307827,26.2118918583237,22.5106181061146,26.0493601762528,22.3806835307827,22.5607234894527,22.8502568602759,22.4042098301752,22.1979995261877,-1.44789493769939,0.0177192526191684
"151","sp|Q14204|DYHC1_HUMAN",4,4,15,9,3,3,4,2,2,2,2,4,NA,NA,NA,NA,NA,NA,3,2,23.0768963119837,22.4608226939204,23.0460855201505,22.1847471882744,23.4661294989225,20.7910368628604,23.0073419718491,20.7812983778292,21.8670648083661,21.2368609080265,21.7367460588081,20.7422520680369,22.6118734575312,21.2368609080265,22.3727659781017,20.7422520680369,22.5749786088139,21.9539798845011,22.2289965508686,21.7884908348868,-1.20702769709963,0.00552781049964361
