Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.0335756333333333	05/12/2023	10:44:06	05/12/2023	10:44:08
Assemble run info 	0.401332366666667	05/12/2023	10:44:08	05/12/2023	10:44:32
Finish run info 	0.0334480166666667	05/12/2023	10:44:33	05/12/2023	10:44:35
Testing fasta files 	0.05011245	05/12/2023	10:44:35	05/12/2023	10:44:38
Testing raw files 	0.0513055833333333	05/12/2023	10:44:38	05/12/2023	10:44:41
Feature detection 	6.35197791666667	05/12/2023	10:44:41	05/12/2023	10:51:02
Deisotoping 	13.6542969333333	05/12/2023	10:51:02	05/12/2023	11:04:42
MS/MS preparation 	0.95142355	05/12/2023	11:04:42	05/12/2023	11:05:39
Calculating peak properties 	0.35139375	05/12/2023	11:05:39	05/12/2023	11:06:00
Combining apl files for first search 	0.200139	05/12/2023	11:06:00	05/12/2023	11:06:12
Preparing searches 	4.91742466666667	05/12/2023	11:06:12	05/12/2023	11:11:07
MS/MS first search 	6.20205321666667	05/12/2023	11:11:07	05/12/2023	11:17:19
Read search results for recalibration 	0.784989366666667	05/12/2023	11:17:19	05/12/2023	11:18:06
Mass recalibration 	3.30170963333333	05/12/2023	11:18:06	05/12/2023	11:21:24
Calculating masses 	0.551391	05/12/2023	11:21:24	05/12/2023	11:21:57
MS/MS preparation for main search 	0.76810255	05/12/2023	11:21:57	05/12/2023	11:22:43
Combining apl files for main search 	0.200140433333333	05/12/2023	11:22:43	05/12/2023	11:22:55
MS/MS main search 	4.91878251666667	05/12/2023	11:22:55	05/12/2023	11:27:51
Preparing combined folder  	0.116796333333333	05/12/2023	11:27:51	05/12/2023	11:27:58
Correcting errors 	0.650183533333333	05/12/2023	11:27:58	05/12/2023	11:28:37
Reading search engine results 	1.28486461666667	05/12/2023	11:28:37	05/12/2023	11:29:54
Preparing reverse hits 	0.200140783333333	05/12/2023	11:29:54	05/12/2023	11:30:06
Finish search engine results 	0.0680064	05/12/2023	11:30:06	05/12/2023	11:30:10
Filter identifications (MS/MS) 	0.1013449	05/12/2023	11:30:10	05/12/2023	11:30:16
Calculating PEP 	0.53351195	05/12/2023	11:30:16	05/12/2023	11:30:48
Copying identifications 	0.05136105	05/12/2023	11:30:48	05/12/2023	11:30:51
Applying FDR 	0.116791233333333	05/12/2023	11:30:51	05/12/2023	11:30:58
Assembling second peptide MS/MS 	0.634737716666667	05/12/2023	11:30:58	05/12/2023	11:31:36
Combining second peptide files 	0.100125516666667	05/12/2023	11:31:36	05/12/2023	11:31:42
Second peptide search 	4.66961308333333	05/12/2023	11:31:42	05/12/2023	11:36:22
Reading search engine results (SP) 	0.4014044	05/12/2023	11:36:22	05/12/2023	11:36:46
Finish search engine results (SP) 	0.0346691833333333	05/12/2023	11:36:46	05/12/2023	11:36:48
Filtering identifications (SP) 	0.068009	05/12/2023	11:36:48	05/12/2023	11:36:52
Applying FDR (SP) 	0.166799783333333	05/12/2023	11:36:52	05/12/2023	11:37:03
Re-quantification 	0.0346713166666667	05/12/2023	11:37:03	05/12/2023	11:37:05
Reporter quantification 	0.0346723166666667	05/12/2023	11:37:05	05/12/2023	11:37:07
Retention time alignment 	18.11934535	05/12/2023	11:37:07	05/12/2023	11:55:14
Matching between runs 1 	0.218040066666667	05/12/2023	11:55:14	05/12/2023	11:55:27
Matching between runs 2 	0.0501183666666667	05/12/2023	11:55:27	05/12/2023	11:55:30
Matching between runs 3 	0.2001321	05/12/2023	11:55:30	05/12/2023	11:55:42
Matching between runs 4 	0.0834559833333333	05/12/2023	11:55:42	05/12/2023	11:55:47
Prepare protein assembly 	0.300160183333333	05/12/2023	11:55:47	05/12/2023	11:56:05
Assembling proteins 	0.85146035	05/12/2023	11:56:05	05/12/2023	11:56:56
Assembling unidentified peptides 	0.0180036833333333	05/12/2023	11:56:56	05/12/2023	11:56:57
Finish protein assembly 	1.68370495	05/12/2023	11:56:57	05/12/2023	11:58:38
Updating identifications 	0.03466695	05/12/2023	11:58:38	05/12/2023	11:58:40
Label-free preparation 	0.016778	05/12/2023	11:58:40	05/12/2023	11:58:41
Label-free normalization 	0.0334473666666667	05/12/2023	11:58:41	05/12/2023	11:58:43
Label-free quantification 	0.0680440333333333	05/12/2023	11:58:43	05/12/2023	11:58:47
Label-free collect 	0.0667867666666667	05/12/2023	11:58:47	05/12/2023	11:58:51
Estimating complexity 	0.08467565	05/12/2023	11:58:51	05/12/2023	11:58:56
Prepare writing tables  	0.0334458333333333	05/12/2023	11:58:56	05/12/2023	11:58:58
Writing tables 	0.968216666666667	05/12/2023	11:58:58	05/12/2023	11:59:57
Finish writing tables  	0.150133766666667	05/12/2023	11:59:57	05/12/2023	12:00:06
