"","protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_infected_1","abundance_control_2","abundance_infected_2","abundance_control_3","abundance_infected_3","log_ratios_infected..vs.control.","differential_abundance_qvalue_infected..vs.control."
"366","sp|O08583|THOC4_MOUSE",5,4,1,3,3,5,23.5810415911448,22.5507375102144,23.1454848839608,22.2295757658262,22.421951034527,23.249989107418,-0.372725042058001,1
"367","sp|Q91VW3|SH3L3_MOUSE",6,3,4,3,3,4,24.9634036887453,23.7061719008831,24.687421178754,23.4484674746303,23.5033079877466,25.4151978641876,-0.194765205181633,1
"368","sp|Q9JLJ2|AL9A1_MOUSE",5,3,3,1,2,5,23.0300053083453,21.9056613362755,22.3929761133534,21.5920908548852,21.4895391833779,22.3655639404988,-0.349734824472366,1
"369","sp|Q99K48|NONO_MOUSE",6,3,1,4,1,3,23.4948314194749,22.5190927040305,22.7977676827804,22.6089258252859,22.2306229851827,22.7950267681079,-0.200058930004566,1
"370","sp|Q9CR68|UCRI_MOUSE",5,3,NA,5,3,3,23.1407165191799,22.5005790879728,22.5910578566762,21.9296066133123,21.6966699116788,23.0399018249771,0.0138810795757654,1
"371","sp|P70429|EVL_MOUSE",3,5,4,3,4,5,23.3145963816092,22.671368077435,22.5039230077249,22.3588612302553,22.3326718535338,23.3638834288556,0.0809738312260014,1
"372","sp|Q9DBR1|XRN2_MOUSE",5,1,1,3,1,4,22.3901836538498,21.4722927082587,21.7357524689915,21.238400948868,21.3619993089485,22.252904027652,-0.1747792490037,1
"373","sp|Q99KP6|PRP19_MOUSE",3,5,3,3,3,4,23.237548426222,22.8528974938089,23.1292470082423,22.57577234902,22.382244977006,23.4413975282493,0.040342319869301,1
"374","sp|Q8VDM6|HNRL1_MOUSE",4,4,3,5,4,4,23.3395968222083,22.3592588074812,22.6577792068643,22.0402979160656,22.2451621354752,22.8619957650717,-0.326995225309767,1
"375","sp|O09106|HDAC1_MOUSE",3,4,1,1,1,4,22.7905272808186,22.1067210715807,22.3906481274184,21.9711251437718,21.6579063089819,22.8838613146753,0.0408752709362995,1
"376","sp|Q9WU78|PDC6I_MOUSE",3,3,3,3,3,6,22.4617588234925,22.0965211789439,22.1713646567025,21.6363523540959,21.4688243745963,22.6854010222926,0.1054422335137,1
"377","sp|Q61171|PRDX2_MOUSE",4,3,3,6,5,2,24.1985303212496,23.6550230476797,24.0660514051179,23.3159300972308,23.1712381981789,24.3488139108839,-0.038684289584,1
"378","sp|Q60749|KHDR1_MOUSE",2,4,1,2,1,5,22.8354671851633,22.1136873292391,22.3233903068618,21.7548006674208,21.7866341676686,22.7879362271316,-0.0963558119674003,1
"379","sp|P05201|AATC_MOUSE",5,5,1,3,2,3,23.2603621023997,22.0288759635972,22.7830353894897,21.7143220397267,21.6686535776302,22.5521012589118,-0.472250602427966,1
"380","sp|P42209|SEPT1_MOUSE",7,6,4,2,4,2,22.9898555352605,22.1128673896022,22.3575627430071,21.9325331392789,22.0483799400192,23.3724272415499,0.00734318404806681,1
"381","sp|Q91ZW3|SMCA5_MOUSE",3,2,1,3,3,4,22.4680167884613,21.7717773830181,22.1308091795084,21.7738524277954,21.3373416499109,22.4189120055504,0.00945806616110071,1
"382","sp|P51859|HDGF_MOUSE",5,2,2,5,NA,2,22.989898920263,21.6871470103659,22.2406249638937,21.4455069609751,21.5580067714819,22.3733647494434,-0.427503978284733,1
"383","sp|P00920|CAH2_MOUSE",5,4,2,4,1,5,24.2627791896708,23.5916755075491,23.5641974135072,22.9082968656736,22.8632953981842,24.120448782808,-0.0232836151104993,1
"384","sp|P63323|RS12_MOUSE",5,4,3,2,4,6,24.0409418337505,23.482182636048,23.6155342267391,22.9714822473425,22.5364204692931,24.0806379913232,0.113802114977001,1
"385","sp|Q99KE1|MAOM_MOUSE",5,1,NA,1,1,2,23.1867595807647,21.7254913916371,22.3603104843243,21.0665412235192,21.3411123890896,22.6166632548086,-0.493162194737901,1
"386","sp|Q8K310|MATR3_MOUSE",4,5,3,1,3,4,22.8019025110851,22.3839385158899,22.7627258030506,21.8144640437813,21.7988921894354,22.4334119946152,-0.243901983094901,1
"387","sp|P56959|FUS_MOUSE",6,1,4,2,2,5,24.3625726017947,23.211034367562,23.8081909085861,22.8272028366572,22.9128725289313,24.0044480026888,-0.346983610801365,1
"388","sp|P0C0S6|H2AZ_MOUSE; sp|Q3THW5|H2AV_MOUSE",6,5,6,5,6,6,30.7099248777013,30.2562467036454,30.8806386835721,30.100789363746,30.1553071182739,30.8069178233648,-0.193972262930368,1
"389","sp|P49722|PSA2_MOUSE",4,3,2,3,2,2,24.0222443612458,22.5058666630161,22.3633325826856,22.0245668368327,22.4135641457551,22.8942687943105,-0.458146265175734,1
"390","sp|P51174|ACADL_MOUSE",5,4,4,2,3,2,23.0034196027052,21.7602445237626,22.2880611765346,21.2149500444955,21.2958842350818,22.7123355544437,-0.299944963873267,1
"391","sp|O35639|ANXA3_MOUSE",5,4,3,4,4,6,23.1618383042559,22.2490554234415,22.7288666328959,22.0505926724664,21.5693558089767,22.8730009526106,-0.0958038992033335,1
"392","sp|O70251|EF1B_MOUSE",3,3,3,4,4,5,23.7806287709792,23.332361543753,23.5795857178378,23.3978798409541,22.9388128774962,24.1838261675639,0.205013395319266,1
"393","sp|Q80UG5|SEPT9_MOUSE",4,4,3,3,2,3,22.8494125462393,22.0329404661906,22.5063037065489,21.930633490137,21.8752753973951,22.5756133358695,-0.230601452662066,1
"394","sp|P62880|GBB2_MOUSE",4,5,4,4,3,4,23.4151393094157,22.70757398742,23.089993176798,22.5186793258731,22.432305113363,23.2128641437626,-0.166106714173665,1
"395","sp|P01915|HB22_MOUSE",5,4,2,5,3,5,23.5858128762424,23.6205970593546,23.0165505589572,23.5318254755576,22.484793398876,24.3369660349187,0.800743911918434,0.0784424610798394
"396","sp|P41245|MMP9_MOUSE",6,3,1,1,1,NA,22.6075504347492,21.2277081816893,22.2810405729609,20.8295720697517,20.9569608275519,21.7656813692968,-0.674196738174733,0.491999255487457
"397","sp|Q99JF8|PSIP1_MOUSE",5,4,2,4,1,5,22.2812147997068,21.6509751337659,21.9716285369145,21.3311010437552,21.059304022575,22.3759114968836,0.0152801050694672,1
"398","sp|Q64433|CH10_MOUSE",5,5,4,5,4,5,25.1962216422308,24.3620964569759,24.5501359057761,23.8705221001134,23.5754416096786,24.67270545091,-0.138825049895397,1
