"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_infected.control","differential_abundance_qvalue_infected.control","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3"
"sp|Q9D0M3|CY1_MOUSE",3,3,3,3,3,3,0.0730508771863419,0.375192954043034,24.434435569904,24.2619985642743,24.6171152488141,24.0816089320956,24.1867451801746,23.8486542176838
"sp|Q9D0R2|SYTC_MOUSE",2,2,2,2,2,2,0.889822169873214,0.961594469784931,22.4673745235307,22.6025572595272,21.9170602981526,22.3695992961926,22.0840219129161,22.6444396699992
"sp|Q9D0T1|NH2L1_MOUSE",5,4,4,4,4,4,0.152852145257345,0.479238268596659,26.7967676087975,26.7611721769317,26.9386866382871,26.6599253434571,26.4433818148102,26.606427181268
"sp|Q9D154|ILEUA_MOUSE;sp|Q8VHP7|ILEUB_MOUSE;sp|Q5SV42|ILEUC_MOUSE;sp|Q9JK88|SPI2_MOUSE",18,17,16,14,15,16,0.156954309153272,0.485273124578105,27.7587318001167,27.4443998540911,27.6225254054711,26.8200139826455,27.4438345670628,27.4418823216004
"sp|Q9D172|GAL3A_MOUSE",4,4,3,3,2,3,0.0149234781406036,0.203439782230422,25.2454386635954,24.9702094747022,25.0633723397882,24.6065947059895,22.6420594538052,22.8955758286514
"sp|Q9D1A2|CNDP2_MOUSE",8,8,7,7,6,7,0.0948711459512586,0.422176599483101,26.022842725282,25.8674209986267,25.5747318137262,25.6146106521001,25.4406623134566,25.2247414937577
"sp|Q9D1D4|TMEDA_MOUSE",3,4,3,3,2,3,0.594159247783569,0.82320940273222,23.057791454344,23.6723494856212,23.5366139448269,23.6345344959882,23.3394924750632,23.670817437877
"sp|Q9D1G1|RAB1B_MOUSE",1,2,2,2,1,1,0.299585488725415,0.634253283544956,23.4508864007421,23.7587295743797,24.0475103961807,23.7870528771029,19.4160197828748,23.9785872182827
"sp|Q9D1J3|SARNP_MOUSE",4,4,4,4,3,4,0.213573941938829,0.547557884065392,25.2074285535094,25.4927294710109,25.6619785830727,25.171293860424,25.1406273368552,25.2863467105818
"sp|Q9D1P4|CHRD1_MOUSE",3,2,1,3,2,3,0.242055871428595,0.584404472563661,23.6990795165347,23.2279243724205,21.3915720095967,23.7486801735152,23.2889213210867,23.5598753747407
"sp|Q9D1Q6|ERP44_MOUSE",4,4,3,4,4,4,0.0676426336973263,0.368876016174299,24.3474540708463,24.0811029664322,23.926755804555,24.8739701139119,24.4171527658402,24.4585036300107
"sp|Q9D1R9|RL34_MOUSE",4,4,4,3,4,3,0.956546072060164,0.989672169801909,25.7640640690467,25.6855491706122,25.5683868804516,25.5364508837237,25.8480578234056,25.6623255065624
