"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_infected.control","differential_abundance_qvalue_infected.control","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3"
"CON__P00761",4,4,4,4,4,4,0.186441356162635,0.518374887353755,30.6222801660316,30.0256707651846,30.7359422016074,30.1501464904047,30.3298725642109,29.6754717460176
"CON__P01966",1,1,1,1,1,1,0.0344165640931083,0.275487935317213,30.2022949547458,29.4668162843743,29.8958139161718,22.0003323109125,29.4796572012018,22.4059968865575
"CON__P02533;CON__P08779;sp|Q61781|K1C14_MOUSE;sp|Q6IFX2|K1C42_MOUSE;CON__Q3ZAW8;CON__Q9Z2K1;sp|Q9Z2K1|K1C16_MOUSE;CON__A2A4G1;CON__P19012;sp|Q61414|K1C15_MOUSE;CON__Q6IFX2;sp|Q9QWL7|K1C17_MOUSE;CON__Q9QWL7;CON__Q04695;sp|Q8CCX5|KT222_MOUSE;CON__Q9D312;sp|Q9D312|K1C20_MOUSE;CON__P35900;CON__P19001;sp|P19001|K1C19_MOUSE;CON__P08727;CON__Q8N1A0;CON__Q61782",0,3,5,1,0,0,0.575115717113694,0.814800382816534,NA,21.3148835672909,24.0312608191366,21.850338174205,NA,NA
"CON__P48668;CON__P04259;CON__P02538;CON__O95678",1,1,2,1,0,0,0.72683909136975,0.894019257499219,18.6922250072067,20.6740137664605,22.6327421785583,20.0815369215617,NA,NA
"CON__P04264;sp|P04104|K2C1_MOUSE",20,26,27,24,14,12,0.111880960433232,0.442551354602562,26.0531535362669,27.7544511126055,29.6263774192769,27.8472707471038,24.5538763478831,24.0243989553936
"CON__P13645;sp|P02535|K1C10_MOUSE;CON__P02535-1;CON__Q7Z3Z0;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Y7;sp|Q8VCW2|K1C25_MOUSE;sp|Q9Z320|K1C27_MOUSE;CON__Q7Z3Y9;CON__Q2M2I5",17,19,20,19,12,11,0.0694184929166155,0.369638641769671,26.8920304508866,28.0993192735097,29.1058467911507,27.8338403354314,25.1670822836459,25.5278968379095
"CON__P13647",0,3,3,1,0,0,0.104448902528507,0.433542270844012,NA,22.7760907813659,24.2586155513666,21.8137852053662,NA,NA
"CON__P35527",9,13,13,14,7,7,0.192793529185344,0.525647127713214,25.0833348517395,27.1956209114194,29.2495318132625,27.2207848709626,24.8755024166155,24.0741731321082
"CON__P35908v2;CON__P35908;sp|P07744|K2C4_MOUSE;CON__P07744;CON__Q5XKE5;sp|Q6NXH9|K2C73_MOUSE;CON__Q6NXH9;CON__Q01546;CON__Q8N1N4-2;CON__Q7RTT2;CON__Q7RTS7;sp|Q8VED5|K2C79_MOUSE;CON__Q8VED5;CON__Q32MB2",7,10,12,10,5,2,0.114730563615496,0.446929649819721,24.2272166662675,25.3654724019152,26.6916952885182,25.4402933125656,23.4370283189889,21.6384865133625
"CON__Q61726;sp|Q9ERE2|KRT81_MOUSE;sp|P97861|KRT86_MOUSE;CON__O43790;CON__Q6NT21;CON__P78385;sp|Q6IMF0|KRT87_MOUSE;CON__Q14533;sp|Q9Z2T6|KRT85_MOUSE",0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,23.3748903789447,NA
"REV__sp|Q80YF9|RHG33_MOUSE",1,2,1,1,1,1,0.00938740316900105,0.181064408589858,23.9343678268454,24.4814508255013,24.2393542961677,23.0840192102564,19.6989464633817,20.9073117472769
"sp|A0A0G2JDV3|GBP6_MOUSE;sp|A4UUI3|GBP4_MOUSE",1,2,1,1,2,2,0.1706815391968,0.502223840851704,20.8624590048319,21.6542893148656,21.4104983048991,21.4060838868926,21.6533471470736,22.9950387609702
"sp|A2AQ07|TBB1_MOUSE;CON__ENSEMBL:ENSBTAP00000025008",2,3,3,3,3,2,0.0109452782678911,0.181837298936928,25.0648161909,25.174855872765,25.4139060558631,24.6235099845163,24.6545524388511,24.214828271024
"sp|B2RXR6|ANR44_MOUSE",1,2,2,2,2,2,0.585458333199911,0.818881116192206,22.1605143395854,23.8342687519905,24.1021800059056,23.6913209526392,23.3652092324782,23.9405567033655
"sp|B2RY56|RBM25_MOUSE",5,4,4,4,5,5,0.80582008184646,0.928817596651886,24.146715534577,24.0203755780438,23.9746310832171,23.775859258504,24.4789836354303,24.0581780291264
"sp|Q8CGP6|H2A1H_MOUSE;sp|Q8R1M2|H2AJ_MOUSE;sp|Q8CGP7|H2A1K_MOUSE;sp|Q8CGP5|H2A1F_MOUSE;sp|Q8BFU2|H2A3_MOUSE;sp|C0HKE9|H2A1P_MOUSE;sp|C0HKE8|H2A1O_MOUSE;sp|C0HKE7|H2A1N_MOUSE;sp|C0HKE6|H2A1I_MOUSE;sp|C0HKE5|H2A1G_MOUSE;sp|C0HKE4|H2A1E_MOUSE;sp|C0HKE3|H2A1D_MOUSE;sp|C0HKE2|H2A1C_MOUSE;sp|C0HKE1|H2A1B_MOUSE",3,3,3,3,3,3,0.307208298201299,0.635732866826367,28.8044807420432,28.6769037142393,28.9130942102971,27.6489420306578,28.746210746948,28.8536034638128
"sp|D0QMC3|MNDAL_MOUSE",6,6,6,4,5,5,0.0959621316199062,0.422838068171796,24.7897302314353,24.9838993995691,25.0374460163528,23.7038891875798,24.3985885897177,24.8725829536177
"sp|D3YXK2|SAFB1_MOUSE",5,5,5,4,5,5,0.0763886215371076,0.382577939503337,23.2409372713605,23.3329700036657,22.8845542614614,22.2996949823928,22.7598148621557,22.9125241820285
"sp|D3Z6Q9|BIN2_MOUSE;sp|Q7TQF7|AMPH_MOUSE",7,8,5,8,7,8,0.245826909245661,0.584404472563661,25.5462583798923,25.3365420777552,25.3256832534489,25.205109389881,25.1042575617066,25.2761684652906
"sp|D3Z7P3|GLSK_MOUSE",2,2,2,2,2,2,0.264148191042069,0.59378870950682,22.4452517126326,22.4309563294849,22.8036324666127,22.8255496856012,22.8498627991438,22.6712636289374
"sp|E9PV24|FIBA_MOUSE",2,3,5,2,4,4,0.659946919342957,0.847533922218903,22.8500199070709,23.7003440938354,24.4605266793418,23.1269039703482,24.2023490156421,24.3815675744587
"sp|E9PVX6|KI67_MOUSE",1,1,1,2,2,3,0.000369599674558781,0.0657887420714629,20.6666511406985,20.5732396045534,20.281096141552,22.2249594839279,22.7624597432535,21.9243909901899
"sp|E9Q5C9|NOLC1_MOUSE",2,2,2,2,1,1,0.0821944411796553,0.390894174465078,22.1579771212974,22.8997582685122,22.4014150177191,21.6750196765521,20.1284103992225,22.2410420862762
"sp|E9Q7G0|NUMA1_MOUSE",23,23,21,19,20,24,0.107281317483948,0.436379956973223,26.7209744650439,26.7809707728189,26.707914478417,26.1085393081139,26.3401298249843,26.6620048319482
"sp|F6ZDS4|TPR_MOUSE",13,13,12,12,13,13,0.364046916584489,0.681084771868278,25.669372483509,25.5823274082432,25.5059412648428,25.3561785048312,25.5050766646001,25.4408779927069
"sp|G3X987|GIMA9_MOUSE",3,3,1,2,2,3,0.11750799504838,0.447454435036493,24.4441112636504,24.7939260017652,24.0247659978445,24.1228683593777,23.8309908255634,24.0071450092297
"sp|O08539|BIN1_MOUSE",5,4,4,4,5,4,0.324995810573551,0.646876645326908,25.6571209658857,24.7324967004389,24.8412898754925,24.9527027866532,24.9790286784053,24.2112164695435
"sp|O08547|SC22B_MOUSE",5,5,5,4,4,4,0.00129099814389251,0.108628268045528,26.9864513091357,27.504599157773,27.2997496550625,25.6963261240224,23.8367942230755,24.3903053234886
"sp|O08553|DPYL2_MOUSE;sp|P97427|DPYL1_MOUSE;sp|Q62188|DPYL3_MOUSE",14,15,15,12,12,12,0.0143783748918795,0.201297248486313,27.5716987508385,27.5989438968917,27.2786321421046,26.6603020714843,26.5096467170427,27.0927911276923
"sp|O08573|LEG9_MOUSE",1,1,2,1,2,1,0.445197750005682,0.735734858829914,21.7971788370468,22.0879316831799,21.9212625915947,21.5323669349573,21.7393648895798,22.0456955613874
"sp|O08582|GTPB1_MOUSE",2,2,1,2,1,2,0.909850859273127,0.970611447478011,22.6078072468802,23.0435125173503,22.3329361881237,22.9908355191341,22.5050072441862,22.5772234411804
"sp|O08583|THOC4_MOUSE;sp|Q9JJW6|ALRF2_MOUSE",3,3,3,2,2,3,0.0102933507796938,0.181837298936928,26.0561928345139,26.1757988344382,26.1180191162303,25.215318830979,25.5637829108694,25.6209567482089
"sp|O08585|CLCA_MOUSE",2,2,2,2,2,2,0.385731674242917,0.70132354325553,24.3491474602598,22.200073451508,24.197283020474,23.9307854994131,23.9913461874958,24.460763787359
"sp|O08692|NGP_MOUSE",12,12,11,11,10,11,0.0283336484307549,0.253983639890076,29.6564470352338,29.806294685224,29.4353966951806,29.2336007741316,29.1623376222807,28.9468184479944
"sp|O08709|PRDX6_MOUSE",11,11,10,11,8,10,0.0162267069630548,0.211500333023549,27.4364623870524,27.3549275863563,27.2573966457976,26.9533915883091,26.539671624883,26.799553910413
"sp|O08749|DLDH_MOUSE",8,7,7,8,7,7,0.148764119877125,0.475193038602889,25.6533076469644,25.8666126402948,26.106398513359,25.9209086238376,24.9669831462692,25.3326663688411
"sp|O08756|HCD2_MOUSE",1,2,2,2,1,2,0.658881394536032,0.847533922218903,21.9517827140415,22.5472652152515,23.0908699728594,22.0063760961547,21.638551436665,23.2607651780491
"sp|O08784|TCOF_MOUSE",9,10,7,9,8,10,0.0635134157254433,0.363017045843589,26.0149092124127,26.024448199755,25.8002139324896,25.6804560968979,25.4938392403797,25.5619822839
"sp|O08795|GLU2B_MOUSE",5,5,5,5,5,5,0.49492961600932,0.762277257784441,25.2792536775034,25.0864358392884,24.8390383025956,24.9546699195471,24.9645871660168,24.8963939148888
"sp|O08807|PRDX4_MOUSE",2,1,2,2,2,2,0.521486112130049,0.779445642063338,24.8457422100482,24.9529652321194,24.9296457499134,24.8761512947347,25.020656058233,25.1631379690188
"sp|O08808|DIAP1_MOUSE",1,0,0,2,1,2,0.990166828124749,0.996616620994376,21.3612815398767,NA,NA,20.8019895608873,21.3429143181745,21.9191408269845
"sp|O08810|U5S1_MOUSE",10,11,10,11,10,10,0.99942664970978,0.99942664970978,26.3100105774199,25.9711289744407,26.1717260671471,26.4755542051903,26.0869409219129,25.8898875467228
"sp|O08900|IKZF3_MOUSE",1,1,2,2,3,3,0.995982930881109,0.997584189612429,23.0745001229436,22.9696993175851,24.53355397651,22.3625933972157,24.1360959219073,24.0889793563869
"sp|O08997|ATOX1_MOUSE",3,3,3,3,3,3,0.0471683210036123,0.321364624664124,27.2946513212563,26.8719484052576,26.5029475415348,25.8016890591783,25.8527706200132,26.6519476630159
"sp|O09061|PSB1_MOUSE",6,7,6,7,7,6,0.898441657252515,0.965882920566552,26.5060983621059,26.521602200236,25.9912305024807,25.8761512947347,26.1720095255968,26.8490768409777
"sp|O09106|HDAC1_MOUSE;sp|P70288|HDAC2_MOUSE",8,8,7,7,6,8,0.46187937073964,0.749351166590614,25.358377693799,25.1797814819469,25.6312186823464,25.0683616979799,25.0245355766471,25.5494461305001
"sp|O09159|MA2B1_MOUSE",3,1,2,3,3,2,0.219935227232058,0.557984050951238,23.3655905250492,21.7447394352207,22.9336759431725,23.2610476538979,23.5980070876912,22.9699991459071
"sp|O09167|RL21_MOUSE",3,3,2,2,2,2,0.743402474106255,0.89934210355843,26.3392736754226,25.9828844017599,25.9745138671754,26.2009100035835,26.0880130298667,26.1898264625915
"sp|O35129|PHB2_MOUSE",9,8,9,7,8,8,0.966689505409087,0.993908696418661,25.6609631880019,25.5869699032476,26.1544330623966,25.5267317353736,25.7696504772167,26.0747303636525
"sp|O35215|DOPD_MOUSE",0,1,1,0,2,0,0.0232923347708403,0.230335310511643,NA,21.530600552055,21.6113408119537,NA,22.7926319270937,NA
"sp|O35226|PSMD4_MOUSE",2,2,2,3,3,3,0.00315393259355768,0.130993333719095,23.6751315984987,23.1971042372039,23.793468753472,24.4842619309622,24.791408616987,24.4735201193577
"sp|O35286|DHX15_MOUSE",9,7,9,7,7,9,0.561156209426943,0.806459788865018,25.8498832170295,25.5077278205378,25.9505047164249,25.3048626293943,25.1439190608275,26.2529348835486
"sp|O35326|SRSF5_MOUSE",1,1,0,1,2,1,0.625820499437792,0.833630320682932,21.6383445775655,21.2986200657963,NA,21.8584722285258,21.7671273028943,19.6501420293634
"sp|O35350|CAN1_MOUSE",6,6,6,8,5,8,0.165272027045789,0.495021504084262,24.7391512389576,24.7501842735265,24.9472979803726,24.68203019999,24.2681490288238,24.6095277610188
"sp|O35381|AN32A_MOUSE;sp|Q64G17|AN32C_MOUSE",10,10,10,10,10,10,0.0350437894497202,0.276357985154123,28.1571101352925,28.0946285121361,27.8788624405036,27.6367415770523,27.5387606252161,27.6433943601068
"sp|O35405|PLD3_MOUSE",2,2,2,2,1,2,0.0122142036264328,0.187887626154757,23.2817385041077,22.9333437284319,23.3672024414199,22.3038676167225,20.9024083055435,22.1963238876893
"sp|O35609|SCAM3_MOUSE",2,2,2,2,2,2,0.786415938471576,0.92172091682455,22.8954946643577,23.6939785838008,22.7925714413618,23.0243008139063,22.9297915805123,23.1931315436868
"sp|O35639|ANXA3_MOUSE",7,7,7,7,7,7,0.736091607674836,0.896850684651648,25.7814763346521,25.2692209121402,24.4486560375264,25.3152728660379,25.4156763908694,25.1362061933719
"sp|O35643|AP1B1_MOUSE;sp|Q9DBG3|AP2B1_MOUSE",3,3,3,4,3,3,0.567655116036978,0.811121874520727,24.2516860702847,24.1521853199643,23.4027876954122,24.1739980693523,23.158998088783,23.8384739389596
"sp|O35658|C1QBP_MOUSE",4,4,3,4,4,4,0.490031504093701,0.761902816619,25.9544837087865,25.8498270763305,25.3581111127287,25.3433225733704,26.3236436590533,26.2013198946317
"sp|O35685|NUDC_MOUSE",1,2,2,1,1,2,0.693772290776528,0.867911921995536,21.8992775530479,22.9517715542788,22.9999019116579,22.0807805938689,22.2077973872614,23.0625579465967
"sp|O35691|PININ_MOUSE",2,3,2,2,1,2,0.855413555543781,0.942142274600957,22.5137199462289,22.8710798862791,23.1463196872133,23.3027560937151,21.9484689187315,23.0574467483601
"sp|O35737|HNRH1_MOUSE",6,6,7,6,7,7,0.730099397521285,0.896259950060612,23.9593543332275,23.5152548922096,23.6837139855242,23.666811441974,23.520131130424,23.7678114415685
"sp|O35744|CHIL3_MOUSE;sp|Q91Z98|CHIL4_MOUSE",10,11,9,10,10,10,0.00486377036371801,0.15539122751776,27.7222817616105,27.8435302951233,27.2394610004346,26.824592688196,26.5163133372641,26.677852758866
"sp|O35841|API5_MOUSE",4,4,2,4,4,3,0.988520213210935,0.996616620994376,25.856735916294,25.7856347642797,23.5005379063135,24.2086991604573,25.2984054993018,25.6036121656609
"sp|O35855|BCAT2_MOUSE",3,3,2,2,2,2,0.011324116235754,0.181837298936928,24.2556640684774,24.1043758429931,23.9458339370662,23.5774649563333,23.5322227114669,23.429642705674
"sp|O35887|CALU_MOUSE",1,1,1,0,1,2,0.252396881694155,0.587825260917603,21.3422064727594,19.941504186745,20.5767949208775,NA,20.6792953758003,22.0365468351556
"sp|O35892|SP100_MOUSE",5,5,5,5,5,5,0.299819569829839,0.634253283544956,25.5649486807483,25.2630227934681,25.6402986759698,24.955357782877,25.4867821250703,25.304899372302
"sp|O35955|PSB10_MOUSE",5,4,4,4,5,4,0.12479766807597,0.45171180849826,26.3112521394939,26.2014738548379,26.0768454764078,25.7987627268028,26.0496797865991,25.8512408443594
"sp|O54734|OST48_MOUSE",8,8,8,8,8,8,0.202610140410784,0.534856429982704,25.4325428226987,25.6377332344686,25.5876738899464,25.769922520246,25.7238945545068,25.832413044997
"sp|O54786|DFFA_MOUSE",5,5,3,4,3,4,0.12230655696423,0.45171180849826,24.5588987613647,24.879492334386,23.7003239102999,23.9305856247881,23.9143757200631,23.4983401225608
"sp|O54824|IL16_MOUSE",13,15,13,13,13,12,0.424457742974203,0.726475752398156,26.5007757602019,26.7191245600411,26.4764452298563,26.5323735206663,26.3315188791953,26.4081017540241
"sp|O54941|SMCE1_MOUSE",2,2,1,1,2,2,0.331907291483127,0.653327780707703,23.4824424344728,23.0424948776372,22.3801578399487,22.4746428353134,22.8748981745531,22.5811973891389
"sp|O54984|GET3_MOUSE",1,1,2,2,2,1,0.131239214747507,0.46421603115947,20.6369826928556,21.0657834898132,22.9851417180969,22.8327765251702,22.8858159767163,22.1884633430253
"sp|O55013|TPPC3_MOUSE",2,2,2,2,1,1,0.0434750711157316,0.316213173897447,21.8822694569671,21.9679081581497,22.018725039438,21.6015439804421,20.9674366734169,NA
"sp|O55023|IMPA1_MOUSE",8,7,6,7,7,7,0.283460137068384,0.61317939372779,25.6908230207652,25.6316399500774,25.1804224965346,25.3340583221603,25.3323015966759,25.1242672195842
"sp|O55029|COPB2_MOUSE",5,5,5,6,6,6,0.131150599974027,0.46421603115947,24.275238494336,24.1055182701671,24.6202092507375,24.9175844402451,24.490424575967,24.7043718295247
"sp|O55131|SEPT7_MOUSE",8,7,6,6,8,7,0.208841710924525,0.54099120958827,26.0053985496332,26.2627838716869,26.3233840457574,25.6005769382408,26.3668766159654,25.4444483575991
"sp|O55135|IF6_MOUSE",3,4,3,2,3,3,0.0132806282747596,0.192414684073843,25.6779833085125,25.6371803617398,25.5802307416,25.2582789617149,24.2578865368311,24.4942930372251
"sp|O55142|RL35A_MOUSE",4,3,3,3,3,4,0.410584705473089,0.717355743103381,25.2261375828069,24.9127644286044,24.9490886653864,25.2193742820373,25.1180535414909,25.1952383966631
"sp|O55143|AT2A2_MOUSE;sp|Q8R429|AT2A1_MOUSE",2,3,3,3,3,1,0.455941254085868,0.744602764113646,20.5178039503738,23.5732175838859,23.8811973578328,23.9537850416533,24.2393323843196,22.1780949682559
"sp|O55201|SPT5H_MOUSE",4,4,3,5,5,5,0.00308768420529884,0.130993333719095,23.7501424841305,24.0424153442961,23.5465832493402,24.5781669200959,24.6630547347931,24.7420641195967
"sp|O70133|DHX9_MOUSE",23,21,21,20,20,19,0.595656777883654,0.82320940273222,27.6309695116126,27.4925693825874,27.8594547987897,27.6605883190067,27.6801602721038,27.9530777055666
"sp|O70145|NCF2_MOUSE",1,2,3,3,3,3,0.133980098984573,0.467616816063802,22.0148360577629,23.1896543554928,23.3529353177622,23.277077588062,23.4378467661959,23.8596722997627
"sp|O70152|DPM1_MOUSE",1,2,1,2,1,0,0.987465823671299,0.996616620994376,22.5941626420454,23.882161191978,23.1161674265428,23.4273188415662,22.95366672359,NA
"sp|O70172|PI42A_MOUSE",2,2,2,2,1,2,0.368655999409941,0.686614910709695,21.8709979253,22.2793663267629,23.0947307330882,22.2169177940593,21.9475497119206,22.1289618625286
"sp|O70194|EIF3D_MOUSE",2,1,2,2,2,2,0.058060424347104,0.349248782031522,23.1695677454317,22.4423819510296,23.8044405005248,23.9522105840484,23.9237540523789,23.9374466612519
"sp|O70251|EF1B_MOUSE",4,4,4,4,3,4,0.277198126736618,0.607926198646231,26.4889745079696,26.7616553704524,26.9705154980094,26.7070287997707,27.1830617936735,27.1100115849341
"sp|O70325|GPX4_MOUSE",1,1,1,1,2,1,0.95481685236048,0.989050817927249,21.7659632965418,22.1053050857566,23.0315143708292,21.3609330139035,23.3221422488999,NA
"sp|O70370|CATS_MOUSE",4,4,4,4,3,2,0.120426723527024,0.45171180849826,24.7743637855592,24.3069866182246,24.1160611643636,24.5244820728654,23.3581553185379,23.1553560252099
"sp|O70404|VAMP8_MOUSE",2,2,1,1,1,1,0.184981513660393,0.518374887353755,22.9642874936692,23.5218874587719,21.6414804259286,22.2287685174911,22.2812199218661,21.1650514555546
"sp|O70435|PSA3_MOUSE",3,4,4,3,2,4,0.371328498171787,0.688504923693522,25.0476964077227,25.0793209525142,25.2574117002947,25.1301539422819,24.3862982828836,25.1397802189555
"sp|O70456|1433S_MOUSE",1,1,1,1,1,1,0.781318462232341,0.92172091682455,25.5197170399636,25.374346067644,25.3387761431344,25.5015549183708,25.31146435857,25.2782883248717
"sp|O88271|CFDP1_MOUSE",2,2,2,2,2,2,0.152925901911421,0.479238268596659,22.9072341447806,22.4471721232492,22.5070154602546,22.4570985646898,22.3213539986189,22.0786009426215
"sp|O88342|WDR1_MOUSE",21,21,19,20,21,22,0.0728025526140671,0.375192954043034,29.3668956409616,29.1070401005202,28.9772951785514,28.7253571047216,28.6800161587224,28.8864860840109
"sp|O88487|DC1I2_MOUSE",2,2,1,1,2,2,0.306908664596264,0.635732866826367,22.2874626491615,22.2337315670189,21.3660635685545,21.0290321614571,21.8745758086108,21.8070453691115
"sp|O88544|CSN4_MOUSE",2,2,2,2,2,2,0.573274466170734,0.814481168584646,22.7385237956921,22.6315870818347,22.3619472047719,22.8575263161191,22.4928769479237,22.7226301185657
"sp|O88569|ROA2_MOUSE",21,20,19,20,21,20,0.0958534781661745,0.422838068171796,30.3594583193223,29.8618149295445,30.0981760961918,29.6315249775804,29.6900217823933,29.8605415629137
"sp|O88593|PGRP1_MOUSE",4,4,4,4,4,3,0.0606954192304959,0.358419395076768,25.946435824585,25.7149638831081,25.4767556092273,25.286706010393,25.3948000835996,25.156523150631
"sp|O88668|CREG1_MOUSE",2,2,2,2,2,1,0.211272602172831,0.546152826363792,23.3371055092841,23.0293121924353,23.6454617005427,23.0239823402462,23.2963812826575,22.6192068661478
"sp|O88685|PRS6A_MOUSE",3,3,3,2,3,3,0.586541087953154,0.818881116192206,23.7457413366023,24.3408169247681,23.7625238307712,23.1368832462878,24.0003619030055,24.1457555474596
"sp|O88712|CTBP1_MOUSE",1,1,2,2,2,2,0.376421164412352,0.692452288656394,22.6804912335272,22.7474936960177,22.8339270744371,22.7127036248884,23.1650078133745,22.9075281812931
"sp|O88844|IDHC_MOUSE",3,1,2,2,2,3,0.363140022569663,0.681084771868278,24.0381302223811,22.6989723270954,23.6983556918408,22.9433419137456,23.2665938270746,23.1673804441129
"sp|O88890|SH21A_MOUSE",2,2,0,1,2,1,0.174533909170797,0.505322342380737,23.2916352329643,22.7069225218269,NA,21.1379570280751,23.100426065743,21.922277150924
"sp|O89053|COR1A_MOUSE",22,22,22,22,20,21,0.6004259498605,0.826336791183789,31.4948325646825,31.3605904499365,31.9957202760448,31.4029293252945,31.2804603167442,31.7671628448687
"sp|O89079|COPE_MOUSE",1,1,1,2,2,1,0.0342386086656217,0.275487935317213,22.2911118025343,23.2077819519118,22.721013109191,23.7600858295026,24.2219098405008,23.134473642376
"sp|O89086|RBM3_MOUSE",4,4,4,3,4,4,0.137198707793861,0.471486406127589,25.0346166892231,24.5436846983142,24.935754559496,23.7276669082186,24.7275434612448,24.4970373010363
"sp|O89100|GRAP2_MOUSE",5,5,4,4,5,4,0.00270552202618524,0.130993333719095,24.4786459825554,24.272276104079,24.3696334931497,23.5009156272222,23.7182466463298,23.5827568030624
"sp|O89112|LANC1_MOUSE",2,2,2,1,2,2,0.139922858956462,0.472283689851485,22.3174489160521,22.3622453576633,21.9050561438215,19.259259750075,21.7576604992687,21.9503852437987
"sp|P00405|COX2_MOUSE",2,2,1,2,2,2,0.410072113552258,0.717355743103381,24.9558974072403,24.5166296513457,24.3668452447442,24.3490920125247,24.1564590066768,24.700239482161
"sp|P00493|HPRT_MOUSE",5,6,5,5,6,5,0.535937864176315,0.792899577347071,25.9799861800272,25.1958890952738,25.7894680918651,25.297131333376,25.1060894102707,25.9478587498262
"sp|P00920|CAH2_MOUSE",8,8,8,6,5,6,0.156873286807703,0.485273124578105,26.7102850079348,26.8463233996526,26.6308933375443,27.063561847231,25.4616055734291,25.5137274075837
"sp|P01027|CO3_MOUSE;CON__Q2UVX4",7,5,4,5,2,4,0.221671031477418,0.557984050951238,24.5890615969338,23.1402543229584,22.9315943276838,23.4882057667769,21.2952175761432,23.0631652181639
"sp|P01831|THY1_MOUSE",4,4,4,4,4,4,0.00401552289099805,0.147157103593635,27.2765230436464,26.9865474582057,27.1768610698951,26.478684791447,26.3172333142226,26.447009837644
"sp|P01837|IGKC_MOUSE",6,6,6,6,5,6,0.0355120619557816,0.278289491804427,26.9983706385385,26.6660396565775,26.661296038214,27.1578243315087,27.5254539911205,28.4567195274113
"sp|P01868|IGHG1_MOUSE;sp|P01869|IGH1M_MOUSE",0,0,1,3,2,2,0.0034024586740041,0.132483234619034,NA,NA,23.1101246323427,24.5948493278681,24.7722125105785,24.5827144499559
"sp|P01872|IGHM_MOUSE",15,15,15,14,15,13,0.586164462836322,0.818881116192206,28.9752553230678,28.5058254792897,28.6743560863557,28.3408522769219,28.8707623999839,28.5654369688099
"sp|P01881|IGHD_MOUSE;sp|P01882|IGHDM_MOUSE",2,2,2,2,2,2,0.380870631840674,0.695842825914194,25.3376661341856,25.3629270115967,25.7942492933335,24.6728584783676,25.0736328266655,25.8227806861231
"sp|P01897|HA1L_MOUSE;sp|P06339|HA15_MOUSE;sp|P14426|HA13_MOUSE;sp|P14428|HA1Q_MOUSE;sp|P03991|HA1W_MOUSE;sp|P04223|HA1K_MOUSE",7,7,6,4,4,6,0.784414119602011,0.92172091682455,24.2195138329763,24.6028053797516,24.678938093755,24.5415314358699,24.4733176682423,24.6488156511224
"sp|P01900|HA12_MOUSE;sp|P01895|HA1Y_MOUSE",4,3,4,3,4,4,0.245857558322987,0.584404472563661,24.4758142180868,22.6710948697491,24.493826688498,24.9232209578477,24.5399681053328,24.2077603853166
"sp|P01902|HA1D_MOUSE;sp|P01898|HA10_MOUSE",10,10,9,10,9,9,0.0184624974223535,0.214673466726595,25.2565924105084,25.2467543339546,25.169199707247,25.9828236901259,25.6012010048471,25.725701971192
"sp|P01904|HA21_MOUSE;sp|P04224|HA22_MOUSE;sp|P14439|HA23_MOUSE",3,1,2,3,3,2,0.000825927929682871,0.102910620038486,22.8016522258349,22.2534898936665,22.5951169552875,23.8963003465852,23.6465033192267,23.7324371114666
"sp|P01915|HB22_MOUSE;sp|P18469|HB2J_MOUSE;sp|P04231|HB23_MOUSE;sp|P20040|HB24_MOUSE;sp|P18468|HB2I_MOUSE;sp|P04230|HB21_MOUSE",6,6,6,6,6,6,0.00621230807305547,0.170215601120735,26.7953486806861,26.1424599554818,26.5252504933865,27.2422832197576,27.4398681589691,27.3824802297667
"sp|P01921|HB2D_MOUSE",9,9,9,9,8,9,0.00694223067787313,0.173000388492598,25.1569996537929,24.881094241326,25.2592171004063,25.7940187741126,25.879089085812,25.7064724455349
"sp|P01942|HBA_MOUSE",7,7,7,6,6,7,0.0684967727554865,0.368876016174299,32.9031785879648,32.1788049406483,32.7872853037421,32.1010727030484,32.2344649715513,31.9546229442147
"sp|P02088|HBB1_MOUSE;CON__Q3SX09;CON__P02070;sp|P02104|HBE_MOUSE",11,11,11,11,11,11,0.00628404305903194,0.170215601120735,31.7996952767225,31.2705180373487,31.6685514308551,30.5394399235876,30.8946188020278,30.7669590065185
"sp|P02089|HBB2_MOUSE",5,5,5,5,5,5,0.0112298187074975,0.181837298936928,30.0236230785096,29.4073799956113,29.948818339797,28.5156730503949,29.0175114577423,29.1047121532856
"sp|P84244|H33_MOUSE;sp|P02301|H3C_MOUSE",2,2,2,2,2,1,0.476548340230409,0.757449119435599,28.8277879035958,31.0261735777856,32.119939225949,31.0076047975848,29.8697308132484,33.9003133284376
"sp|P03930|ATP8_MOUSE",2,2,2,2,2,2,0.422383351305888,0.724916881166855,24.7936085897193,24.6176150397307,24.9918459326669,24.7564819055903,24.5720488605858,24.6227292276604
"sp|P03958|ADA_MOUSE",4,3,3,3,3,4,0.494075020728854,0.761902816619,24.0796384302854,23.7444265625386,23.6645693125414,23.7753028563833,23.9101879230996,24.266735359957
