"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"Q5SUR0",14,8,4,8,3,7,19.8242884746834,19.0974055332995,18.3040779689294,18.718858672916,18.3210275117606,19.1757609370193,-0.210329004601393,0.0120099965677396,0.0865568944553757
"Q9CR62",5,3,3,5,2,4,19.9470466472897,19.7401875369514,18.7733000419284,19.2133624070693,18.9332304571976,19.9232803467902,3.67705725191514e-18,0.99999999892228,1
"Q921M7",7,8,6,8,9,8,21.018366315985,20.9060749807012,19.9187447490223,20.6433963124379,20.2102994031265,20.8946621170297,7.19487147370383e-20,0.999999999463187,1
"Q9Z1X4",5,3,NA,2,NA,NA,19.1264253855875,18.7991368451801,17.3430552412758,18.634199856843,18.0175209793944,18.9764714453742,1.24857590549731e-19,0.999999999411165,1
"P61979",20,18,16,17,19,18,21.5527216332983,21.0823708089937,20.4015788875772,21.0361621654397,20.5208942302509,21.4720844621611,4.45162586265317e-20,0.999999999521101,1
"Q4KML4",2,1,1,1,NA,NA,21.2664886976495,20.4774074240819,19.6840231827225,20.7303493278936,19.8108926599516,21.2737950825105,1.72487102783114e-19,0.999999999262687,1
"P08071",34,34,31,31,28,31,21.1886957977096,21.161573482256,19.9248271472034,20.0010822630634,19.692328302083,20.6903736293467,-0.487312651726356,0.000457014389900768,0.00767246511045171
"P26443",18,13,13,10,11,13,20.9886130529015,20.3608187199526,19.477501501251,19.6624701114676,19.4198894219151,20.4568578701382,-0.336835724886894,0.0015825287049513,0.0203447609186081
"P62983",2,2,1,2,2,2,20.0485256311473,19.5429086839618,18.5102175434906,18.9714628990191,18.8518871861614,19.9306397878628,-1.59215728631505e-20,0.999999999912949,1
"P63254",3,1,1,NA,2,2,20.5730378755479,19.5996747822397,18.6997321394503,18.5693677855558,18.6629572214347,19.1665244475909,-0.638984824699121,0.0131273984305401,0.0904966065718878
