"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"Q3TW96",NA,NA,NA,1,NA,NA,18.8740262495651,18.8976996797685,16.9904559334725,18.556865814456,18.0148023857247,19.0408663866878,2.20422454321829e-19,0.999999999262997,1
"P28352",6,10,6,6,4,7,20.8516463957874,20.5390642305976,19.7159265385873,19.9987026905965,19.4842579913209,20.2946334692033,-0.34936164278412,0.00137593778821859,0.0185232379602635
"Q60864",15,10,9,15,9,12,20.985434639911,20.3955132491499,19.6821511392516,20.6181298326601,19.8663743823621,20.7154005240909,1.81413677934011e-11,0.999993349929401,1
"Q9Z2D6",6,8,4,5,2,5,19.5401477448099,19.5844577030007,18.8152943645411,18.730335873649,18.2895038878867,19.382704860912,-0.444662877863981,0.0125149193226529,0.0888497008628143
"Q78PY7",8,7,4,11,6,12,19.2017335852449,18.7021162826411,18.0767797304653,18.9898030724581,18.5981386090965,19.4837909447221,0.388318384096082,6.80689990082083e-09,1.21418076980891e-06
"Q61233",33,31,29,29,28,25,22.799285546777,22.370989434815,21.670545554404,22.232407806389,21.7451997276766,22.7636446578549,-8.35991745468391e-20,0.999999999420192,1
"P21107",6,5,6,7,6,6,22.6315801394804,21.8525056259074,20.7463237615653,21.4965194931023,20.9795344397403,22.1617356578836,-0.0882910839894052,0.328052803248645,0.781521452814386
"Q9ERK4",6,5,6,6,5,5,19.5373302872329,19.3005987727264,18.4446275698637,19.3413145389138,18.8777650421794,19.9168796334775,0.32704581492279,0.00287551113990055,0.0310860181563491
"P07724",18,9,13,11,9,11,20.8602869141993,20.1231001010227,19.2908978952504,19.9904154436808,19.2332289112575,20.1018154887858,-2.62510572338009e-08,0.999692593412185,1
"P52480",27,25,25,28,23,29,21.3123838433622,20.9548328968093,20.2046186595188,20.813240747298,20.4830535736776,21.394014418047,6.18919114552384e-09,0.999709964435677,1
"P67778",11,10,8,10,9,10,20.8199393404499,20.3130345309706,19.5283419838724,20.157453583844,19.8359727678185,20.7152675993506,5.19520204314866e-10,0.999898567421325,1
"P62259",8,6,7,8,8,8,21.794473234215,21.1564770620786,20.3533035668223,20.9195647576915,20.4282719400168,21.3428907675518,-0.031034533171541,0.555030289250611,1
"Q8K2B3",15,10,11,9,5,8,20.512921328731,19.7749437430391,19.0761808503557,19.2926467241152,19.1723577009826,20.1222264181939,-0.159042056080055,0.0754551958613861,0.2760886269082
"Q63829",NA,1,NA,NA,NA,NA,17.9844956592143,18.316655394231,16.2381353720767,17.3119684619807,17.5163149351335,17.7047246348178,1.50641710684573e-20,0.999999999938705,1
"Q64674",3,3,NA,3,4,3,19.1459594746134,18.7755106451343,18.1903065208097,18.6905404520055,18.4394784319189,19.10123754591,3.1883950805189e-07,0.998716684145226,1
"Q8BK67",11,14,14,10,14,16,20.0113503618712,19.896809571792,19.0967105954605,19.2570975651379,19.003996592222,20.1519712716607,-1.45395344765669e-09,0.999933202998721,1
"Q64737",4,NA,NA,4,3,7,17.7665727089989,17.064008893845,16.6125895952888,17.6669404894304,16.4730602936941,17.7659079585845,0.170401274802623,0.340386994839651,0.797878062353927
"Q61878",6,4,5,6,8,10,19.1967675678436,17.9917829480782,17.6999383695906,20.6250848632499,19.1542313107371,20.6451674075201,1.82598564465479,6.71526809307083e-07,4.16638589948351e-05
"P47955",1,1,1,1,1,2,24.5103154334764,24.1415577186761,23.8336335298332,23.9357044493713,23.4402739759725,24.4877116399472,-2.69583448577549e-20,0.999999999850705,1
"Q9WTM5",5,7,6,5,6,7,19.5532041974926,19.377933752555,18.7239509983981,19.1356512541597,18.8013756518253,19.6252192208746,1.51653487641524e-20,0.999999999776922,1
"Q64324",NA,3,NA,NA,1,1,19.7013352575504,18.6146373912213,18.2857169739534,18.7489103816068,18.5734559508887,20.1680562104383,2.45331941662506e-19,0.999999999194362,1
"Q9CR57",4,5,2,3,3,3,22.5018645921985,21.8013351012413,20.9367431250538,21.7723220132765,21.2032210302212,22.269362312191,5.96391556473232e-20,0.999999999513009,1
"P56959",7,6,6,4,5,8,21.3984708560142,20.7494916996765,19.8913822887856,19.8770771065768,19.8970558590713,20.9093321865528,-0.298478422452289,0.0581711437949901,0.238535121251296
"Q9JIK5",18,16,8,15,13,19,20.0874012229612,19.8219985499288,19.1585607282375,19.5273574555728,19.3496571889631,20.3971126839184,2.45862532372094e-10,0.999960904345075,1
"Q9CZN7",5,6,4,5,4,7,20.2585292444973,19.7292737032153,18.5102270896315,19.7634350378936,19.5127986958919,20.3606869489696,0.420922053124746,0.00111699671615752,0.0157817258807602
"Q9DBR1",10,5,3,4,4,7,19.453249616006,18.5638675125965,18.1642773674624,18.5579662174593,18.4741336975249,18.9980686010036,-4.11423281017363e-17,0.999999992663971,1
"Q6P4T2",15,17,12,17,13,23,19.3350959851182,19.1027793378851,18.5100795979713,19.0464200412369,18.6905391032248,19.5850400448103,0.174691721775658,0.0500122690892727,0.215611806617499
"O88593",4,3,3,3,3,4,21.260603037577,20.4817195567978,19.542788297172,19.9556713049016,19.64031737088,20.6607889868048,-0.211172422792595,0.0524917990832756,0.222272395524731
"P62852",5,5,5,4,4,5,21.1372124444656,20.5100035094047,19.634756401343,20.621252851721,20.0061706617801,20.9204266147266,0.145254953765425,0.220394957401766,0.58676045562
"O54786",5,6,2,4,2,5,19.5882620695735,19.4179048315648,18.2598469659252,18.5461973798349,18.1004110263038,19.1983586401225,-0.326108227845218,0.00110208705213073,0.0157267822339055
"Q99JY0",9,10,9,11,10,10,20.3374694556559,19.6834992836296,18.9761505536042,19.5587487511398,19.1204928428098,19.9552339087965,-8.66329258691435e-21,0.999999999906732,1
"P26039",51,43,37,52,46,58,19.9535914544572,19.680644000616,19.0135307293918,19.6276385235352,19.40704918894,20.1334307880927,0.145658695305092,0.149385699503412,0.448786090929197
"P49722",6,4,4,3,3,4,20.9585542776946,20.2733207683135,19.501745793561,20.1059817078,19.8123185893984,20.814436546389,-5.90969354044857e-19,0.999999999422686,1
"P06240",4,5,3,4,2,4,18.9188664029899,18.4968173420231,17.8084997467704,17.5829124920517,17.4925023109107,18.4670625029339,-0.375744557476103,0.000360746207476948,0.00668551737752734
"P15864",6,7,7,7,7,9,21.9165021872191,21.8653203421867,21.0252223111362,20.9399958243355,20.9806227482177,22.299605068333,-2.26034818226171e-11,0.999993987297909,1
"Q9CRB2",6,5,4,4,4,4,19.3577359891542,19.1701545991198,18.6196247293547,19.0009646539248,18.6748621048231,19.4553565619635,-1.06059948822387e-19,0.999999999368767,1
"Q9D819",3,4,3,5,4,2,19.9650827991793,19.3543489181421,18.6008027203013,19.4521261822659,18.913849272978,19.5489159905477,2.65991083394215e-20,0.999999999783362,1
"P70697",NA,NA,NA,NA,2,NA,17.4218911961433,18.1788264180681,18.1495359083399,18.7779507507539,18.2241632186386,19.690470574638,0.399328178746017,0.134457648637482,0.416206213895198
"Q921T2",3,3,3,2,3,3,19.4877155754313,19.1736914892153,18.306049753469,19.0869681650749,18.5043314944404,19.1229332276418,1.43383861951642e-21,0.999999999986612,1
"P05064",19,15,16,15,14,16,20.8868900540803,20.3280418994923,19.3161521239954,19.9391251099363,19.4478966342927,20.7839815882509,-0.0639459283308267,0.369410921885046,0.850240944403161
"Q9QZQ8",14,10,13,10,11,12,22.3006059374162,22.1175458242772,21.4011926569091,21.1622095793528,21.0299361441343,22.314884149834,-0.250247796527315,0.147276396137709,0.44620683076117
"Q9CQ60",7,8,7,9,7,8,20.1551606335599,19.3555137501841,18.9804651502667,19.3606159156879,19.0133634690559,19.8482975334352,5.15395546617286e-20,0.999999999437869,1
"Q03267",3,6,3,6,4,7,19.3649624421832,18.7309860529314,18.2249090734141,18.8873886773874,18.4310763567454,19.3074807808354,0.133559313840563,0.0637419519842768,0.250577866340394
"Q8BGD9",4,2,NA,NA,NA,NA,19.0051276754352,18.604178466683,16.6485216336977,17.8959072734487,17.0123566276722,19.0944673126982,-1.62373747211687e-19,0.999999999719596,1
"Q920B9",7,6,5,6,5,10,19.452582568558,18.8999949361666,18.0614265711372,18.7886875897539,18.5059784047029,19.431526860003,1.7930137339207e-19,0.99999999905404,1
"Q60664",NA,NA,NA,1,2,NA,19.2149320702929,18.4424256995773,17.7417545936072,18.4592826739733,18.0438992116508,19.3437799371447,0.134687702238852,0.319457278711107,0.76745039851978
"P63038",18,17,10,15,14,18,21.2334405042143,20.8678197073655,20.1993870997794,20.8870112702126,20.5258689385935,21.2733924276472,7.94587955253546e-07,0.997209197049429,1
"P70168",10,7,5,9,7,15,20.1545079783802,20.1270073175572,19.257960865829,19.8000822729177,19.3194776428316,20.7047869923351,1.18251093656804e-19,0.999999999478001,1
"Q61545",5,4,3,3,5,4,19.8013881102479,19.1940434744663,18.2469463685438,18.5093036938154,18.196260471471,19.3020857404431,-0.304497779576743,0.0032679485637194,0.034289430885497
"P02088",8,7,6,5,5,6,25.9697873462819,25.0446346398958,24.5733214646278,24.1816815880071,23.9339822592276,24.8679209125041,-0.753294949168054,8.11881391709518e-07,4.63421898387793e-05
"P09405",34,34,28,29,25,32,21.096059290911,20.6998895991837,19.7853538019851,20.3319708279733,20.1327079047864,20.9738245164104,-5.0809513058822e-21,0.999999999928895,1
"Q9QYC0",4,5,NA,4,2,7,18.9723180331263,18.8579497908848,18.4254979489906,18.8120516351952,18.2609421671327,19.3053019176446,2.02660681884354e-20,0.999999999994425,1
"P48678",8,7,5,13,6,18,19.096022859088,18.7894205825667,18.2957827611785,19.1063635630312,18.8215692833484,19.569777841662,0.547934180107131,0.000399936956322445,0.00695987849600158
"P51881",7,6,6,6,5,7,20.4198847326876,19.9513915731958,19.2605324015247,20.0914406957842,19.3439337475175,20.4277710191592,0.0680624534252511,0.310849429293369,0.753110586759995
"P48962",1,1,2,2,1,NA,21.1098399179661,20.2923089054811,19.6182686088362,20.4312018529255,20.09942569657,21.0808086409869,0.256408528239445,0.112566630503483,0.365905653140023
"P10107",21,16,18,17,20,17,21.5645906177164,20.9488320501306,20.0205721571768,20.6240555986378,20.2956919777151,21.0323095506303,-0.0985047411538272,0.154816575646023,0.46121764811456
"P62880",4,2,2,2,1,3,20.2404742365449,18.8430611437217,18.7215310948906,19.5724018347001,18.8861130458081,19.9460314683419,1.58961143771731e-19,0.999999999310151,1
"Q9D0T1",5,6,4,4,5,5,21.504452959152,21.1093626736851,20.4048492679522,20.8650944360922,20.4358667391573,21.3198084813813,-0.0167060043624012,0.596626617311696,1
"Q7TPR4",23,21,17,11,10,12,20.605125531837,20.0581908813332,19.1940976264679,19.3319740112198,18.6169251407343,19.54012323468,-0.71920307332892,9.93685454633945e-09,1.42895653533345e-06
"P57780",18,14,10,11,14,18,20.1074552795011,19.4232530832232,18.5930564869642,19.0385726685687,18.7750154211696,19.5144282265741,-0.134432719485828,0.187952721298576,0.529010913793034
"Q8BNW9",3,2,NA,NA,NA,NA,19.4208859056722,18.7911217617819,18.1381325022144,18.5327901452779,16.4470052759806,18.910495066566,-0.0895861615787323,0.507349262549289,1
"P11835",16,10,12,16,11,17,20.5476403353219,20.053049767443,19.3488360780671,19.8505554058906,19.4019733350614,20.4973330466845,6.40074662934684e-12,0.999993971424753,1
"P97351",14,11,7,9,7,12,20.3654102444915,19.9622892528844,18.9228374931934,19.7067713537407,19.46400892362,20.4563379930035,0.0862962906131078,0.195490239985404,0.540629016393743
"Q99JX3",3,NA,NA,NA,NA,3,19.5854866543176,18.5388591368244,17.8152396147184,18.6726987160294,17.8217657747698,19.1210306629779,3.10120270649962e-20,0.999999999938505,1
"P35700",8,8,7,6,6,9,22.1959179232812,22.0592678358367,21.1645314938617,21.7189261662431,21.4980745938915,22.2351076846183,3.12826435256004e-20,0.999999999635025,1
"P47791",9,6,6,6,6,6,20.2782486725829,19.7590479120957,18.5923375341115,19.0542805024219,18.7072697609409,19.5750537271459,-0.300486283177357,0.0542357196375051,0.224983639310232
"P61804",2,3,2,3,2,3,20.0340527881075,19.8881505264219,18.7273851497736,19.6117344968482,19.2060924371612,20.336810587403,0.165973339066479,0.139457962030619,0.428893344434685
"P62962",13,14,10,11,12,13,22.9944038842211,22.3423716110629,21.3483023962256,21.8561475749194,21.5463864054262,22.3670271886583,-0.150033074138706,0.109947308619582,0.361508777419685
"P11499",18,21,17,17,18,18,21.6998084051675,21.3849285369711,20.4025173869245,21.3982456509674,20.9215919546349,21.8277653952133,0.318011217999861,1.05696641423029e-05,0.000430940306601892
"P14206",11,10,9,11,9,11,23.0074738575901,22.4626135992063,21.6315554432279,22.2011894001428,21.9839738117183,22.9418374756958,5.43201442481909e-19,0.999999998167409,1
"Q9D0E1",13,16,13,14,11,14,20.0042617972589,19.867564737202,19.1178292500848,19.5712422387882,19.201468113632,20.0972152863806,2.44868969235069e-19,0.999999999146919,1
"P68037",4,6,5,8,6,7,20.3869496950384,20.0059823243641,19.7398511223269,20.217355991562,19.5196876474043,20.4078252210308,1.00898803842501e-19,0.999999999451831,1
"Q9D8Y0",2,2,3,2,2,3,19.9543064244285,19.8039915070175,19.3631523849395,19.0709121877159,17.9911645113601,20.5212187799306,-5.41318161138788e-20,0.999999999697781,1
"Q9JJ28",1,1,NA,2,NA,3,18.2149933183907,18.1635020697557,17.394514939318,18.0562808808886,17.8532837532705,18.7014290582071,0.216085484013996,0.0739814943710652,0.274211928487039
"Q9D0F9",6,4,NA,NA,NA,5,19.9786944844483,19.4097211819822,18.293528939996,18.6076326440594,18.4964646538239,19.2272332792914,-0.199153857917751,0.104312500830774,0.349422391280549
"D0QMC3",4,5,3,2,NA,4,20.4587362033769,20.0587530861088,18.9679788515303,17.9613392197623,18.4586249120755,20.0631755985666,-0.673720844814984,0.019908597873336,0.121408415236113
"Q9Z1F9",13,8,8,9,6,8,20.0250480922603,19.345969200054,18.3206709780897,19.1883662167201,18.4370151446912,19.3123233077981,-3.26830244199815e-20,0.999999999740136,1
"Q60710",24,22,18,17,20,23,20.4424569961084,19.8452601780543,19.2490631040477,19.749359285206,19.2855798244355,20.1913512270159,-2.50269957470589e-17,0.999999989299486,1
"O89053",25,24,24,24,20,27,23.371072656609,22.8419966360724,22.090307067567,22.3905288785967,21.9846407065016,23.0657177118803,-0.165837154409349,0.000526910365881928,0.00874303595480828
"O08749",9,8,4,8,6,9,19.6959425807367,19.141688378083,18.2149577694683,18.5439789761551,17.975476226521,19.3213480837655,-0.271197425287028,0.0123312129210307,0.0883377156563787
"P62264",7,7,4,5,5,7,21.5598065704051,21.013314126719,20.0067976429564,20.576410177077,20.186445816848,21.1746927254768,-0.134964081956804,0.0948735275916875,0.32701575814816
"Q80UG5",7,6,4,5,4,5,19.8332368343257,19.4332809781309,18.830845019421,19.0877556787207,18.852773150337,19.6017204547687,-0.0307748246444744,0.554914519731941,1
"O55131",12,8,6,7,3,8,20.6109854273257,20.3346807981216,19.7734733811461,19.9809511401636,19.8424939104445,20.6800732314164,-3.60728167780306e-13,0.999999822442705,1
"Q9CR00",1,NA,NA,NA,NA,NA,19.155604069834,18.5721154347228,18.3806043539693,18.4032117075099,18.5386090298066,19.1676183910747,6.65677298757766e-20,0.999999999736377,1
"Q8BJS4",6,9,5,6,7,9,19.4667216089439,19.3319132411347,18.5346977092457,18.9355132400964,18.4326294575818,19.6652330551933,3.16386466544387e-21,0.999999999971144,1
"Q08943",5,7,8,9,6,9,19.9341257415263,19.6017572650325,18.8261885974776,19.4724801919288,19.1889761684808,20.3021586723839,0.147440423890595,0.201863764146614,0.552481115305153
"P19783",6,5,7,5,6,8,20.7467051530447,20.4109011150616,19.580636358378,19.7122940426915,19.421482518802,20.6872513595935,-0.0437259543292745,0.504294738150664,1
"Q80TY0",5,4,4,3,2,3,19.5985379793344,19.3087701478177,18.4154536765652,19.0092787024363,18.4814749272373,19.4511723542306,-1.41880260567615e-18,0.99999999800826,1
"Q9WVA2",3,2,NA,2,2,2,19.8921264352997,20.0172509653968,18.4685123177739,18.8716111990349,18.7276194928755,19.8281116359367,-9.20609970344204e-20,0.999999999614668,1
"Q9CPQ3",1,NA,1,NA,NA,NA,20.2928815003966,20.0433935491675,18.8432076827949,19.7646637226695,19.2404411917478,19.5856724996782,-5.34728974466931e-20,0.999999999800198,1
"P63325",5,4,4,5,4,4,21.3883847733255,21.0201337511892,20.3161949974965,20.6504257041269,20.3861248690682,21.2826797447195,-2.50650295646071e-18,0.99999999854235,1
"P07356",12,9,11,10,14,13,20.8721569702351,20.4147201625339,19.5770422672652,20.1192921291684,20.0231569769892,21.0401055974821,0.0686155115315052,0.338193289403749,0.795707064913186
"P17918",2,2,3,6,7,6,19.5711634986439,19.1877628061899,17.8898629999178,19.5021398442407,19.0870440860492,19.9957419142917,0.715566995315811,1.71327359005035e-05,0.000596302783658986
"Q61699",4,7,NA,9,2,8,19.4158826022404,19.2313309093753,17.6745086120947,19.1730216860716,18.4343636384689,19.141293692832,1.66477253375355e-20,0.999999999837817,1
"Q04750",3,4,3,7,4,6,19.3861822133099,19.5271733951487,18.5267029365708,19.4981060904221,18.9238767772082,20.0022712851537,0.382262266582578,0.164885461323374,0.481168820671687
"Q99PT1",10,6,6,7,5,6,22.4665150268366,21.3962484383673,20.7216955819273,20.968412397265,20.4728210521031,21.4718412779291,-0.392687108440904,0.00837082526013578,0.0686454374664048
"Q8VCT3",4,2,1,4,2,4,20.3780887948686,19.3362137786199,18.4186220109451,19.0262524937617,18.5007317181686,19.5390898703201,-0.0540329872782164,0.426475539045887,0.926718938472544
"Q61646",6,4,NA,1,NA,NA,19.3687210066721,19.0926310588908,17.6170141718344,18.1812473145379,17.5590623862368,18.2100802755848,-0.424601484253698,0.0499609805906872,0.215611806617499
"Q8VE97",2,3,3,2,2,3,19.823963979178,19.1819988167154,18.2975238377002,19.2270585159022,18.465522921491,19.742003305411,3.69099811952613e-20,0.999999999826612,1
"Q8BTM8",74,72,60,71,51,76,20.7955763328119,20.3666837693891,19.6869491553969,20.191258346453,19.7279540515741,20.7585563018343,-4.32642172048115e-21,0.999999999860694,1
"P19253",7,6,6,7,6,6,20.7415151506609,20.471947663734,19.237962614307,20.0692275601324,19.602866478084,20.5033112058822,5.48095607960608e-20,0.999999999483411,1
"Q3UZA1",3,1,NA,NA,NA,NA,19.6639683816344,19.0485901646154,18.8714032678281,19.2954021431778,19.1807423555395,19.7679054776636,0.146677887217293,0.336203419195487,0.792995502796628
"P14733",32,31,29,27,25,31,21.5747708262788,21.4548950849181,20.5181905366543,20.6808553208087,20.4677985539328,21.4267312277872,-0.198891533355223,0.0431945106388575,0.198194748172507
"Q3V3R1",10,8,10,14,9,14,19.6719791587564,19.437587711615,18.7637230062723,19.2663502313873,18.9794200139174,19.8585224397949,0.149141037152935,0.0689882563611359,0.261101964710473
"Q9CQ80",NA,NA,NA,NA,1,NA,19.8313680923674,19.6927447784366,18.8235317986428,19.5718269619907,18.8275820246532,20.284823312112,0.037990990191628,0.810736615530737,1
"P80313",12,11,8,9,8,13,20.2123120870944,19.792090572898,19.1957353616114,19.9412590393799,19.4934556849298,20.6283769668687,0.30253227144985,0.00966039438750544,0.0753299606063949
"Q8VDM4",8,3,5,9,7,12,19.1943669738963,18.531064897502,17.9746520428005,18.8687056884054,18.3126904469151,19.2697164502167,0.308628871489641,0.000535430749016284,0.00878229515915215
"P62908",15,13,14,12,15,16,21.6259015824523,20.944568958191,20.1181393999098,20.7868552544475,20.3636548470382,21.188016628101,-1.54695602213327e-19,0.999999999215728,1
"Q8BG32",5,5,3,7,4,5,20.0292175349725,19.6653870921819,19.2276918063482,19.7477650843345,19.3445064529378,20.424344501259,0.251464130585519,0.0172130583474638,0.111650155735594
"Q61335",2,NA,1,NA,2,NA,20.0177283763165,19.5238242401391,18.6934984406311,18.8503021971545,18.8656153414028,19.7606132189672,-0.0188935007190678,0.776388349752476,1
"P59999",5,4,4,5,3,4,23.1146143069152,22.655912428654,21.8735132111543,22.3810029821831,22.0182362860402,23.0359270900041,1.53039207736551e-20,0.999999999771499,1
"P16858",16,17,12,12,14,14,21.7719816642833,21.4885403504678,20.4923404244487,20.3962718109079,20.1715578115424,21.384436312565,-0.544272002917559,7.05494587392965e-06,0.000347151991796469
"Q02053",18,17,17,17,15,16,20.7786394994009,20.3242852248207,19.6645962321584,20.1396200040411,19.7413228458862,20.6958020945535,1.23705848367365e-20,0.999999999776002,1
"Q7TPV4",11,11,7,11,9,14,20.0846028566256,19.9446771598454,18.9267620438406,19.5713928316409,19.2362986461385,20.1208297264684,0.0863559663155865,0.290034530693542,0.72356516660784
"Q99JY9",13,13,13,14,13,14,22.3292931225611,21.810022801787,20.9724678057121,21.6592874362512,21.2388949808017,22.2786783120891,0.0393710507185939,0.301195870947113,0.740057247815938
"P68040",13,13,12,13,13,14,21.912621741423,21.4402786602763,20.6994603398283,21.2863514008731,20.8301574055765,21.7131035920947,3.23462122222675e-17,0.999999989483962,1
"Q8VDM6",10,7,4,7,8,6,20.1905640413443,19.7201573816714,19.0840117240829,19.1547704899467,18.9105072309264,19.8966212638419,-0.201021538376306,0.0206876846506766,0.12352019245404
"Q99L43",NA,1,NA,NA,NA,1,19.1992731120198,19.318284707026,18.4670159547143,18.7311741855237,18.6471130032014,19.3675874241826,-2.00739661273356e-20,0.999999999914772,1
"Q99JI4",6,NA,NA,3,2,7,18.3003527854667,17.8935319048379,16.7537535127559,17.5703740809054,17.3735203595044,18.3657892870872,-1.53907126953627e-12,0.999999628719743,1
"P26043",3,NA,NA,NA,2,NA,20.053096284837,18.7527815972929,18.2755872058645,18.3044696957268,17.6071303925185,18.8462780169626,-0.29930626256367,0.102039572784887,0.343420920669891
"Q921F2",8,8,9,8,8,9,20.8337401663477,20.3867083005288,19.819514167117,20.286358704264,19.9443247665835,20.718964689373,4.57706751650901e-09,0.999860127411557,1
"Q99NB9",14,13,8,11,8,14,19.6142514478825,19.513001144041,18.4347535220219,19.1330789008934,18.7816066553067,19.7034712679937,2.75481019703816e-20,0.99999999991443,1
"Q8R1I1",2,NA,1,1,NA,2,20.8145844949373,20.2565514483706,19.1730887242808,19.8472125655594,19.9019328388703,20.3805269893194,3.2094110184102e-20,0.999999999864321,1
"Q91WM3",NA,1,NA,NA,NA,NA,18.5050062817651,18.6819147151797,17.3987351939746,17.5054051908205,17.513142279852,18.1482305431077,-0.148534314561762,0.340509978958333,0.797878062353927
"O35744",10,7,8,4,5,6,21.7103142076169,21.2056875361434,19.8064020495821,20.1243661597639,19.5859321794243,20.4176834213146,-0.799606368402631,0.000156978842163751,0.00367227553717495
"Q7TQI3",7,4,7,6,5,8,19.7044014392277,19.1360433285146,18.6143399240192,19.2031569111639,18.653868941474,19.6088029212696,1.48148082116912e-10,0.999970205057218,1
"P84104",3,3,5,3,4,4,21.8486300777351,20.9571678988236,20.3378208574565,20.8399859390872,20.5478972599138,21.6410175067723,-2.15448280111815e-20,0.999999999799321,1
"P11983",14,10,11,14,10,17,21.0393279509488,20.5966211414061,19.9266952756208,20.6118946224983,20.3396040992544,21.1766996914622,6.21635898748636e-07,0.997858226219722,1
"P54822",4,2,2,6,2,2,19.8678316660739,19.2726494094666,18.2978073049231,18.8319945744873,18.1963616448315,19.4679943698307,-0.194012461794746,0.0343487158729227,0.170015981048533
"O08810",13,13,10,14,9,15,19.9506998129974,19.3739175202542,18.6936913342624,19.2973855109581,18.8845396569204,19.9460791115974,5.71791612597e-20,0.999999999342996,1
"Q9CQN1",NA,NA,NA,5,NA,NA,18.920188754637,18.6048745321558,17.7183018546536,18.5860084906581,18.2814247376207,19.0097856157446,0.295874711151727,0.000329395941096333,0.00635200010735767
NA,NA,NA,NA,NA,NA,NA,18.97348514518,18.5626875597055,18.0309250100453,18.5067037498739,18.4561097166765,19.4242364303906,0.295040010788732,0.183316770366628,0.519033792288051
"Q9D1R9",4,3,3,5,4,4,21.1379135277504,20.5913217301804,19.6163926890795,20.4421019001153,20.0793305247323,20.9511051837861,0.059225968475655,0.357193326271689,0.830336088691586
"O08900",1,NA,NA,NA,NA,2,20.5602592535685,20.1788005832582,19.3795995291039,19.6646815754779,19.5096149954407,20.6581174715879,1.44266348137605e-21,0.999999999991621,1
"P61027",2,1,1,2,2,3,20.0944324240326,19.5676082328703,18.2451446248959,19.3323328284652,18.4057258174735,19.8993829708282,-2.56454262877502e-20,0.999999999835478,1
"P11032",12,7,6,10,10,13,21.0243025251439,20.0315082748672,19.504442698913,20.9938911000651,20.9929957323427,22.1741943266791,1.25602375694968,5.17323248632882e-07,3.35554670817783e-05
"P17047",3,3,NA,NA,NA,4,19.3485011614798,18.6861611167062,17.6158270849861,18.4252347743217,18.5005766567448,19.1476647181705,1.31547571063994e-19,0.999999999425409,1
"Q61316",15,14,9,15,9,15,20.9248906960065,20.4541024348215,19.506401069211,20.0335571765499,19.7954922214216,20.5532849247996,-0.0867445205956389,0.182489572174959,0.518750238035193
"Q9R0P3",7,5,4,6,3,4,20.6419368975335,20.1950917137955,19.2892987263332,19.5868306037915,19.4098331645384,20.111747096672,-0.189018397694237,0.0362349030848932,0.176475108198439
"P61620",1,1,1,1,1,2,20.2182852704387,20.0807158906981,18.8120825057532,19.7524790899116,19.2716178786152,20.3429587307854,1.31988288887373e-19,0.999999999364717,1
"Q9CWJ9",13,13,14,9,11,13,20.7035772690978,20.2224858199064,19.0360358384452,19.8383418261085,19.3434745334438,20.3901257949722,-2.36414974723782e-16,0.999999975776366,1
"O35658",3,4,2,3,3,3,20.818038821102,20.2635855795677,19.4484278347499,19.7808061260324,19.5890373945881,20.1596794674233,-0.230125009608645,0.0367400578279539,0.177121832839494
"P97372",10,10,7,9,8,8,20.2464460628764,19.6517974372166,19.1744206253277,19.9705423667958,19.4534995611634,20.1612122959418,0.0606667965531719,0.54261449585388,1
"Q6P8I4",3,NA,NA,3,NA,3,19.0165393385084,18.5938124949724,17.5451317517828,18.2740320948709,17.6763308345148,18.6720334875628,-1.79021306170821e-20,0.999999999843983,1
NA,NA,NA,NA,NA,NA,NA,19.8062674140024,19.9269430779092,18.6461863624947,18.9722641590788,18.8181090474379,19.7922983124748,-2.94598363321115e-20,0.999999999846204,1
"Q78IK2",1,NA,NA,2,2,NA,21.5837192451591,20.98177007313,19.7533013086332,21.1157054882964,20.9383584138953,20.7274744977014,7.95668495566951e-20,0.999999999697684,1
"P08249",15,16,13,14,15,16,23.1567424561565,22.5066148455773,21.9014363087959,22.0742080409134,21.8177702114331,22.782042824182,-0.136186412809388,0.0183081647685816,0.115600668693655
"P14869",6,6,6,5,8,8,22.170809715158,21.6135528566493,20.7169519139778,21.5717858011968,21.2556473161438,22.1183390662619,0.289759967182748,0.000224393282844989,0.00457441735171142
"O08784",16,15,10,9,10,17,19.3649568603599,18.9760328475338,18.2673261616756,18.6648045779615,18.2592630636957,19.1602515514073,-0.0337444218810061,0.423737230813217,0.924576495979297
"Q9DCW4",7,8,6,5,8,6,20.0280837059126,19.5071088710281,19.0448001512416,19.5424517581748,19.3188404397185,20.0025243221277,0.0843186462220857,0.314980490740996,0.759251959944934
"P28474",7,8,7,6,4,8,20.7827690571184,19.9722960042064,19.1323851530695,19.414772062686,18.9260779653598,19.758146480129,-0.423040247507073,0.015144005359111,0.100983624520801
"P62270",9,8,6,7,9,7,21.490033905537,21.1311695942169,20.0083508927238,20.9070692718812,20.4713590794342,21.361327429626,8.28647831022292e-12,0.999995204164106,1
"P29351",23,22,21,23,23,24,21.1221827849798,20.8099012631971,20.1933324163131,20.6544556975628,20.3870999781745,21.2717841297473,0.107955106521005,0.125235464055217,0.398020060594196
