"protein_group","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_control_vs_infected","differential_abundance_qvalue_control_vs_infected","log_ratios_control_vs_infected"
"sp|A2AQ07|TBB1_MOUSE",NA,NA,NA,-19.2930853494,NA,-18.6467561289,10,9,7,10,12,15,NA,NA,NA
"sp|A3KMP2|TTC38_MOUSE",NA,-19.2453681439,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"sp|B2RSH2|GNAI1_MOUSE",NA,NA,-18.2917054523,NA,NA,NA,4,4,4,3,4,4,NA,NA,NA
"sp|C0HKE1|H2A1B_MOUSE",NA,NA,NA,-15.1709041136,NA,NA,33,41,24,23,26,36,NA,NA,NA
"sp|D0QMC3|MNDAL_MOUSE",-19.1985282974,-18.8388379626,-19.0692034095,NA,NA,NA,2,3,2,3,1,2,NA,NA,NA
"sp|D3YXK2|SAFB1_MOUSE",NA,-19.9814672124,-19.4607086114,NA,NA,NA,3,3,1,2,2,1,NA,NA,NA
"sp|D3Z6Q9|BIN2_MOUSE",NA,NA,NA,NA,-17.5164307656,NA,5,4,2,4,3,4,NA,NA,NA
"sp|E9PV24|FIBA_MOUSE",-19.9041144439,-19.7027188126,NA,NA,NA,-19.6868614088,2,1,1,2,2,2,NA,NA,NA
"sp|E9PVA8|GCN1_MOUSE",NA,-21.5712811249,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"sp|E9Q7G0|NUMA1_MOUSE",-21.3023015358,NA,NA,NA,-20.8641736255,-21.5985670275,8,8,10,7,7,11,NA,NA,NA
"sp|F6ZDS4|TPR_MOUSE",-20.360087531,-21.2105005562,NA,-20.9398946316,-21.0739407872,-20.3494930454,7,5,2,6,4,4,0.934608150470219,0.933962264150943,0.00248211113333241
"sp|O08547|SC22B_MOUSE",-17.9113183938,NA,NA,NA,NA,NA,2,1,2,NA,1,2,NA,NA,NA
"sp|O08553|DPYL2_MOUSE",-19.21766582,NA,-18.4565620113,NA,-18.6252006173,NA,3,4,2,2,2,2,NA,NA,NA
"sp|O08573|LEG9_MOUSE",NA,NA,NA,NA,-18.3092452258,NA,1,1,1,1,2,1,NA,NA,NA
"sp|O08583|THOC4_MOUSE",-16.3654970942,-17.4622141477,-17.4567399063,-17.6530448266,-17.8027400131,-17.7477398871,2,2,2,2,2,2,0.132648902821317,0.709677419354839,0.639691192866668
"sp|O08692|NGP_MOUSE",-14.29714423,-13.8844155985,-14.6446886881,-15.1075175751,-15.1779598235,-15.2046280282,16,18,16,15,14,13,0.0387319749216301,0.55,0.887952303400001
"sp|O08709|PRDX6_MOUSE",-16.8900871533,-16.6914507547,-16.1969546176,-17.6179707106,-17.8059921801,-16.9180645489,8,7,4,6,5,7,0.0532758620689655,0.583333333333333,0.854511637999998
"sp|O08784|TCOF_MOUSE",NA,-19.4629695267,NA,-20.1426167872,NA,NA,6,5,4,5,4,7,NA,NA,NA
"sp|O08795|GLU2B_MOUSE",NA,-19.0271617511,-18.551585386,NA,-18.7194909949,-18.9851556766,2,2,2,3,4,2,0.822344827586207,0.929712460063898,0.0629497672000028
"sp|O08810|U5S1_MOUSE",-20.0672857142,-19.8569440881,-19.5485338618,-19.3519570741,NA,-18.7450054548,4,5,5,4,5,6,0.0718432601880878,0.583333333333333,-0.775773290250001
"sp|O09106|HDAC1_MOUSE",-18.7911974269,-18.8375658267,-18.3157426523,-18.760437399,NA,NA,5,4,3,5,4,6,NA,NA,NA
"sp|O35129|PHB2_MOUSE",NA,-18.448247112,-18.0902400914,-18.1441373978,-17.192186014,NA,6,5,5,3,6,5,0.165735109717868,0.741573033707865,-0.601081895799997
"sp|O35286|DHX15_MOUSE",NA,NA,NA,-19.2440425103,NA,-18.2592562273,5,4,2,4,4,6,NA,NA,NA
"sp|O35326|SRSF5_MOUSE",NA,-18.2429513298,NA,-17.7946939923,-18.2544239474,NA,1,1,NA,2,1,1,NA,NA,NA
"sp|O35350|CAN1_MOUSE",NA,NA,NA,NA,NA,-19.723669129,3,3,3,3,3,5,NA,NA,NA
"sp|O35405|PLD3_MOUSE",-18.8326827667,-19.03921831,NA,NA,NA,NA,2,2,2,1,NA,1,NA,NA,NA
"sp|O35639|ANXA3_MOUSE",-18.2706176516,NA,NA,NA,NA,NA,4,6,3,3,3,4,NA,NA,NA
"sp|O35643|AP1B1_MOUSE",NA,NA,NA,-18.8888951756,NA,NA,1,2,5,2,4,2,NA,NA,NA
"sp|O35685|NUDC_MOUSE",NA,NA,NA,NA,NA,-18.5244340749,NA,2,1,NA,2,1,NA,NA,NA
"sp|O35737|HNRH1_MOUSE",NA,NA,NA,NA,-18.1623213175,NA,3,2,2,2,2,2,NA,NA,NA
"sp|O35744|CHIL3_MOUSE",-18.7423539513,NA,NA,NA,NA,NA,6,5,6,4,5,5,NA,NA,NA
"sp|O35892|SP100_MOUSE",-19.2976301663,NA,-19.0842709403,NA,NA,-19.4102268413,4,4,2,4,3,5,NA,NA,NA
"sp|O35955|PSB10_MOUSE",-18.395421262,NA,NA,-17.8947320951,-17.7855840243,NA,3,2,2,2,2,2,NA,NA,NA
"sp|O54734|OST48_MOUSE",-17.2546356525,-17.8259921125,-18.5216118288,-17.2990558823,-17.0433392388,-17.2322422096,6,5,4,4,5,5,0.116493730407524,0.709677419354839,-0.675867421033335
"sp|O54824|IL16_MOUSE",-20.1371650589,-19.0448880765,-18.7895946958,-18.8815495119,-20.0402182822,-19.9904879881,4,5,5,4,4,5,0.430181818181818,0.81875,0.313535983666664
"sp|O55023|IMPA1_MOUSE",-18.0905995572,-17.801008026,-17.6309433233,-16.76969665,-17.8559298061,-18.1139869147,7,4,5,5,4,6,0.491186520376176,0.828877005347594,-0.260979178566668
"sp|O55029|COPB2_MOUSE",NA,-20.1482166343,NA,-19.6359976917,NA,NA,2,3,1,3,4,3,NA,NA,NA
"sp|O55098|STK10_MOUSE",NA,-19.7889508791,-19.6700218072,-19.7481509666,-19.7219980425,-19.8114416717,1,1,1,1,2,1,0.873913793103448,0.929712460063898,0.0310438837833331
"sp|O55131|SEPT7_MOUSE",-18.463597776,-18.2709129972,-18.1245949316,-17.4815002646,-18.1348746549,-18.6915480225,7,6,4,7,3,7,0.606352664576802,0.908256880733945,-0.1837275876
"sp|O55137|ACOT1_MOUSE",-19.0434992359,NA,NA,NA,-19.060791391,NA,1,2,1,2,2,2,NA,NA,NA
"sp|O55142|RL35A_MOUSE",-16.841944743,NA,NA,-16.7307378625,-16.7748570386,NA,6,6,3,5,6,7,NA,NA,NA
"sp|O70133|DHX9_MOUSE",-17.7493279227,-17.8498026994,-18.3023002745,-20.1794257112,-18.6621968246,-17.9745838863,16,12,11,11,9,13,0.0469169278996865,0.56,0.971591841833334
"sp|O70145|NCF2_MOUSE",NA,-19.327829413,NA,-18.9818667638,NA,-19.5105660025,1,2,1,2,2,2,NA,NA,NA
"sp|O70172|PI42A_MOUSE",NA,-19.1196740209,NA,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA,NA
"sp|O70194|EIF3D_MOUSE",-18.7933775832,NA,NA,NA,-18.4571863269,NA,3,NA,NA,2,1,1,NA,NA,NA
"sp|O70325|GPX4_MOUSE",NA,NA,NA,NA,-17.3774164856,NA,2,2,2,1,2,1,NA,NA,NA
"sp|O70435|PSA3_MOUSE",NA,NA,NA,-17.5611017098,-17.516461277,-18.1977065123,5,4,3,5,2,4,NA,NA,NA
"sp|O70493|SNX12_MOUSE",-17.83875892,-17.8585142465,-17.5156303375,-17.3800045237,NA,-17.9232263546,1,1,1,1,1,1,0.78632131661442,0.929712460063898,-0.0860190621833326
"sp|O88342|WDR1_MOUSE",-19.0650678563,-19.2360505386,NA,-18.186773937,NA,-18.3495214447,9,9,8,10,7,8,0.0361912225705329,0.55,-0.8824115066
"sp|O88569|ROA2_MOUSE",-15.5908023592,-15.9500199397,-15.9387181051,-16.0104932145,-15.6373247805,-15.5864712732,19,18,17,16,15,15,0.789995297805643,0.929712460063898,-0.0817503786000007
"sp|O88593|PGRP1_MOUSE",-16.903947966,-16.9053501462,NA,NA,NA,-16.883576835,2,2,1,1,1,2,NA,NA,NA
"sp|O88668|CREG1_MOUSE",NA,NA,-17.2863110298,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA
"sp|O88844|IDHC_MOUSE",-18.1733897196,NA,NA,NA,NA,NA,5,0,1,1,1,2,NA,NA,NA
"sp|O88958|GNPI1_MOUSE",-18.3222769017,-18.3443160831,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"sp|O89053|COR1A_MOUSE",-15.1164707881,-14.9316239995,-14.851789781,-15.11630852,-15.4284204821,-15.4620990797,27,26,24,21,22,20,0.314009404388715,0.797385620915033,0.368981171066666
"sp|O89086|RBM3_MOUSE",-17.3870270008,NA,NA,NA,NA,NA,2,2,2,1,1,1,NA,NA,NA
"sp|P00920|CAH2_MOUSE",NA,NA,-17.6493709387,NA,NA,NA,3,3,3,1,2,3,NA,NA,NA
"sp|P01831|THY1_MOUSE",-16.5570280922,-16.3231259618,-17.3046454349,-17.5446018325,-17.4771690748,-17.6408931379,2,2,3,2,2,2,0.0581771159874608,0.583333333333333,0.825954852100001
"sp|P01872|IGHM_MOUSE",-16.8294007181,-16.7172834705,-16.4224961592,-16.0196055053,-16.3088454026,-16.556804488,8,6,7,8,9,9,0.334221003134796,0.797385620915033,-0.361308317300001
"sp|P01887|B2MG_MOUSE",-17.1654567488,-16.8755683924,NA,NA,-17.0641048714,NA,2,2,2,1,2,2,NA,NA,NA
"sp|P01902|HA1D_MOUSE",-17.504961274,-17.3363552339,-17.0785106734,-17.1416994093,-17.3060016067,-17.3963741941,7,6,6,6,7,7,0.88551880877743,0.929712460063898,-0.0252506570666675
"sp|P01915|HB22_MOUSE",NA,-18.1913797593,NA,-17.9280611576,NA,-18.1925077322,5,5,4,5,5,6,NA,NA,NA
"sp|P01921|HB2D_MOUSE",NA,NA,NA,NA,-17.0596769845,-18.2580612153,4,4,3,6,4,4,NA,NA,NA
"sp|P01942|HBA_MOUSE",-15.4536075232,-15.4992368783,-15.0127247413,-15.3465476936,-15.401433786,-15.5617146028,7,5,5,5,4,6,0.71562539184953,0.926530612244898,0.114708979866666
"sp|P02088|HBB1_MOUSE",-15.8868619191,-15.8357533914,-14.9808681161,-16.3170204692,-16.2957977846,-15.9067118702,21,18,17,12,13,15,0.143523510971787,0.714285714285714,0.605348899133332
"sp|P02089|HBB2_MOUSE",-17.3142003336,-17.0127365492,-16.5399377197,-17.2674775592,-17.1683236522,NA,24,21,19,13,14,17,0.472981191222571,0.827777777777778,0.262275738200003
"sp|P02301|H3C_MOUSE",NA,-16.6278300118,NA,NA,NA,NA,1,1,1,1,1,17,NA,NA,NA
"sp|P02535|K1C10_MOUSE",-17.9716752264,-17.7147368113,-17.1039499185,-17.7955056113,NA,-18.3063498487,3,4,7,4,2,2,0.252575235109718,0.754901960784314,0.454140411266664
"sp|P04104|K2C1_MOUSE",NA,NA,-17.2628201731,NA,NA,NA,3,6,6,5,2,2,NA,NA,NA
"sp|P04228|HA2D_MOUSE",NA,NA,NA,NA,NA,-17.7990287038,3,2,2,3,4,4,NA,NA,NA
"sp|P04919|B3AT_MOUSE",NA,NA,NA,NA,-19.8097680002,NA,5,4,3,7,5,7,NA,NA,NA
"sp|P05064|ALDOA_MOUSE",-17.457248776,-18.3541498857,-16.9723029532,-17.1751574122,-18.3625823256,-17.3634322518,12,11,10,9,10,13,0.869283699059561,0.929712460063898,0.0391567915666684
