task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	15/b9b3b2	934370	NFCORE_WOMBAT:WOMBAT:PROLINE:CREATE_DECOY_DATABASE	COMPLETED	0	2023-12-05 11:39:06.423	3.6s	2s	196.8%	261.2 MB	6.8 GB	51.3 MB	22.3 MB
3	2c/640c70	934408	NFCORE_WOMBAT:WOMBAT:PREPARE_FILES	COMPLETED	0	2023-12-05 11:39:06.461	3.6s	2.2s	267.7%	61.2 MB	2 GB	11.4 MB	10.3 MB
2	f6/31bac0	934383	NFCORE_WOMBAT:WOMBAT:COMPOMICS:CREATE_DECOY_DATABASE	COMPLETED	0	2023-12-05 11:39:06.442	3.8s	2s	192.5%	280.1 MB	6.9 GB	51.3 MB	22.3 MB
4	2d/5c6696	936501	NFCORE_WOMBAT:WOMBAT:SDRFMERGE	COMPLETED	0	2023-12-05 11:39:10.334	8.6s	4.7s	199.3%	106.2 MB	2 GB	39.2 MB	13.3 MB
23	78/00b8cd	949445	NFCORE_WOMBAT:WOMBAT:MAXQUANT:CONVERT_MAXQUANT	COMPLETED	0	2023-12-05 11:39:18.948	7.1s	6s	183.9%	106.6 MB	2 GB	37.5 MB	11.7 MB
26	e5/99d02c	956973	NFCORE_WOMBAT:WOMBAT:TPP:WRITE_CONFIG	COMPLETED	0	2023-12-05 11:39:26.107	1.2s	0ms	96.0%	3.1 MB	5.4 MB	353.5 KB	160.3 KB
24	e4/613f80	956986	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PREPARE_SEARCHGUI	COMPLETED	0	2023-12-05 11:39:26.120	2.6s	1s	193.9%	140.5 MB	6.8 GB	13.1 MB	47 KB
25	c3/b9a619	956959	NFCORE_WOMBAT:WOMBAT:PROLINE:PREPARE_SEARCHGUI	COMPLETED	0	2023-12-05 11:39:26.100	2.8s	1s	183.2%	130.5 MB	6.8 GB	13.1 MB	47 KB
10	f1/ca073d	936135	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (2)	COMPLETED	0	2023-12-05 11:39:10.242	4m 36s	4m 33s	144.2%	3.1 GB	206.6 GB	1.4 GB	770.7 MB
17	9e/2dbdff	936357	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (5)	COMPLETED	0	2023-12-05 11:39:10.298	4m 39s	4m 35s	146.2%	3 GB	206.6 GB	1.4 GB	778.7 MB
12	b5/942d86	936168	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (3)	COMPLETED	0	2023-12-05 11:39:10.251	4m 51s	4m 39s	144.8%	3 GB	206.5 GB	1.4 GB	773.6 MB
28	88/a40466	1033961	NFCORE_WOMBAT:WOMBAT:PROLINE:MZDB2MGF (1)	COMPLETED	0	2023-12-05 11:43:47.057	13.9s	3.3s	99.6%	429.9 MB	201.9 GB	770.8 MB	20.8 MB
14	26/a8a20e	935968	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (4)	COMPLETED	0	2023-12-05 11:39:10.192	4m 54s	4m 47s	140.9%	3 GB	206.5 GB	1.4 GB	764.1 MB
6	56/e77f73	936426	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (1)	COMPLETED	0	2023-12-05 11:39:10.315	4m 54s	4m 46s	141.5%	3.1 GB	206.6 GB	1.4 GB	779.8 MB
29	d3/b38e10	1035863	NFCORE_WOMBAT:WOMBAT:PROLINE:MZDB2MGF (2)	COMPLETED	0	2023-12-05 11:43:50.460	14s	4.1s	69.9%	420.6 MB	201.9 GB	778.7 MB	15.2 MB
18	15/f7da35	936076	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (6)	COMPLETED	0	2023-12-05 11:39:10.225	5m 14s	4m 52s	140.8%	3.2 GB	206.4 GB	1.4 GB	772.5 MB
30	7b/09cae4	1039141	NFCORE_WOMBAT:WOMBAT:PROLINE:MZDB2MGF (3)	COMPLETED	0	2023-12-05 11:44:00.926	23.6s	3s	79.0%	407.3 MB	201.9 GB	773.6 MB	14.3 MB
32	49/260cda	1040477	NFCORE_WOMBAT:WOMBAT:PROLINE:MZDB2MGF (4)	COMPLETED	0	2023-12-05 11:44:04.435	21.6s	2.6s	100.8%	497.9 MB	201.9 GB	764.1 MB	18.8 MB
36	9d/629fc1	1048529	NFCORE_WOMBAT:WOMBAT:PROLINE:EXP_DESIGN_PROLINE	COMPLETED	0	2023-12-05 11:44:24.498	9.3s	25ms	101.1%	3.2 MB	5.4 MB	71.1 KB	1.7 KB
33	d7/bdc48e	1048493	NFCORE_WOMBAT:WOMBAT:PROLINE:MZDB2MGF (5)	COMPLETED	0	2023-12-05 11:44:24.485	9.3s	3.7s	100.7%	519.2 MB	201.9 GB	779.8 MB	25.3 MB
35	04/47ab32	1049489	NFCORE_WOMBAT:WOMBAT:PROLINE:MZDB2MGF (6)	COMPLETED	0	2023-12-05 11:44:26.020	7.8s	3.6s	100.6%	526.4 MB	201.9 GB	772.5 MB	24.4 MB
11	a1/115327	936046	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (3)	COMPLETED	0	2023-12-05 11:39:10.219	6m 11s	6m 8s	161.3%	2.5 GB	5.2 GB	1.9 GB	537.5 MB
19	4a/e8688a	936311	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (3)	COMPLETED	0	2023-12-05 11:39:10.287	6m 11s	6m 8s	162.1%	2.5 GB	5.8 GB	1.9 GB	537.5 MB
13	80/b8eeaa	935954	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (4)	COMPLETED	0	2023-12-05 11:39:10.179	6m 13s	6m 11s	162.2%	2.5 GB	5.1 GB	1.8 GB	540.4 MB
16	b8/77288a	936260	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (6)	COMPLETED	0	2023-12-05 11:39:10.275	6m 15s	6m 13s	163.6%	2.5 GB	5.1 GB	1.8 GB	555 MB
20	3f/7b4d65	936390	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (4)	COMPLETED	0	2023-12-05 11:39:10.307	6m 19s	6m 14s	162.9%	2.5 GB	5.1 GB	1.8 GB	540.4 MB
8	5a/e8b0c9	936205	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (2)	COMPLETED	0	2023-12-05 11:39:10.258	6m 26s	6m 18s	162.7%	2.5 GB	5.2 GB	1.8 GB	549.9 MB
22	b1/4bd07c	936289	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (6)	COMPLETED	0	2023-12-05 11:39:10.282	6m 26s	6m 19s	163.2%	2.5 GB	5.1 GB	1.8 GB	555 MB
15	22/4cdb3a	935980	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (5)	COMPLETED	0	2023-12-05 11:39:10.199	6m 26s	6m 20s	159.0%	2.6 GB	5.4 GB	1.9 GB	544.1 MB
9	ee/5d142e	936106	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (2)	COMPLETED	0	2023-12-05 11:39:10.235	6m 26s	6m 19s	162.1%	2.5 GB	5.3 GB	1.8 GB	549.9 MB
7	5a/e6830b	936231	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (1)	COMPLETED	0	2023-12-05 11:39:10.266	6m 42s	6m 34s	159.0%	2.6 GB	6 GB	1.9 GB	564.1 MB
5	d1/f96edb	936024	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (1)	COMPLETED	0	2023-12-05 11:39:10.212	6m 42s	6m 33s	158.7%	2.6 GB	5.3 GB	1.9 GB	564.1 MB
21	34/888725	936003	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (5)	COMPLETED	0	2023-12-05 11:39:10.205	6m 43s	6m 36s	157.4%	2.5 GB	5.2 GB	1.9 GB	544.1 MB
31	41/5377bf	1065951	NFCORE_WOMBAT:WOMBAT:PROLINE:RUN_SEARCHGUI (1)	COMPLETED	0	2023-12-05 11:45:30.038	40.7s	38s	597.6%	1.6 GB	8.7 GB	370.2 MB	82.5 MB
34	07/b01ff6	1071414	NFCORE_WOMBAT:WOMBAT:PROLINE:RUN_SEARCHGUI (2)	COMPLETED	0	2023-12-05 11:46:10.703	27.9s	27s	670.8%	1.6 GB	8.8 GB	349 MB	61.7 MB
37	0f/be4201	1074389	NFCORE_WOMBAT:WOMBAT:PROLINE:RUN_SEARCHGUI (3)	COMPLETED	0	2023-12-05 11:46:38.585	23.6s	22s	681.2%	1.6 GB	8.8 GB	345.9 MB	58.6 MB
