Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.03353535	21/10/2023	06:53:51	21/10/2023	06:53:53
Assemble run info 	0.284711666666667	21/10/2023	06:53:53	21/10/2023	06:54:10
Finish run info 	0.0334483833333333	21/10/2023	06:54:10	21/10/2023	06:54:12
Testing fasta files 	0.0501186666666667	21/10/2023	06:54:12	21/10/2023	06:54:15
Testing raw files 	0.0846998	21/10/2023	06:54:15	21/10/2023	06:54:21
Feature detection 	1.28488423333333	21/10/2023	06:54:21	21/10/2023	06:55:38
Deisotoping 	1.75161451666667	21/10/2023	06:55:38	21/10/2023	06:57:23
MS/MS preparation 	1.73490043333333	21/10/2023	06:57:23	21/10/2023	06:59:07
Calculating peak properties 	0.101380566666667	21/10/2023	06:59:07	21/10/2023	06:59:13
Combining apl files for first search 	1.50031865	21/10/2023	06:59:13	21/10/2023	07:00:43
Preparing searches 	4.18400358333333	21/10/2023	07:00:43	21/10/2023	07:04:54
MS/MS first search 	19.6206907333333	21/10/2023	07:04:54	21/10/2023	07:24:31
Read search results for recalibration 	1.86827036666667	21/10/2023	07:24:31	21/10/2023	07:26:23
Mass recalibration 	18.8873363333333	21/10/2023	07:26:23	21/10/2023	07:45:17
Calculating masses 	0.218016316666667	21/10/2023	07:45:17	21/10/2023	07:45:30
MS/MS preparation for main search 	1.53484076666667	21/10/2023	07:45:30	21/10/2023	07:47:02
Combining apl files for main search 	1.33362996666667	21/10/2023	07:47:02	21/10/2023	07:48:22
MS/MS main search 	16.203642	21/10/2023	07:48:22	21/10/2023	08:04:34
Preparing combined folder  	0.116793233333333	21/10/2023	08:04:34	21/10/2023	08:04:41
Correcting errors 	0.633522366666667	21/10/2023	08:04:41	21/10/2023	08:05:19
Reading search engine results 	1.6182912	21/10/2023	08:05:19	21/10/2023	08:06:56
Preparing reverse hits 	0.150135016666667	21/10/2023	08:06:56	21/10/2023	08:07:05
Finish search engine results 	0.1347229	21/10/2023	08:07:05	21/10/2023	08:07:13
Filter identifications (MS/MS) 	0.151385916666667	21/10/2023	08:07:13	21/10/2023	08:07:22
Calculating PEP 	2.75046708333333	21/10/2023	08:07:22	21/10/2023	08:10:07
Copying identifications 	0.0848156333333333	21/10/2023	08:10:07	21/10/2023	08:10:12
Applying FDR 	0.4334952	21/10/2023	08:10:12	21/10/2023	08:10:38
Assembling second peptide MS/MS 	0.668145066666667	21/10/2023	08:10:38	21/10/2023	08:11:18
Combining second peptide files 	0.650206016666667	21/10/2023	08:11:18	21/10/2023	08:11:58
Second peptide search 	14.5198675333333	21/10/2023	08:11:58	21/10/2023	08:26:29
Reading search engine results (SP) 	1.06820395	21/10/2023	08:26:29	21/10/2023	08:27:33
Finish search engine results (SP) 	0.06803285	21/10/2023	08:27:33	21/10/2023	08:27:37
Filtering identifications (SP) 	0.0847255	21/10/2023	08:27:37	21/10/2023	08:27:42
Applying FDR (SP) 	0.7835494	21/10/2023	08:27:42	21/10/2023	08:28:29
Re-quantification 	0.0513861166666667	21/10/2023	08:28:29	21/10/2023	08:28:32
Reporter quantification 	0.0513823	21/10/2023	08:28:32	21/10/2023	08:28:35
Retention time alignment 	38.2554990666667	21/10/2023	08:28:35	21/10/2023	09:06:50
Matching between runs 1 	0.2180491	21/10/2023	09:06:50	21/10/2023	09:07:04
Matching between runs 2 	0.0334487166666667	21/10/2023	09:07:04	21/10/2023	09:07:06
Matching between runs 3 	0.2501454	21/10/2023	09:07:06	21/10/2023	09:07:21
Matching between runs 4 	0.0667853333333333	21/10/2023	09:07:21	21/10/2023	09:07:25
Prepare protein assembly 	0.617003066666667	21/10/2023	09:07:25	21/10/2023	09:08:02
Assembling proteins 	1.3515753	21/10/2023	09:08:02	21/10/2023	09:09:23
Assembling unidentified peptides 	0.0513736666666667	21/10/2023	09:09:23	21/10/2023	09:09:26
Finish protein assembly 	4.9841798	21/10/2023	09:09:26	21/10/2023	09:14:25
Updating identifications 	0.0513738333333333	21/10/2023	09:14:25	21/10/2023	09:14:28
Label-free preparation 	0.0167792	21/10/2023	09:14:28	21/10/2023	09:14:29
Label-free normalization 	0.0167785166666667	21/10/2023	09:14:29	21/10/2023	09:14:30
Label-free quantification 	0.3680882	21/10/2023	09:14:30	21/10/2023	09:14:52
Label-free collect 	0.16680275	21/10/2023	09:14:52	21/10/2023	09:15:02
Estimating complexity 	0.0847048	21/10/2023	09:15:02	21/10/2023	09:15:07
Prepare writing tables  	0.0334488	21/10/2023	09:15:07	21/10/2023	09:15:09
Writing tables 	2.06839585	21/10/2023	09:15:09	21/10/2023	09:17:13
Finish writing tables  	0.166799966666667	21/10/2023	09:17:13	21/10/2023	09:17:23
