"protein_group","number_of_peptides_control_1","number_of_peptides_cystitis_1","number_of_peptides_cystitis_2","number_of_peptides_cystitis_3","number_of_peptides_high grade_1","number_of_peptides_high grade_2","number_of_peptides_cystitis_4","number_of_peptides_high grade_3","number_of_peptides_high grade_4","number_of_peptides_control_2","number_of_peptides_high grade_5","number_of_peptides_cystitis_5","number_of_peptides_high grade_6","number_of_peptides_high grade_7","number_of_peptides_cystitis_6","number_of_peptides_high grade_8","number_of_peptides_high grade_9","number_of_peptides_cystitis_7","number_of_peptides_high grade_10","number_of_peptides_control_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_cystitis_1","abundance_cystitis_2","abundance_cystitis_3","abundance_cystitis_4","abundance_cystitis_5","abundance_cystitis_6","abundance_cystitis_7","abundance_high grade_1","abundance_high grade_2","abundance_high grade_3","abundance_high grade_4","abundance_high grade_5","abundance_high grade_6","abundance_high grade_7","abundance_high grade_8","abundance_high grade_9","abundance_high grade_10","log_fold_change_genotypecystitis.genotypecontrol.","differential_abundance_pvalue_genotypecystitis.genotypecontrol.","differential_abundance_qvalue_genotypecystitis.genotypecontrol.","log_fold_change_genotypehigh.grade.genotypecontrol.","differential_abundance_pvalue_genotypehigh.grade.genotypecontrol.","differential_abundance_qvalue_genotypehigh.grade.genotypecontrol."
"Q53EP0",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4012935666873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5882538238671,NA,NA,NA,14.3022660792424,NA,NA,-3.50754023242566e-09,0.999999875533967,1,-1.47113097949677e-09,0.999999936064045,1
"Q9Y3E5",1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,15.1320402688426,15.8574577558683,15.8332173763189,NA,16.4288986748803,15.7178429365896,17.3540229815835,15.7472583717509,NA,16.8014739368767,17.4435688025717,16.2709292196852,NA,14.4340666752722,NA,17.4044390355529,16.0961320711199,15.2479522536746,15.2057828502677,16.9149751560636,-5.93880506143698e-19,0.999999998998535,1,-4.61988903302703e-19,0.999999999146588,1
"Q9Y606",NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,1,1,NA,1,13.4445536592525,13.5959878041391,13.577097026302,14.1190468517859,15.53201771299,15.5564991844854,15.0249341455733,15.7318643775943,13.7091483884466,15.3444692475473,15.3997449245816,14.863448203804,15.2837349467938,15.0746070032785,14.9102398987858,15.7354274014597,15.7531512266122,15.2556935057599,15.5358982439652,14.8909400209404,0.309513205147676,0.190755048918068,0.996778633866357,0.468164926979464,0.0442947425002042,0.405444543018536
"Q15124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,14.5056767711242,NA,NA,NA,NA,NA,NA,15.4592859711263,NA,NA,NA,NA,NA,NA,NA,15.8572762146668,17.3783693442748,NA,NA,3.70675645273205e-19,0.999999999536776,1,5.06319215674633e-19,0.999999999269381,1
"Q99961,Q99962",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7371121589353,15.8206341180322,15.7301255460523,15.7296122128642,16.6463594325508,16.1162262062963,16.7777696811195,16.6103624302598,NA,15.6132131011275,16.8802965347018,15.6169366267764,15.335902398666,15.7568845919211,NA,16.8861615816518,NA,17.099243075595,NA,16.5567108004484,-0.329727216734324,0.143428779120292,0.895209187187155,-0.29600230035168,0.172055373718017,0.818546224020836
"Q99653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1441511130128,15.9995390416599,NA,NA,NA,14.5950238848609,NA,NA,NA,NA,15.1803703733064,NA,15.7567813246262,15.4106367212838,NA,NA,NA,NA,NA,NA
"O75934",NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7631026328583,14.0460259222731,14.3323223986437,NA,14.9380599615666,15.5407332001177,15.7550120948005,15.9567516599756,NA,15.9332168396549,NA,14.7445575734241,14.0941174652161,14.6834828168006,NA,15.7355451796832,NA,15.7178547577528,NA,15.8438739817693,2.26153589790506e-19,0.999999999294016,1,2.54807751812892e-19,0.999999999158192,1
"P02750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8168584204137,NA,NA,15.9599995611403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q8NF37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13.8138501869658,13.2567886866761,13.9750260210464,NA,NA,NA,15.9339403827101,NA,NA,NA,NA,NA,NA,NA,15.9526045351228,16.7495169849077,NA,NA,14.633094698362,16.1612832974201,1.08942035700002,0.0116851228091281,0.267965612894074,0.859639251958678,0.00897847685069276,0.171214565500016
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6313273411941,15.8127709187536,15.6987862906566,15.699591990712,15.1408011972649,17.1990169303827,NA,17.2688747749658,17.0460828965816,16.2629561759952,NA,NA,15.412213062652,14.6107115368152,15.1948772745623,NA,16.7086031947052,16.7498703094818,17.0178981567622,15.6457246386191,-0.0493058909709175,0.797170002525191,1,-0.109656096323749,0.559084239638619,1
"Q8N0X4",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2797885341509,14.1037854094641,14.9405354447229,15.881819472232,15.1735680188234,NA,16.4820554961246,NA,15.1413372538508,NA,NA,NA,NA,NA,NA,15.7425953085362,NA,NA,15.232058797444,2.38222498287797e-19,0.999999999346719,1,3.03711132472792e-19,0.999999999228911,1
