"protein_group","number_of_peptides_control_1","number_of_peptides_cystitis_1","number_of_peptides_cystitis_2","number_of_peptides_cystitis_3","number_of_peptides_high grade_1","number_of_peptides_high grade_2","number_of_peptides_cystitis_4","number_of_peptides_high grade_3","number_of_peptides_high grade_4","number_of_peptides_control_2","number_of_peptides_high grade_5","number_of_peptides_cystitis_5","number_of_peptides_high grade_6","number_of_peptides_high grade_7","number_of_peptides_cystitis_6","number_of_peptides_high grade_8","number_of_peptides_high grade_9","number_of_peptides_cystitis_7","number_of_peptides_high grade_10","number_of_peptides_control_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_cystitis_1","abundance_cystitis_2","abundance_cystitis_3","abundance_cystitis_4","abundance_cystitis_5","abundance_cystitis_6","abundance_cystitis_7","abundance_high grade_1","abundance_high grade_2","abundance_high grade_3","abundance_high grade_4","abundance_high grade_5","abundance_high grade_6","abundance_high grade_7","abundance_high grade_8","abundance_high grade_9","abundance_high grade_10","log_fold_change_genotypecystitis.genotypecontrol.","differential_abundance_pvalue_genotypecystitis.genotypecontrol.","differential_abundance_qvalue_genotypecystitis.genotypecontrol.","log_fold_change_genotypehigh.grade.genotypecontrol.","differential_abundance_pvalue_genotypehigh.grade.genotypecontrol.","differential_abundance_qvalue_genotypehigh.grade.genotypecontrol."
"P55011",5,NA,NA,NA,20,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,15.1155121636426,NA,11.3252088366901,NA,NA,13.8795236125482,NA,NA,13.3798002690131,18.350709013001,12.7574760069396,14.8744348554367,11.9512561710806,NA,NA,14.5275790221962,NA,NA,NA,-1.90161355810904,0.0606111067430397,0.621263844116157,-0.480747566313571,0.532880849880524,1
"P37108",2,2,3,3,2,2,3,2,1,3,1,2,4,1,2,1,2,3,2,2,17.1584937083637,17.0382819435038,16.8484132132969,17.4743190628638,19.0085088353916,18.492732574273,19.2762090966619,19.0744516338916,16.8353987037602,19.4027232168339,18.8209630426301,17.9551011727958,18.0203182129561,17.4570105236932,17.8796752424702,19.3334056856271,17.9719135534893,18.2040496487735,17.9771229320406,19.0715393568355,0.806777121693728,0.000790589363378561,0.0713111605767462,0.504736859179992,0.0210721812216299,0.270879482024323
"Q9NQP4",1,1,2,NA,NA,3,3,2,2,NA,NA,1,1,NA,NA,1,2,1,2,1,15.4682731622746,14.9841596670131,15.5433959234126,15.1168944981471,16.6837627532884,16.6215421671242,17.4643609256594,16.236867418131,15.5627201167889,16.6215116683836,16.1889783910541,16.1181468597362,15.8682337367305,16.2789644387311,16.2687293205666,17.0668595239125,15.9608842011151,16.4791656922165,16.1280475573868,16.8955879657833,1.69164546818047e-10,0.999992334766574,1,5.42910424617726e-10,0.999973797808319,1
"P07954",1,2,3,NA,2,2,3,2,NA,2,NA,4,NA,3,NA,NA,2,NA,3,1,14.7624448415298,15.0158062502358,14.8420484970235,14.84625643406,16.8805125580461,15.7029138655176,16.0753886074645,17.2649130019286,15.0524148578749,15.9794338763547,17.117782621889,15.2760131654825,15.8705995046844,14.4055174494426,15.290588455569,16.3896393029533,17.0290075922607,NA,15.0494487906285,16.3899730630341,1.6049473780009e-20,0.99999999996171,1,9.93929269429726e-21,0.999999999975552,1
"Q9Y490",17,12,13,14,5,6,26,18,25,19,22,14,25,21,21,36,27,19,9,15,14.6255998070997,15.0221068260745,14.9223742251884,14.6652187073728,15.5943337426046,16.108802114039,15.6884395025244,16.1063047621473,16.0818994758454,16.3677252548777,16.2243164067525,14.5881821301947,15.3091458525403,15.9229255945649,16.7485690537056,17.1699223048053,16.3120036320594,17.3193334867862,16.0409294891518,15.3934418188565,-2.00984947312295e-21,0.999999999972461,1,5.34777921735365e-21,0.999999999922584,1
"Q96S52",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,14.7068165998991,14.5387613543885,14.8558828474671,13.2059625087748,14.6144250653996,14.980079071171,15.3790506021813,15.465160330785,NA,14.7568168084315,NA,13.7150675192391,14.9295656055008,13.1769498788534,NA,NA,13.9969641323116,14.6732139565347,14.4189108431949,14.3680386233785,-1.09788159553779,0.00071074830413896,0.0663201693448285,-1.31345742638621,0.000101448351251493,0.0163868925021529
"P23381",9,3,2,3,6,4,3,3,28,11,29,4,3,3,6,13,8,4,3,9,13.7000870455624,13.9347280591809,14.2952028478545,12.5153756538576,13.7126039899035,14.3621016315609,13.5756921476773,14.1038964442512,13.9562462682244,13.9996405908764,15.4935032583465,12.8381110411906,13.2719507033852,17.3980557186579,18.4000321727277,14.5475125159352,13.4789022578539,16.4151158213222,14.3072649056824,13.8743897824078,-0.613638899334625,0.332242818296064,1,-0.0411375625975236,0.944016981754404,1
"P35221",10,15,20,19,9,8,17,11,4,14,5,19,4,6,4,11,11,19,16,10,15.5279038271241,15.8513425961819,15.2465654076967,16.6901167065389,18.0439161749392,17.8288689195602,16.5390746012129,18.2912314760743,15.0444319094699,17.9482565953049,17.3492864076192,16.0917918920198,16.1754430967234,15.0639093108294,16.1979675607864,16.441079832185,16.2941240362908,16.6019593473683,16.4655950591971,17.5119289917719,0.474065857866015,0.176360470615005,0.954462866968407,-0.10865923778732,0.746206224865994,1
"Q96C19",4,6,8,4,NA,9,5,8,6,5,6,3,5,NA,5,5,5,5,7,5,15.5024207580252,15.0995851374739,15.243680937808,15.593594174816,16.845823979027,15.730264231406,16.0273292979897,15.9574424459595,15.3389822922662,16.6403731795072,14.3421123697064,16.8141387580199,16.6097907658931,14.9042056830885,15.8875045338792,16.4605303222522,15.1849781569044,16.2154757802744,15.8140460476241,16.829854422314,-2.03232739003872e-20,0.999999999875142,1,-1.80615021963002e-20,0.99999999988668,1
"P0DMV8,P0DMV9",7,7,9,7,7,8,7,7,5,7,7,10,6,6,4,7,9,7,7,6,16.5386268728406,16.5030476873263,16.8243353260576,16.9731842040453,18.7447770598581,18.3869574588344,17.2998578332176,19.6829880942629,16.0764387867275,18.4799700033699,17.7884481483618,17.9354530476725,17.5089247066213,15.9292156280997,17.3943816290928,17.0117368913885,17.1118350675174,16.8409101362117,18.1324473387346,18.1548553623294,0.0632673116736243,0.801230524125223,1,-0.0839666461098785,0.726657107373833,1
"Q15063",19,NA,NA,3,NA,NA,NA,22,15,17,14,3,39,25,5,14,18,2,20,15,14.4876390230788,14.8270446733649,14.9512993608054,14.3002059035727,12.1690957274087,14.1676390142239,10.4609272727524,13.5586177624546,13.6190420807512,13.1362844129424,13.7085119944125,11.1729345253096,15.7264391378731,13.9923967805428,15.5965900448536,18.8941650871143,16.8361865533508,15.4789085040123,15.3552234620449,16.3206958147635,-2.23243076745572,0.0157927455271569,0.330173131503361,-0.231027853367338,0.77688726351792,1
"Q8TAE8",2,NA,2,NA,NA,NA,1,NA,NA,2,NA,2,NA,2,NA,NA,1,NA,2,2,14.9082802527149,14.3971763479506,14.4468406532201,14.3680141871224,15.9865849688584,16.2049227588925,15.6728149642454,16.3615982147717,14.6068192238514,15.4583632332237,16.3753455732249,14.7539229236318,14.6290856535721,14.1894320843288,15.4328298829063,15.6681644284606,15.9417737901547,15.2454418984265,15.140430422904,16.1747266617496,-6.72410963175402e-20,0.999999999713158,1,-1.53101111357878e-19,0.999999999334288,1
"Q8IYS1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9331314381353,15.1873243475181,NA,16.3550223086575,16.017496320266,14.9530933823909,NA,NA,NA,17.9056525062026,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00049845687169747,0.998940750366477,1,0.862823621759591,0.120559401026085,0.688545144379348
"Q12955",NA,NA,7,1,9,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,5,1,NA,14.4559506614759,13.9294736666932,14.3031925589035,14.6474161631046,16.2729612428805,15.8271253431371,NA,16.3940799019721,NA,16.6406854490291,16.7956866105329,15.1948859131113,NA,NA,NA,NA,15.7500637533398,16.9409122614571,NA,15.9738306830803,0.535500630226263,0.00159184893614438,0.107845368714711,0.48660936958573,0.00534721549614663,0.126506970495456
"P98172",2,2,2,1,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,2,4,NA,1,14.8208901649969,14.9468267742008,14.9201130395223,15.9810707997392,17.4987611212916,17.3185050666853,14.9697624856042,17.1201241112817,NA,17.7790789822941,NA,15.4865848068138,15.4541285462855,13.7031944244638,16.4285580634692,15.6041629378098,NA,NA,15.7576035122912,15.3671527576393,0.58409680985135,0.225002138088928,1,-0.330939846505689,0.473633645219171,1
"P26641",10,7,10,10,12,8,12,12,8,9,14,8,15,6,6,8,10,8,9,7,14.9639367644449,14.9689313861928,15.1007390606806,14.7382746991597,16.2406862810135,16.2722098550655,16.2840833341907,16.1882092951773,14.5651361040303,15.8515549198756,17.4902021397063,15.3889107304124,15.5856265852118,15.1641411577165,16.8810231842582,17.7452376954333,15.5013508696462,16.4622033590814,15.5541292775223,16.1096942735971,-0.250105069372708,0.275105162975319,1,0.0716185026363004,0.740029108630636,1
"P20810",7,11,19,8,NA,4,7,7,2,7,5,14,NA,6,3,5,NA,14,7,4,14.5346417433886,14.4128543582775,14.6448471722343,15.224847413512,17.4915166825317,15.8955213936122,14.9874042752362,16.9953549423346,14.3395973160201,17.1158075467956,NA,14.3246419114234,15.3126612527937,13.0853585313248,15.0680706470885,15.2690902501104,14.8767055943229,15.825407943934,14.5112336096149,16.0885041371564,0.315604728521189,0.419779694971102,1,-0.446522170410865,0.245238757006922,1
"Q9NVA2",3,3,3,4,1,6,3,5,5,4,2,4,6,2,2,3,4,5,7,4,14.4549025202645,14.2978506208795,14.2358302155849,13.9919244999635,14.8584495114857,15.4789378156087,14.8502682754114,14.8176568791933,14.2044748454871,15.8785545453959,15.227228573135,15.262133827994,14.615133634731,14.1630857098924,14.8167888898868,16.3237982719497,15.2302912208362,15.6372866886349,15.2564749219095,16.1236134173513,-3.69306437017856e-05,0.989900493670543,1,-1.9887357121267e-06,0.999423255013185,1
"Q6XQN6",3,5,7,1,NA,2,5,1,NA,NA,3,4,3,1,1,2,3,8,NA,1,13.3615610460048,12.1034933324365,13.0356607223188,14.1599891881623,16.247843103849,14.9991025358193,14.355057404819,15.5467743264439,13.3705339301406,15.9152871413316,14.8779287192137,14.5427367550188,13.6237483525061,12.2995817465119,15.3481446017568,14.4850658954051,13.4667985276561,14.2446303165352,14.3494460886698,13.7171084528314,0.756217653754648,0.0619203620062912,0.628379863839109,0.159158023191294,0.681748607388691,1
"Q01831",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1559337623098,13.0648426516836,14.5772357508637,15.8231779625305,16.100890839162,14.4932599572651,16.4653830192733,NA,15.0109758675145,14.5470872670183,NA,NA,NA,NA,15.250106369565,14.6105496102104,NA,NA,15.7372930992247,1.06979991009358,0.0086081189718561,0.250399545791282,0.601175674219871,0.129110839786197,0.713458262344519
"Q8N1S5",1,NA,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,15.2861045361434,14.8495667415447,14.5759510658161,15.1316010002197,16.4980193101202,16.5970249062729,16.4476330866237,16.1095859289976,NA,16.4845419949958,NA,15.5498082352321,16.8388788800412,NA,NA,NA,NA,NA,16.1202302387375,NA,0.0400262219238677,0.770320728551406,1,0.127537151306925,0.427359169614596,1
"P19404",3,4,7,5,NA,NA,3,NA,NA,4,NA,8,NA,2,NA,NA,NA,3,2,3,14.5742224633952,14.4662807632046,14.6728239607359,15.5008880912483,16.8210464869307,16.7635720824599,15.0218311681138,17.3269700623119,14.7722633721468,16.16662037245,16.3164097496867,14.7788943789143,13.6211581701498,NA,14.9239680546223,15.3666539610311,14.8282921855111,14.8188648350441,13.5461579567442,15.7918223295692,0.344992328856617,0.328778927477433,1,-0.800298767181103,0.0234767891759701,0.281186790991936
"O00468",NA,NA,NA,NA,NA,12,5,3,3,3,NA,6,14,2,NA,NA,7,7,3,6,14.5879612350103,14.6351052806789,14.7126997513157,12.9420354977149,14.9457110051026,15.7583822830979,14.8164703640803,15.6309637778279,14.5822116091551,16.3264345913282,15.9927548315191,15.6850460053417,15.2442287569284,14.7042692825165,15.3499478378165,17.6230313075771,15.8446361031636,15.6019949147904,15.3041556908454,15.7730172068661,-0.344443763856504,0.207109557802829,1,0.0984368570176136,0.698016014277502,1
"P17858",6,7,15,10,3,11,11,7,2,5,2,10,9,6,4,5,7,10,7,4,14.5948061400862,14.6932724543592,14.4517848316643,14.5849645187222,17.3640918327536,16.6744992231964,16.3576734641177,16.9928052303899,14.1608130079151,17.230580759776,16.1183393730443,15.8828689998622,15.5909656031583,13.7409095804941,15.269094603343,17.1499631835188,15.4608769256065,15.7026974750405,15.4153458502086,15.8248369699024,0.359872583367342,0.281137653097866,1,-0.0032049340070674,0.992054742491219,1
"Q9BUH6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15.5108146021196,NA,NA,16.8045486561853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P06753",3,2,2,4,NA,7,8,7,6,2,4,4,7,2,NA,4,7,3,3,2,14.8498105721904,14.3166386695297,14.4292895349294,14.4690902615078,15.6673048705218,15.7518444062052,16.3887081538613,16.2078608327029,14.8021503037996,16.3150389192524,15.8063461537197,15.4442319542989,16.1778396686202,16.0454754066069,16.2990589498246,16.7305219643635,15.0447627278919,16.7764222729373,15.9896076203618,16.2224520938563,-0.0701991736452432,0.763079849470296,1,0.151879364209712,0.492693292099471,1
"Q9UBQ7",2,3,4,1,5,3,2,2,4,3,1,4,2,2,1,1,3,2,2,3,14.6365588809387,15.2720767244877,15.0084302043842,15.6265173993504,16.9559794779299,16.059619570496,16.4453038649673,17.2133709460185,15.5928178786598,16.7680286699363,17.4424593711716,15.0871927350622,15.3999761308727,15.6690713144256,15.2300436036555,16.1936591903134,15.946743824691,15.8611882073248,15.6653033050058,16.0032832906042,0.216931750953902,0.29270855863999,1,-0.189954669861659,0.330035269600748,1
"P02766",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,14.4707183362951,14.2762421420848,15.4895040712087,15.0160513048153,15.61736640834,16.9284230508369,NA,16.7447376617509,15.4602032439915,15.6716618759222,NA,13.4645722997785,14.3818368307046,14.5216751532259,NA,15.389130563005,16.1645501796028,16.032338366279,16.6076628355937,15.4325712132273,5.61848316078824e-21,0.999999999981507,1,-7.83072676870583e-20,0.999999999736058,1
"Q14CN2",NA,1,NA,4,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,14.4386238756758,13.9659941693529,13.7502813017028,15.0993244748889,15.2800835299794,17.0322802014441,16.6748572034528,16.347036220545,13.4290430379632,16.4117348286067,NA,NA,17.3946794310397,13.6888972505945,13.66336945252,NA,14.8628971796801,16.8002545198651,14.5695456872318,16.4961401993369,4.70256542500143e-19,0.999999999404477,1,3.49213625729789e-19,0.999999999582712,1
"P55060",4,4,4,NA,NA,9,7,6,7,6,5,2,5,3,1,7,6,6,7,6,15.3529179080478,15.8721386492875,15.4119792754427,15.4908216980504,16.5083055723449,16.5818197242746,17.2662605480183,16.3566655235638,14.8528435425384,16.2491468315004,16.8272913989463,16.9842543786192,16.5352307654166,16.5451524192961,16.772540310331,17.3065695006163,15.7155862244705,16.6480530433805,16.1947511135431,17.5777953768453,-0.237690991071052,0.407586661491432,1,0.0215570573497277,0.935666178513999,1
"Q9Y277",2,5,4,4,2,5,5,2,3,3,1,5,3,4,NA,NA,2,3,3,3,15.7398133568544,15.8713608528923,15.9062395104981,15.4108585343521,17.3193076684512,17.5294669140788,17.0250200653732,18.1348202426717,15.2613030035815,16.5661488275641,16.634580324425,16.2141270008814,15.9821939997111,15.80118661056,15.4051292143575,16.618419722757,17.7646532238043,15.844354018879,15.0916582224144,16.7779073221296,-0.0674446406794544,0.810042340627495,1,-0.21757510838612,0.421429774261579,1
"Q8NBX0",11,10,16,12,5,11,7,13,NA,11,NA,16,NA,13,1,NA,10,7,14,11,15.4613280996674,15.5933563262865,15.6161876251314,16.1101581549538,17.7196855238996,17.4268643493738,15.7884511553685,18.4249165915656,14.5723551979234,16.4837252567216,16.9941529534568,16.4388813125409,16.4808201189883,13.4099077297386,13.2403099773162,15.1264497266256,16.9056533320809,NA,16.1395329458947,17.5624255282853,1.07516483736815e-21,0.999999999991485,1,-1.05286761819252e-20,0.999999999915955,1
"Q15293",5,3,5,5,3,4,4,4,4,5,3,6,6,3,3,2,3,4,5,5,16.7146634801224,16.9181856613853,17.0093707978632,16.1787895543431,18.4628958378073,17.8498663614589,18.1656973310388,18.6083866901539,16.0797339432428,17.8563677473378,16.9539584311651,16.11922113789,16.5489293857782,16.2889284955494,16.3613105623541,17.7143816454935,16.6615525043857,16.1986645409591,16.5577352292818,18.5063864124423,-0.147082200727647,0.675583404226914,1,-0.754311500350179,0.0282630019236324,0.311875465095356
"P12270",8,10,10,7,5,10,23,8,8,8,7,22,6,6,NA,6,8,15,11,6,14.5850870061686,14.8116679854746,14.8431328927001,14.6644227606106,15.8393134455721,16.0122936083583,16.1466320854008,16.6323590078825,13.5368781408804,16.2433712221465,16.0787093353852,15.193306367621,14.9651674166193,14.6062017479235,15.2269751268734,16.4809518678816,15.3670766559679,15.7271808189254,15.6936765295347,15.6944885992719,-7.34079052841415e-21,0.999999999925522,1,-2.25956499019002e-20,0.999999999762402,1
"P27482",2,NA,NA,NA,3,4,2,NA,NA,2,2,NA,NA,NA,NA,2,5,NA,4,2,16.2123406152312,15.9094284819431,16.2047129759717,NA,NA,NA,16.2261084024567,NA,NA,NA,18.865450457807,17.8194591324371,NA,NA,16.1093664727993,NA,NA,16.9147956670406,19.4444761426364,18.9075985995099,-1.90698186497878e-20,0.999999999927507,1,1.83072613108241e-20,0.999999999890826,1
"P80723",4,2,2,2,2,NA,7,3,NA,3,3,3,3,3,3,4,3,3,NA,3,15.6363973894607,15.9457988600777,15.7552658143894,14.3674211216473,15.2485112410438,16.0788571516758,18.5835563535342,15.8402500552202,16.5747700639767,16.5317102921384,15.8383080091676,NA,16.5251546177771,14.5191332883479,15.5791047375824,17.0466847022944,16.278204886438,16.6243144533742,15.3101147811115,14.4870925397274,-0.122432099518812,0.689762203175263,1,-0.223590146761601,0.459971737549958,1
"Q14554",NA,NA,NA,NA,3,1,1,NA,2,NA,1,NA,1,1,1,1,3,NA,NA,NA,14.535553161195,NA,14.4585312509237,NA,14.9149830675368,16.5920708024141,15.7677179921838,16.2569988851134,15.9477435067154,NA,18.0699116789423,15.44744888955,16.9690680897319,16.6570322738742,16.5201625896829,16.9122672900442,16.4840584669662,NA,16.0179802931564,15.3542930895764,0.279324515417214,0.437812853657143,1,0.665306451196608,0.059240316988034,0.466114356587797
"Q08211",12,11,14,8,11,15,20,10,9,12,10,13,16,8,7,9,14,9,11,9,15.9944707230848,16.0822825652377,15.9568106254576,16.0780013553442,17.0195783759109,17.3454541292182,17.8824696794759,17.5564857342402,15.3676955232967,17.2862552825597,17.9055774383144,16.7415709653839,16.472479620229,15.8650875190377,16.6919357765499,17.7545679446194,16.4569083346355,16.995957437669,17.1331432009446,17.094833800246,-1.16525351568018e-17,0.999999995655648,1,-1.04470092186386e-17,0.999999995934394,1
"Q92817",13,15,28,23,21,18,NA,17,NA,14,NA,28,6,5,NA,19,11,16,16,15,15.062632726959,15.3006477929179,15.4341799804019,15.1042788428231,17.2520848662733,17.207045378754,14.5353766296544,17.5863248455801,NA,16.5828873276,17.2665380699132,15.7296280216387,15.8988204329333,NA,NA,16.1149273789039,15.427175446929,16.4706082731259,15.5460137089239,16.3284525759766,3.08640477293721e-22,0.999999999995,1,-3.63110809874585e-21,0.999999999939135,1
"P09496",3,2,2,2,2,4,3,4,2,4,2,3,3,2,NA,2,3,3,3,4,16.0019317524438,16.1565318909099,16.0961187715479,16.0487813822839,17.5019375440383,17.7985891688354,17.8007647501257,17.6650734912039,16.1529298237624,17.9172061869389,18.1854705189055,16.5331366228432,16.215425220262,16.9549830876662,17.3851268109517,18.4863944259356,17.3808028968788,17.0956603243166,17.198987112716,17.4239085675035,2.72997949033487e-20,0.999999999816408,1,3.28901537126832e-20,0.999999999765472,1
"Q05655",1,3,8,3,NA,3,8,4,NA,2,NA,6,2,NA,NA,NA,NA,4,3,3,13.8654420989414,13.6948875353208,14.3116084984352,14.7141667684114,16.9715606796608,15.6148955057024,16.1740498657878,16.5268105627369,13.9197155294365,16.4928856607337,NA,14.9024418709035,14.7327354909702,14.4270258126551,15.2758758548665,15.8243817368067,14.8653028894565,14.7935735671891,14.6025608807146,15.3754314343724,0.79137609536045,0.0050779250969712,0.193533314259212,0.0912349893576673,0.735194581190815,1
"Q52LJ0",2,2,4,1,NA,1,2,3,1,2,1,3,NA,NA,NA,NA,1,5,1,1,14.8584007508421,15.5594868853495,15.4861991670372,15.4209658374968,16.9562249439757,16.4811560142173,16.2133491202906,17.0784494408635,14.9876183058049,16.7506716014482,17.5249324692141,14.9529736428904,15.1558102242023,15.1380475219184,15.6523667405214,15.9627404769821,15.4703536140683,15.8768367196499,15.6264676011782,15.5074647203288,-0.100165130236247,0.475491334999166,1,-0.745140613879047,9.94384236511428e-07,0.00136528955673019
"P12111",52,NA,23,40,49,31,3,42,72,59,65,41,77,80,95,52,36,42,61,51,14.9958897789505,15.2354488038171,15.2758157028067,10.9039180112797,14.936971391447,16.0514281414911,11.8855488304825,16.0217053863561,17.6871592042811,16.295101106067,16.6617416802399,14.2782832390629,14.9163004616822,16.2430411942126,16.9259858469071,18.0266225479436,17.6407660293969,16.346131031393,14.9283935248055,17.0105941393815,-6.22136735387834e-05,0.992814639991117,1,2.75573671141968e-06,0.999646299894316,1
"Q15020",2,NA,3,NA,NA,NA,6,NA,NA,NA,NA,4,2,NA,NA,2,3,NA,NA,1,14.5662526142588,14.3211690701051,15.2750777661207,15.3295943684064,16.4406473573233,15.9045386915909,16.3807274164942,16.5983311614911,15.1171800463979,16.1185719398368,16.1604525799333,15.3333505948068,15.1570389647155,14.6065472768368,NA,16.8802316732464,15.6414329533639,16.5278932413151,15.8931965261221,15.9986118773869,1.17505723111838e-19,0.999999999445712,1,1.00321819211798e-19,0.999999999519484,1
"P35232",11,7,9,11,12,10,10,8,9,9,8,9,10,10,6,7,7,8,11,7,16.7224123192522,16.8837842087132,17.2349258433773,17.4179694356211,19.0014939927095,18.9706285299134,18.4849154080398,19.5851759860676,16.5276670241799,18.4282212140149,19.6944994969901,17.5942484575811,17.455807319893,18.1039958679412,17.7567711660704,18.6357195986685,19.2227180921483,17.3553537346043,17.1220263539714,18.651352430844,1.42863320724578e-11,0.999996691160108,1,4.42177824151326e-12,0.99999892430804,1
"P35606",7,7,9,6,8,9,12,9,9,5,5,6,7,5,4,6,8,8,7,6,15.5811991642322,15.8123834567086,15.7491603787814,15.7023666338329,16.9577019978165,16.8585664400051,16.8337815624487,17.274436191492,15.429541657237,17.2002014840279,18.2034346752893,16.4015561263537,16.3025926882289,16.0122101264768,16.9805066531865,17.6858296249541,16.4980598425756,17.1556775106277,16.4703179570604,17.0934354654929,-0.100124088336048,0.439188482682966,1,0.0917764354115311,0.457062463562179,1
"Q9BY42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3010200582678,NA,NA,13.1751793471733,NA,NA,14.4920126692962,NA,NA,NA,NA,16.3833682905622,NA,NA,NA,NA,NA,NA,NA,NA
"Q709C8",NA,3,7,2,NA,NA,2,4,NA,NA,NA,6,NA,6,NA,NA,NA,3,4,3,13.7424676936518,13.3371002765916,13.4481592222759,13.6843125609009,15.4803362283802,15.6788598277789,14.2002500529785,15.9608509449266,14.0130567543943,15.522685402824,NA,13.4774528273042,14.4924560346464,13.7888003202575,NA,15.8394020593868,15.7052938881075,13.8972220653235,14.6818908620119,15.1816303876062,4.75164195652806e-20,0.999999999676228,1,3.01416812357122e-20,0.999999999794618,1
"Q9NVZ3",NA,NA,NA,NA,NA,NA,2,2,NA,2,1,NA,NA,NA,1,NA,1,2,NA,2,15.1423269954767,15.1222065670651,15.1684276428194,15.0586036939488,NA,NA,16.9905371820968,16.3903576533591,16.1430759435072,17.1212765996472,15.9037986952454,NA,16.1066445873883,16.1154998526089,16.500510316689,16.8050379986714,NA,17.664603215687,16.1862818293933,16.2201016233833,7.00687027877417e-11,0.999985662385979,1,2.95081344276276e-11,0.999993392936805,1
"P62258",10,10,16,8,12,16,15,12,9,11,9,12,13,8,7,10,12,18,14,12,15.2497928354875,15.6471559009503,15.6699998363692,16.0832819323752,17.8310593892844,16.7676883139614,17.0444828273036,17.5316051235908,15.1699249242579,17.8551795988484,17.4784427346584,16.6602733555448,16.1837515906323,15.2396438470563,16.6329229960335,17.1659486774634,15.939476228933,16.2666424137233,16.7350029608086,17.2541918476306,0.0609689515742736,0.68526119514849,1,-0.0160943917481603,0.911283199106373,1
"O00273",NA,3,3,NA,NA,4,5,4,1,NA,NA,NA,1,NA,NA,NA,NA,3,3,1,15.1503225364054,15.2670479996531,14.9647438461457,14.817078628187,16.3155686962247,15.2563946603727,16.2946686386952,15.6939551613106,14.7526146353919,16.6417135444646,16.1638939268284,15.8458481346929,15.3788588883749,14.443258397989,15.2348753360071,15.9483776526069,NA,15.6700863011082,15.0472831140203,16.4442602331866,-0.011737749369516,0.846150598380245,1,-0.0149347366133487,0.798777358394235,1
"P31040",6,7,13,12,6,7,11,7,8,7,3,17,6,9,3,5,7,10,5,4,15.4724568102069,15.7876464662206,15.6263006506664,15.8450371742824,17.6259641200856,17.6789124395002,16.4280475222676,18.557759090622,15.417984270929,17.1835320746357,17.2035784813093,15.5015502502342,15.8016862174029,14.9728918838464,16.1314098538406,16.9454606032489,16.6795115434025,16.4562309602355,16.2440990687449,16.5407330539385,0.265675550320697,0.297826003662056,1,-0.250326871594343,0.306866704271536,1
"Q08380",10,6,11,7,6,5,11,6,7,9,8,8,NA,9,5,5,6,8,12,8,15.0967815288176,15.2895872779716,15.099144665023,15.8963833140197,17.3849757913414,17.0614881709112,17.362866886072,17.272222601015,15.0254022674089,17.9245768421033,16.9115785802869,14.9172248736655,15.7374055187113,15.1305621017093,17.176654985956,14.1958197490623,16.9372072591422,15.9675431580444,15.437418328944,17.8051171662971,0.218774280628876,0.567790264288066,1,-0.107039425231299,0.773433379961795,1
"P04406",16,14,24,14,25,16,27,17,26,18,21,17,16,20,19,26,21,21,16,19,15.2722273229912,15.4272269777021,15.5232193813336,15.3567216970917,17.3961635459052,15.9818784370665,17.2941086402792,17.3086100254847,15.6091403548699,17.6701157670544,17.7997419038442,16.0407528297414,16.6452081360258,16.4031803315904,17.2595556573616,17.5983619994054,16.5949063118515,17.5158377101969,16.5138221483268,17.0528438703335,0.136884476499161,0.484767238578724,1,0.239924241565512,0.196580496081399,0.880610414007299
"P05091",4,4,3,1,12,NA,NA,2,1,3,NA,6,1,3,6,2,11,NA,3,3,14.3009191095975,14.7754382052205,14.7156182940076,15.0192571711723,15.651669827477,15.3167973894741,NA,15.9549783576116,15.4398582409916,13.4472937805077,18.0769362214734,NA,14.186970808109,14.1663409651989,14.4733741459746,15.2662769322377,15.9236208408689,15.3365533051749,16.7853182124016,15.9059277310606,-4.07497054166026e-16,0.999999982211184,1,-1.05389782120995e-16,0.999999995185181,1
