source name	characteristics[experimental sample]	characteristics[biological replicate]	comment[file uri]	comment[data file]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	factor value[condition]
A_1	A	1	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01.raw	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01.raw	not available	AC=MS:1002038;NT=label free sample	NT=trypsin/P;AC=MS:1001313	1	1	A
A_1	A	1	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_02.raw	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_02.raw	not available	AC=MS:1002038;NT=label free sample	NT=trypsin/P;AC=MS:1001313	1	2	A
A_1	A	1	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_03.raw	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_03.raw	not available	AC=MS:1002038;NT=label free sample	NT=trypsin/P;AC=MS:1001313	1	3	A
B_1	B	1	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_01.raw	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_01.raw	not available	AC=MS:1002038;NT=label free sample	NT=trypsin/P;AC=MS:1001313	1	1	B
B_1	B	1	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_02.raw	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_02.raw	not available	AC=MS:1002038;NT=label free sample	NT=trypsin/P;AC=MS:1001313	1	2	B
B_1	B	1	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_03.raw	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_03.raw	not available	AC=MS:1002038;NT=label free sample	NT=trypsin/P;AC=MS:1001313	1	3	B
