"protein_group","number_of_peptides_hcc_1","number_of_peptides_control_1","number_of_peptides_hcc_1.1","number_of_peptides_control_1.1","number_of_peptides_hcc_1.2","number_of_peptides_control_1.2","number_of_peptides_hcc_1.3","number_of_peptides_control_1.3","number_of_peptides_hcc_1.4","number_of_peptides_control_1.4","number_of_peptides_hcc_1.5","number_of_peptides_control_1.5","number_of_peptides_control_1.6","number_of_peptides_hcc_1.6","number_of_peptides_control_1.7","number_of_peptides_hcc_1.7","number_of_peptides_control_1.8","number_of_peptides_hcc_1.8","number_of_peptides_control_1.9","number_of_peptides_hcc_1.9","number_of_peptides_control_1.10","number_of_peptides_hcc_1.10","number_of_peptides_hcc_1.11","number_of_peptides_control_1.11","number_of_peptides_hcc_1.12","number_of_peptides_control_1.12","number_of_peptides_hcc_1.13","number_of_peptides_control_1.13","number_of_peptides_hcc_1.14","number_of_peptides_control_1.14","number_of_peptides_hcc_1.15","number_of_peptides_control_1.15","number_of_peptides_control_1.16","number_of_peptides_hcc_1.16","number_of_peptides_control_1.17","number_of_peptides_hcc_1.17","number_of_peptides_control_1.18","number_of_peptides_hcc_1.18","differential_abundance_pvaluecontrol.hcc","differential_abundance_qvaluecontrol.hcc","abundance_hcc_1","abundance_control_1","abundance_hcc_1.1","abundance_control_1.1","abundance_hcc_1.2","abundance_control_1.2","abundance_hcc_1.3","abundance_control_1.3","abundance_hcc_1.4","abundance_control_1.4","abundance_hcc_1.5","abundance_control_1.5","abundance_hcc_1.6","abundance_control_1.6","abundance_hcc_1.7","abundance_control_1.7","abundance_hcc_1.8","abundance_control_1.8","abundance_hcc_1.9","abundance_control_1.9","abundance_hcc_1.10","abundance_control_1.10","abundance_hcc_1.11","abundance_control_1.11","abundance_hcc_1.12","abundance_control_1.12","abundance_hcc_1.13","abundance_control_1.13","abundance_hcc_1.14","abundance_control_1.14","abundance_hcc_1.15","abundance_control_1.15","abundance_hcc_1.16","abundance_control_1.16","abundance_hcc_1.17","abundance_control_1.17","abundance_hcc_1.18","abundance_control_1.18"
"sp|O60271|JIP4_HUMAN",3,2,3,3,3,2,2,1,1,1,0,3,1,8,2,2,1,0,1,4,1,1,1,3,1,1,3,2,1,2,7,2,1,3,1,4,1,1,0.829643059698822,0.89310802106586,20.9365039955896,20.0905387601999,17.3709731803495,19.934258308735,20.2175820342408,NA,20.7536990699258,18.7288625550438,16.6171194149288,19.479541513245,20.4268441364534,20.8528273560139,19.6749487660338,20.5807508878103,18.2922464171527,19.8691077630953,16.660873988364,19.692709229029,NA,17.2269965567419,22.4528153982946,20.9392044725262,19.541918534755,19.4459571739077,NA,19.1435235306594,20.6136811248792,18.4270330836976,18.7037019982442,20.4791662704659,19.1007688230881,20.2083518307698,20.8031397013148,19.4449348887491,18.9154456840584,20.721174079523,23.1548652665329,20.4702204297991
"sp|O60282|KIF5C_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9224324945753,NA,NA,NA,NA
"sp|O60307|MAST3_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6770210702183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O60313|OPA1_HUMAN",3,0,6,0,4,1,3,0,1,1,2,0,1,3,2,2,1,3,1,1,1,3,1,1,7,2,1,1,2,1,4,2,2,3,0,3,0,5,0.00137188181514265,0.00930295257573707,21.2192898474158,NA,19.8720130499832,19.2024595460598,20.8129920101442,NA,21.6835301941626,NA,21.6976058674836,NA,22.302014605766,NA,21.7822930305162,18.1433982878074,21.386749360434,NA,18.7761635669822,19.7499488862034,21.0685240958616,19.7033363389586,21.2989942091814,21.2426409653625,20.2883242679552,19.6883750334255,21.3005203294683,18.9093401810361,18.9997810772602,19.6419544932891,20.6902065099568,19.5109527150435,22.7798568188314,20.1457824835728,19.5966622423949,19.2284728899077,19.596931400752,19.5695955146533,21.276344494497,20.6509131309007
"sp|O60437|PEPL_HUMAN",3,2,0,0,0,0,1,0,0,0,3,0,3,10,4,0,2,1,1,1,0,0,2,2,0,4,2,3,3,2,1,3,2,0,3,1,0,2,0.797388528222173,0.879631780842218,20.8157149973971,NA,20.7801241405989,20.4853335430079,NA,21.0054202713239,19.513716368679,NA,20.3268592829835,17.4700811839959,NA,NA,NA,NA,NA,NA,NA,NA,21.3270196903851,20.6835104991206,22.8836859003663,21.3026419333174,NA,20.2627693752771,19.0938827244187,19.0768010566374,17.5997670994902,NA,NA,20.2905450070767,NA,21.5665161323017,20.1868430281638,20.5023611979121,21.6115071001028,20.0408664408544,17.5680437251322,20.8823432308846
"sp|O60488|ACSL4_HUMAN",18,0,2,0,1,0,15,0,11,0,5,1,5,1,1,1,0,0,0,17,0,18,5,4,1,0,17,18,0,0,8,2,1,17,0,0,13,3,0.174043430511315,0.321946397792387,26.0953612295495,19.6482056368701,21.8315683582887,NA,25.8982423787356,NA,NA,25.4452066105567,20.8671002078432,NA,19.2375056363832,NA,NA,NA,26.1032654028618,NA,25.5522635321096,NA,23.0385188289769,20.4819851267608,NA,NA,NA,NA,NA,NA,26.137317223087,NA,26.3693054890015,20.7784955048664,NA,NA,26.5138650357331,25.7981370049435,NA,NA,22.7816626034074,NA
"sp|O60493|SNX3_HUMAN",5,4,5,5,5,2,2,6,5,5,0,5,3,1,1,4,1,3,4,4,5,4,4,1,4,3,5,2,2,3,5,4,3,4,3,4,4,3,0.306717131524536,0.472191687871918,22.7288617414116,22.6567283812167,21.8941606638222,21.6670945216929,22.6370426554196,21.6124765428956,22.2479506196574,22.0219996742256,21.9241445086431,22.0070221698541,22.4277664953497,22.8269741064167,22.3383465407563,21.3599007029592,20.210111165289,22.6436562530232,22.5036003906671,22.0247896642476,NA,20.9963486918645,19.2239378585376,19.7081505105889,21.5266011766461,19.9844484853806,21.9429069954507,21.8627339633005,21.4002280565526,22.1363005267289,22.1223454934554,19.7543073975075,21.9101124966982,21.3345983763691,22.1745455319507,20.8232988775998,20.4872006613169,21.8475314525727,23.7901855619085,21.7456907029228
"sp|O60502|OGA_HUMAN",2,0,0,0,0,2,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,2,1,0,3,1,0,1,3,0.238657302889451,0.40105140385144,20.2725480527912,NA,20.2533319601241,NA,20.8684558753283,18.9475929957122,NA,18.180388023473,20.3361677575888,NA,NA,NA,NA,19.9321138385153,NA,NA,20.119513015831,NA,18.7062845122391,NA,17.8726450101177,NA,18.1895383856154,NA,NA,NA,19.3011866089806,NA,NA,NA,19.1895696225567,NA,NA,NA,NA,NA,19.5038341441881,18.2968997195762
"sp|O60504|VINEX_HUMAN",3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,1,1,4,0,1,0,0,0,0,2,0,1,0,0,0.476986517245312,0.628433530303383,21.0073056733774,19.5941428900617,NA,NA,19.6406653634326,NA,19.3441324218329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8411221741885,19.2453887173681,NA,19.2103040980697,18.7871218517427,19.7803490826091,22.6079088672971,NA,19.4661877334633,NA,NA,NA
"sp|O60506|HNRPQ_HUMAN",14,7,7,11,10,7,7,9,9,8,7,9,9,6,11,12,7,8,11,10,8,8,11,8,16,7,10,8,10,7,7,11,8,7,7,7,7,6,0.250773702261093,0.41479719937954,24.8808117227252,24.1264656230342,24.6951869602115,23.2206505718065,23.35990779686,22.8884557141799,23.5332196408929,23.4861323802042,22.338118319914,22.8502736855091,23.2155784005878,23.9115730940488,23.9639874914482,23.2759969371919,23.4752808008914,24.1626957506041,23.8523535250471,23.5112701561308,23.3556238686715,23.2027413395586,22.1823175609821,23.9238267858873,24.4447176626482,22.8151628845528,24.0568512485015,23.6620096002812,24.263323759994,23.6795239807808,23.0760723629355,23.3448617367712,25.2341972211358,22.8898096797999,24.0874930580345,23.325149995977,23.9497857624043,23.3305229284236,22.6183655299929,23.9237992275943
