"protein_group","number_of_peptides_hcc_1","number_of_peptides_control_1","number_of_peptides_hcc_1.1","number_of_peptides_control_1.1","number_of_peptides_hcc_1.2","number_of_peptides_control_1.2","number_of_peptides_hcc_1.3","number_of_peptides_control_1.3","number_of_peptides_hcc_1.4","number_of_peptides_control_1.4","number_of_peptides_hcc_1.5","number_of_peptides_control_1.5","number_of_peptides_control_1.6","number_of_peptides_hcc_1.6","number_of_peptides_control_1.7","number_of_peptides_hcc_1.7","number_of_peptides_control_1.8","number_of_peptides_hcc_1.8","number_of_peptides_control_1.9","number_of_peptides_hcc_1.9","number_of_peptides_control_1.10","number_of_peptides_hcc_1.10","number_of_peptides_hcc_1.11","number_of_peptides_control_1.11","number_of_peptides_hcc_1.12","number_of_peptides_control_1.12","number_of_peptides_hcc_1.13","number_of_peptides_control_1.13","number_of_peptides_hcc_1.14","number_of_peptides_control_1.14","number_of_peptides_hcc_1.15","number_of_peptides_control_1.15","number_of_peptides_control_1.16","number_of_peptides_hcc_1.16","number_of_peptides_control_1.17","number_of_peptides_hcc_1.17","number_of_peptides_control_1.18","number_of_peptides_hcc_1.18","differential_abundance_pvaluecontrol.hcc","differential_abundance_qvaluecontrol.hcc","abundance_hcc_1","abundance_control_1","abundance_hcc_1.1","abundance_control_1.1","abundance_hcc_1.2","abundance_control_1.2","abundance_hcc_1.3","abundance_control_1.3","abundance_hcc_1.4","abundance_control_1.4","abundance_hcc_1.5","abundance_control_1.5","abundance_hcc_1.6","abundance_control_1.6","abundance_hcc_1.7","abundance_control_1.7","abundance_hcc_1.8","abundance_control_1.8","abundance_hcc_1.9","abundance_control_1.9","abundance_hcc_1.10","abundance_control_1.10","abundance_hcc_1.11","abundance_control_1.11","abundance_hcc_1.12","abundance_control_1.12","abundance_hcc_1.13","abundance_control_1.13","abundance_hcc_1.14","abundance_control_1.14","abundance_hcc_1.15","abundance_control_1.15","abundance_hcc_1.16","abundance_control_1.16","abundance_hcc_1.17","abundance_control_1.17","abundance_hcc_1.18","abundance_control_1.18"
"CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239529033077265,0.402041356404023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8374359920973,19.7082761449088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__ENSEMBL:ENSBTAP00000038253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.904822829172055,0.942720271231749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6795333328365,NA,NA,19.4455561928015,19.4852210297338,NA,NA
"sp|O95678|K2C75_HUMAN;CON__O95678",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.963960012344004,0.977009702571675,NA,NA,NA,NA,NA,19.1384641468831,18.0865303636386,NA,NA,NA,NA,18.0453162629916,NA,NA,18.4704485722069,18.2032329951413,NA,NA,NA,NA,NA,NA,NA,NA,18.7399133084052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__P00761",2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,0.555198483949352,0.694608481458183,26.2881528638697,26.2602779448248,25.4583510347045,25.6220656754631,23.4780651792279,25.7629028828306,24.0564377256308,25.0545979202868,24.7228164302809,25.0783846478943,24.656706259891,25.6461595259512,24.738463960329,25.9716765569086,24.6529800241029,24.3098477884791,23.2018230362599,23.8383739170684,25.0492187639607,24.4359721514231,25.2082628936376,25.2370469488893,25.3300264884943,25.1476108414359,24.4932461000172,25.6471440011008,25.5937734257319,25.1398553792432,25.6165741330409,25.2829973182174,25.976951776604,24.7230764235676,25.1803770791394,24.0150403369554,24.642684623417,23.9503219538228,26.0036326283008,26.1785296764441
"CON__P01030",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.860688671772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__P01966",1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,3,1,2,2,1,2,1,2,3,2,3,1,1,2,1,1,1,1,1,2,0.0491260235379996,0.134517359928401,26.7375051719923,28.4315968079432,25.9071425631143,28.5032620480825,26.5338435402654,27.342023252776,28.4993561013925,28.9523138388626,29.5677936701876,28.873037127221,26.8414884058091,28.707049606903,26.7198884431097,28.9258251201497,26.5911555579084,28.6001588592991,26.8366605840343,28.2541280415925,28.0486935852639,26.7658638609521,25.2148781025542,27.7686606648434,26.064265299601,27.7956535910845,27.9333340432226,28.7657466845938,28.1841648697641,28.5028421475964,27.9707549072275,29.1448621104119,27.0620200397946,28.070504111613,29.8157280004211,28.6959716857011,30.1642774610665,27.5482197317819,29.965022555897,28.9367452589966
"sp|P02533|K1C14_HUMAN;CON__P02533;CON__Q6IFX2;CON__Q61782",6,1,2,2,1,1,1,1,1,1,3,1,0,5,2,0,1,2,0,1,1,0,2,0,1,3,2,2,1,2,1,1,2,1,1,0,1,1,0.698159283582067,0.800912565238298,23.8777565290542,18.5648198562619,20.7170600572766,20.9393384554311,18.2654345375907,20.4255749275276,NA,20.0400241541609,19.8940376699634,19.4887394512162,21.2918882415803,20.9562099048871,19.3090262174243,19.0940675961041,18.9063552635334,19.1651826834383,18.9929831957084,19.7739154111892,22.1956475548742,NA,21.879460394861,20.7265781743923,NA,18.9303258960348,20.626295984758,NA,19.2393771888306,19.4957955148741,NA,NA,19.1550181481548,21.3370179912606,21.4057704906244,21.3245462315653,19.0810558217152,20.7618936314524,19.0524983448507,NA
"CON__P02754",3,2,1,3,0,5,1,1,4,0,1,7,0,1,3,1,2,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0.55170949390282,0.691155222436602,21.3783898240401,26.5583386499673,26.1124941745123,20.8582371552968,17.0822094202483,NA,NA,NA,26.0390642746723,20.6520087092498,19.9522914985999,21.6706761833939,NA,24.9710734120601,20.0642202617056,20.2367591723741,23.5007294436206,NA,21.5512325140555,NA,18.8342640310485,22.233118191244,19.2003414056987,21.9251096249331,NA,20.6883162964773,21.1314482220617,19.8593158297886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P02768|ALBU_HUMAN;CON__P02768-1",20,18,21,15,18,18,19,15,20,17,19,18,20,20,20,20,23,22,19,21,20,19,18,19,20,21,25,19,22,19,20,19,19,22,23,19,18,22,0.027794001252089,0.0878395446655083,31.0530738497197,28.8045921403278,29.8574788868246,30.8253275752196,30.9370958778162,30.6610558914557,29.9307808920862,30.477522798916,30.9186971959549,29.1592899034752,31.408699001704,28.0952527479249,30.5859310467697,31.1814573231055,30.4209955244164,29.1296789936261,30.2773720949322,28.6833652360733,30.6522702676436,30.5745722585144,30.62702074468,30.9244251248912,30.2904431917716,30.4729242215079,31.5115849475193,30.6691315213332,30.2938473458205,31.5109023768745,30.8663581702782,31.1970412507485,30.9468555330213,30.237691750265,32.5802063104083,30.3703628685297,30.5723727764916,29.5338116878872,31.1199947339765,30.6012576612161
"CON__P02769",2,3,1,4,0,9,7,0,1,4,2,8,3,2,9,12,2,2,1,6,2,0,4,3,4,0,0,1,1,1,1,3,2,1,4,0,0,4,0.975283406851792,0.98427857129952,19.3266596398206,24.0115169107769,22.2454152575238,19.4305678456017,18.005897308065,21.1479748997395,NA,NA,21.621332046338,20.5432227627106,17.5885843616262,21.46205018816,NA,24.3931410562785,25.0700420170372,NA,18.9571433228576,22.1359745079524,21.1282104267568,20.8447492602235,20.3613742322391,25.9356459442549,28.3514917709704,20.3112709580292,19.3756752247695,17.8998124156479,23.8897835259432,18.874278412474,NA,20.6913803589114,22.1848943381186,NA,NA,18.7500751498934,18.1461654030387,19.1183321088716,18.9323890923635,20.2068276094945
"CON__P05784",1,1,2,1,0,1,2,1,1,2,1,1,0,0,2,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,2,2,2,2,0.0874729390703634,0.202161260483496,19.1299413278303,20.5254787257957,NA,NA,NA,20.0238917983765,20.7815786552743,20.8791209005601,21.6078980790577,NA,22.3183236114332,19.3853019397314,NA,18.7379843790228,21.1239025337961,19.7444388063915,19.4100347933542,19.9080809290888,21.3459291154091,NA,NA,21.2998542540694,NA,NA,19.2360641240632,20.6124790271051,NA,20.7370555921897,NA,NA,NA,NA,23.4535924195728,19.8011702344294,NA,18.1562657524685,20.0740364591169,NA
"sp|P05787|K2C8_HUMAN;CON__P05787;CON__H-INV:HIT000292931;CON__Q9H552;CON__H-INV:HIT000016045;CON__REFSEQ:XP_092267",28,28,32,26,18,23,32,25,31,28,33,29,30,28,32,24,28,28,27,19,25,26,29,27,22,28,30,32,30,31,13,29,26,26,29,31,28,33,0.294139633293754,0.460554351524892,28.5064698307593,30.7412930273143,29.8663370503939,29.42056945739,27.3922553723324,29.5650452080536,30.5859869884866,29.0875953816343,29.8886032989741,28.5603677475485,29.6957170306328,29.7998326390854,26.2571838677923,28.681904191051,30.6557458674805,29.6509545033917,29.7944419848457,29.5806920694991,32.639756778043,29.1339278446409,28.07117904437,30.6658251896317,28.2298369785522,28.188695593405,29.3501593615707,28.8945585245811,25.72672129448,29.4059492207618,28.5087650659974,28.8381547524633,29.4706281505577,28.7836168105849,29.5209460781138,29.7690519298184,29.2958419078829,29.2478526653964,25.1483125684325,29.2594185158566
"CON__P08727;CON__P19001",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00161531505205343,0.010564531777223,NA,19.6083169546803,NA,NA,NA,NA,NA,19.5470074206032,NA,NA,NA,NA,NA,NA,NA,19.8549734788916,NA,NA,24.5369774084171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__P08730-1;sp|Q2M2I5|K1C24_HUMAN;CON__Q2M2I5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0.397333817272644,0.559057720148701,NA,NA,NA,19.1084917326528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7084158664759,NA,NA,19.2861231015969,18.9818979894511,NA,NA,NA,NA,NA,23.7183533323945,19.6602886797644,NA,NA,NA,NA
"sp|P08779|K1C16_HUMAN;CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8;CON__Q9D312;sp|Q8N1A0|KT222_HUMAN;CON__Q8N1A0;sp|Q99456|K1C12_HUMAN;CON__Q99456",9,0,1,2,5,5,2,3,0,0,5,1,0,4,4,0,1,3,0,1,1,0,3,0,0,8,3,1,1,1,0,0,11,0,1,0,0,5,0.365090998100128,0.530912334904122,23.7125588148621,NA,20.0944483633545,23.8434958104857,NA,NA,NA,NA,21.9682534574273,NA,NA,NA,21.2884457655047,21.6151287771824,19.9552272422245,19.2311002321016,NA,NA,21.4234515771478,NA,19.9472372661403,21.0052826936291,NA,NA,20.7460396048552,NA,NA,NA,NA,NA,NA,22.7556396404205,19.825586546969,NA,NA,NA,NA,NA
"sp|P13645|K1C10_HUMAN;CON__P13645;CON__P02535-1;sp|Q7Z3Z0|K1C25_HUMAN;CON__Q7Z3Z0;sp|Q7Z3Y8|K1C27_HUMAN;CON__Q7Z3Y8;sp|Q7Z3Y7|K1C28_HUMAN;CON__Q148H6;CON__Q7Z3Y7",17,7,15,17,10,9,15,12,17,13,14,13,9,13,9,7,8,11,8,10,11,9,15,9,9,10,11,12,5,11,7,12,16,13,15,5,9,9,0.642584921396335,0.76278994865302,27.180245600061,24.6505031017851,25.0237534018853,25.6400532131393,24.7240674637697,25.7054317756834,22.6665719474892,25.2215914439798,24.475341885501,24.1782877851807,26.3540938196965,27.2760708268624,23.4443194232055,24.2518586422811,25.4090720786733,24.7109706498712,25.8618908859138,25.533193117378,26.3076757478963,23.7688069624154,25.6619971219295,24.5554583723301,23.4391857960331,24.3799572984796,24.9270127825961,23.9632812353573,24.9512134094798,24.8758362797203,23.9684111372629,24.073976598434,24.9582650149879,24.9827667156557,25.315919189388,25.9564841288191,22.5671540177205,25.2552541550549,23.5095242499046,24.831476243094
"sp|P13647|K2C5_HUMAN;CON__P13647",3,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.78474376335197,0.871087010041496,21.6951330630166,NA,NA,NA,NA,20.2923379167034,NA,NA,NA,NA,NA,20.3238460522993,NA,NA,NA,NA,19.210450646495,NA,20.2924210288611,NA,19.7374837852375,NA,NA,NA,NA,NA,17.6215043164977,18.3656433754176,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9786112923858
"CON__P13717",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897264275001858,0.938153936927705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3544620118412,NA,NA,NA,NA,20.6655938151983,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7346212139841,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P19013|K2C4_HUMAN;CON__P19013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.639996040895062,0.76056338193252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2366841227341,17.7423525869396,18.32703114967,NA,NA,NA,NA,NA
"sp|P35527|K1C9_HUMAN;CON__P35527",20,9,17,16,3,9,7,11,11,11,16,4,6,16,15,10,8,8,5,13,13,10,10,11,13,9,14,14,12,11,12,11,5,2,9,2,10,3,0.765502395046549,0.856411448646257,27.466141882735,23.5571145930129,25.0504477524042,23.2887006710653,22.462636284617,24.9019582445839,21.8819199239969,26.1514594595394,23.2573949740153,24.3883765428767,26.807531709962,26.9175038908062,23.3500619866291,24.9033114032728,25.2041189814037,25.0806232848607,25.9287429078433,25.3763059772862,26.8214097757731,24.2633357669885,25.9796011507927,26.3830895719981,25.3672368012325,25.0091613622236,25.1703927953867,23.2483655521866,25.5342908983248,25.8831544610417,24.9756052452307,25.1781667458073,25.4040124720952,24.394641888499,26.094333841974,26.7785075211957,25.6766790585787,25.0732813762313,25.2639299225212,24.6070169305047
"sp|P35900|K1C20_HUMAN;CON__P35900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,22.8808681759382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__P35908;sp|Q01546|K22O_HUMAN;CON__Q01546;CON__Q6IFZ6;CON__Q9R0H5;sp|Q7Z794|K2C1B_HUMAN;CON__Q7Z794",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.620852262937589,0.745284678505249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9684242862194,20.7034063943597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P35908|K22E_HUMAN;CON__P35908v2",18,6,18,14,7,8,9,9,13,10,12,11,4,11,5,3,6,6,4,9,8,4,9,4,8,6,9,9,5,7,3,13,8,7,11,3,9,10,0.314115670433446,0.480979054027531,22.6227357607467,NA,NA,NA,NA,NA,NA,20.5632794164562,20.3320885040486,NA,21.5649575503164,21.7295139204204,NA,NA,NA,NA,NA,20.6774229141328,22.3241216589833,NA,19.6656866634839,NA,NA,20.1451064745553,NA,NA,20.8509063443634,20.9082804015984,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9128555415322
"sp|Q04695|K1C17_HUMAN;CON__Q04695",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.301179519339007,0.467303667668121,19.153119227958,NA,NA,18.4328971291148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1840968181043,NA,NA,NA,NA,NA,NA
"sp|Q14CN4|K2C72_HUMAN;CON__Q14CN4-1;CON__Q6IME9;sp|Q3SY84|K2C71_HUMAN;CON__Q3SY84;sp|Q7RTS7|K2C74_HUMAN;CON__Q7RTS7",2,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.882920781353869,0.92896065937565,21.6077245882065,18.6262547926148,NA,NA,NA,NA,NA,NA,17.3677290194808,NA,NA,NA,NA,NA,21.7077626573199,21.3745363797733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q15323|K1H1_HUMAN;CON__Q9UE12;CON__Q15323;sp|O76009|KT33A_HUMAN;CON__Q6NTB9;CON__O76009;sp|Q14532|K1H2_HUMAN;CON__Q14532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7063411926044,NA,NA,NA,NA,NA
"CON__Q3KNV1;sp|P08729|K2C7_HUMAN;CON__P08729",0,0,21,8,0,3,11,9,1,2,1,9,1,0,6,0,0,0,0,0,9,0,0,1,0,2,16,6,0,3,1,6,8,0,5,0,11,18,0.384618378465685,0.548949262541254,NA,24.2490105918596,NA,22.9347801734688,NA,21.7184778967525,NA,24.4091644737065,26.9856705105047,NA,27.6672472224417,23.1599511619358,NA,19.1434294350821,24.4094327975253,21.6587876159136,16.6460092845278,NA,18.7096903094792,19.6191710511609,NA,21.6750488415359,NA,NA,NA,NA,NA,23.6839072329274,NA,19.5566406196099,NA,NA,26.499320145091,22.6882352098354,NA,19.6211659127502,19.5195959031726,21.4072386296543
"CON__Q3SX14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6526332393355,NA,NA,NA,19.0836455090811,NA
"sp|P07951|TPM2_HUMAN;CON__Q3SX28",9,3,7,6,3,4,5,6,6,3,4,6,2,2,4,2,4,3,3,4,4,6,3,2,3,3,11,2,3,1,5,4,4,5,5,3,5,3,0.388936192460608,0.552985241154638,18.7022018887009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6595085880803,NA,19.2358415137005,18.9222999529925,NA,19.4778256973488,NA,19.3086783652899,NA,19.8585367414515,NA,22.9489700779519,NA,NA,NA,NA,NA
"CON__Q3SZR3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8166379109399,NA,NA,NA,19.3841631411669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9804878477629,NA
"CON__Q3ZBD7",1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0.00154339516970979,0.0101979162534685,24.2067422574583,NA,21.8365004781853,NA,NA,NA,22.2751682557747,NA,NA,NA,22.5607083770992,NA,22.9924874939376,NA,23.3007119856073,NA,22.6789146584789,23.2493266227567,22.0381049803712,NA,NA,22.1961551254372,22.2174188150429,21.5627738634052,23.8133882193533,21.2455773026285,23.7019462433869,21.6510751259906,23.2133371944204,21.8160032193304,23.489849794232,18.8005500122135,24.0700085148301,22.1674651895075,24.8656356875642,22.7527199808093,24.359994405622,NA
"CON__Q5XKE5;sp|Q5XKE5|K2C79_HUMAN;CON__Q8VED5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,23.0984340925869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q9NSB2|KRT84_HUMAN;CON__Q9NSB2;CON__Q6ISB0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1256850970826,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q6KB66|K2C80_HUMAN;CON__Q6KB66-1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,18.083664893645,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4454231087344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q9C075|K1C23_HUMAN;CON__Q9C075",0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6266821525775,NA,22.2764970108465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4938454745646,NA,18.1908280351493,NA,NA,NA,NA,NA
"CON__Q9DCV7",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.770633269322036,0.860340548884546,21.8801717721277,NA,NA,NA,NA,NA,20.9506892127771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3725094353438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7029792175925
"REV__sp|Q14525|KT33B_HUMAN;REV__sp|O76009|KT33A_HUMAN;REV__CON__Q6NTB9;REV__CON__Q14525;REV__CON__O76009;REV__sp|Q15323|K1H1_HUMAN;REV__CON__Q9UE12;REV__CON__Q15323",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0.364133140235672,0.529902191289252,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6506135491927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5675173566116,23.9574920459491,NA,22.5516580429157,23.3380579013885,NA,21.8017384039518,NA,22.0955906247008,26.4177158995333,21.4697194231425,25.2153720599266,23.7628391626257,NA,NA,23.3838021227198
"REV__CON__O76011;REV__tr|A0A140TA62|A0A140TA62_HUMAN;REV__sp|O76011|KRT34_HUMAN;REV__CON__Q8IUT8",0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0.251831383078192,0.415821407346173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3548199581739,NA,NA,NA,NA,NA,NA,NA,NA,19.3337596273421,NA,20.4545732933287,17.8785051880986,NA,NA,NA,NA,21.1604539162625,NA,20.5167751688335,NA,NA,NA,NA,NA,NA,20.9109142690817
"REV__sp|Q5VWM3|PRA18_HUMAN;REV__sp|Q5SWL8|PRA19_HUMAN;REV__sp|A3QJZ6|PRA22_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3901257773387,NA,NA,NA,NA,NA,19.9040017729731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REV__sp|A6NC98|CC88B_HUMAN",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.589996065186367,0.721405098013834,NA,NA,17.0129607701508,NA,18.469029289432,NA,NA,NA,NA,NA,NA,NA,18.2561803339214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1721599584657,NA,NA,NA,NA,NA,NA,NA,NA,20.9341889072805,NA,NA,NA,20.1181765081047,NA
"REV__sp|O00429|DNM1L_HUMAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1058303911671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4444949710902,NA,NA
"REV__sp|O43149|ZZEF1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,20.7756620203644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3821796271575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
