task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
458	2c/371a84	5151	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (14)	COMPLETED	0	2022-11-02 06:31:18.540	1m 57s	1m 53s	114.9%	2.1 GB	7.5 GB	646.6 MB	241.2 MB
459	5d/c6954f	7915	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (15)	COMPLETED	0	2022-11-02 06:33:15.122	1m 48s	1m 45s	118.1%	2.1 GB	7.5 GB	641.9 MB	241.1 MB
460	2f/b708d9	10476	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (16)	COMPLETED	0	2022-11-02 06:35:02.922	1m 50s	1m 47s	119.0%	2.1 GB	7.5 GB	648 MB	239.8 MB
461	73/392cfa	13120	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (17)	COMPLETED	0	2022-11-02 06:36:53.018	1m 48s	1m 45s	116.7%	2.1 GB	7.5 GB	668 MB	252.9 MB
462	ac/0ca0b0	15684	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (18)	COMPLETED	0	2022-11-02 06:38:40.963	1m 52s	1m 49s	118.7%	2.1 GB	7.5 GB	651.9 MB	244 MB
463	2e/fc1b6b	18411	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (19)	COMPLETED	0	2022-11-02 06:40:32.729	2m 3s	2m	113.9%	2.2 GB	7.4 GB	737.7 MB	289.7 MB
464	80/45b67d	21262	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (20)	COMPLETED	0	2022-11-02 06:42:35.496	1m 48s	1m 45s	120.5%	2.2 GB	7.5 GB	647.8 MB	241.4 MB
465	98/63e40b	23828	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (21)	COMPLETED	0	2022-11-02 06:44:23.896	1m 44s	1m 41s	117.2%	2.1 GB	7.4 GB	671 MB	255.6 MB
466	97/89bcaa	26307	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (22)	COMPLETED	0	2022-11-02 06:46:07.709	1m 51s	1m 48s	116.7%	2.1 GB	7.4 GB	678.9 MB	259.8 MB
467	6e/6ab308	28947	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (23)	COMPLETED	0	2022-11-02 06:47:58.432	1m 48s	1m 45s	119.0%	2.1 GB	7.5 GB	634.2 MB	234.8 MB
468	ee/553eba	31515	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (24)	COMPLETED	0	2022-11-02 06:49:46.599	1m 53s	1m 50s	117.3%	2.1 GB	7.5 GB	669.7 MB	253.7 MB
469	2a/d32351	1801	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (25)	COMPLETED	0	2022-11-02 06:51:39.599	1m 55s	1m 51s	114.9%	2.1 GB	7.5 GB	680.5 MB	259 MB
470	b9/6b2d41	4673	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (26)	COMPLETED	0	2022-11-02 06:53:34.345	1m 35s	1m 31s	122.1%	2.1 GB	7.4 GB	631.4 MB	233.2 MB
471	d3/3860b8	7110	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (27)	COMPLETED	0	2022-11-02 06:55:09.312	1m 54s	1m 50s	118.2%	2.1 GB	7.4 GB	676.3 MB	256.4 MB
472	37/751405	9768	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (28)	COMPLETED	0	2022-11-02 06:57:03.345	1m 59s	1m 55s	116.8%	2.1 GB	7.4 GB	686.5 MB	263 MB
473	fa/4ebe44	12488	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (29)	COMPLETED	0	2022-11-02 06:59:02.323	1m 58s	1m 54s	117.4%	2.1 GB	7.5 GB	648.3 MB	248.1 MB
474	10/5003fc	15251	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (30)	COMPLETED	0	2022-11-02 07:01:00.026	1m 46s	1m 43s	117.6%	2.1 GB	7.5 GB	641.7 MB	244 MB
475	ae/3cf2b7	17832	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (31)	COMPLETED	0	2022-11-02 07:02:45.615	1m 50s	1m 47s	119.2%	2.1 GB	7.4 GB	679.4 MB	264.4 MB
476	8a/2aa988	20533	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (32)	COMPLETED	0	2022-11-02 07:04:35.482	1m 53s	1m 50s	115.4%	2.1 GB	7.4 GB	711.6 MB	282.6 MB
477	c7/24eab0	23186	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (33)	COMPLETED	0	2022-11-02 07:06:28.782	1m 51s	1m 47s	114.6%	2.1 GB	7.4 GB	719.8 MB	287.8 MB
478	22/68f5b1	25869	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (34)	COMPLETED	0	2022-11-02 07:08:19.504	1m 53s	1m 49s	117.4%	2.1 GB	7.5 GB	675.5 MB	261.5 MB
479	8c/ece607	28565	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (35)	COMPLETED	0	2022-11-02 07:10:12.193	1m 41s	1m 37s	120.6%	2.1 GB	7.4 GB	601.6 MB	218.1 MB
480	90/9c7c9d	31046	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (36)	COMPLETED	0	2022-11-02 07:11:52.883	2m 8s	2m 5s	113.5%	2.1 GB	7.4 GB	691.6 MB	271.1 MB
481	07/55f033	1629	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (37)	COMPLETED	0	2022-11-02 07:14:00.934	1m 42s	1m 39s	122.8%	2.1 GB	7.5 GB	643.7 MB	243.5 MB
482	71/8623bf	4363	NFCORE_WOMBAT:WOMBAT:COMPOMICS:PEPTIDESHAKER_REPORT (38)	COMPLETED	0	2022-11-02 07:15:42.779	2m 1s	1m 58s	116.1%	2.2 GB	7.5 GB	690.1 MB	269.4 MB
483	e4/938db8	7210	NFCORE_WOMBAT:WOMBAT:PROLINE:POLYSTEST (1)	COMPLETED	0	2022-11-02 07:17:44.085	7m 41s	6m 28s	22.0%	2.6 GB	3.3 GB	133.7 MB	96.4 MB
484	6a/151b3b	12226	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (13)	COMPLETED	0	2022-11-02 07:25:25.235	11.2s	7.1s	74.3%	174.9 MB	725.2 MB	29 MB	15.8 MB
485	ae/e2ed66	12837	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (14)	COMPLETED	0	2022-11-02 07:25:36.468	8.7s	5.2s	103.1%	168.4 MB	719.4 MB	28.9 MB	15.6 MB
486	e8/a01443	13337	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (15)	COMPLETED	0	2022-11-02 07:25:45.179	9s	5.6s	97.7%	181.2 MB	731.8 MB	29.8 MB	16.5 MB
487	22/cf99ad	13897	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (16)	COMPLETED	0	2022-11-02 07:25:54.144	8.2s	4.8s	103.3%	170 MB	720.5 MB	27.8 MB	14.7 MB
488	b1/bb9818	14406	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (17)	COMPLETED	0	2022-11-02 07:26:02.349	8.8s	5.4s	102.4%	209.2 MB	759.7 MB	29.4 MB	16.2 MB
489	00/5a8fe2	14960	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (18)	COMPLETED	0	2022-11-02 07:26:11.130	7.9s	4.5s	102.3%	169.6 MB	720.3 MB	27 MB	14 MB
490	5a/780d36	15467	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (19)	COMPLETED	0	2022-11-02 07:26:19.042	8.6s	4.9s	103.3%	169.2 MB	719.9 MB	27.8 MB	14.6 MB
491	e1/92a781	15971	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (20)	COMPLETED	0	2022-11-02 07:26:27.606	8.5s	5.2s	101.6%	167.5 MB	718.4 MB	28.6 MB	15.5 MB
492	3a/dc03d1	16482	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (21)	COMPLETED	0	2022-11-02 07:26:36.095	8.6s	5.3s	101.8%	216.7 MB	767.4 MB	29.3 MB	16.1 MB
493	1d/7bd765	17042	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (22)	COMPLETED	0	2022-11-02 07:26:44.699	8.4s	4.7s	103.2%	170.6 MB	721.7 MB	27.5 MB	14.5 MB
494	b6/4f6879	17556	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (23)	COMPLETED	0	2022-11-02 07:26:53.130	8.6s	5.2s	102.1%	223.7 MB	774.3 MB	29.2 MB	16.1 MB
495	72/e66779	18114	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (24)	COMPLETED	0	2022-11-02 07:27:01.766	8.7s	5.3s	101.9%	223.8 MB	774.2 MB	29.2 MB	16 MB
496	c1/a5848c	18673	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (25)	COMPLETED	0	2022-11-02 07:27:10.431	8.7s	5.3s	102.4%	226.1 MB	776.5 MB	29.6 MB	16.4 MB
497	a2/c2f443	19235	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (26)	COMPLETED	0	2022-11-02 07:27:19.085	8.4s	4.9s	102.9%	167.5 MB	717.9 MB	27.7 MB	14.7 MB
498	d9/52d7e1	19741	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (27)	COMPLETED	0	2022-11-02 07:27:27.473	11.1s	5.4s	99.7%	207.6 MB	758.2 MB	28.6 MB	15.5 MB
499	71/c56faa	22016	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (28)	COMPLETED	0	2022-11-02 07:27:38.622	10.7s	5.9s	101.5%	180.7 MB	731.6 MB	30.7 MB	17.3 MB
500	19/7e04a7	22611	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (29)	COMPLETED	0	2022-11-02 07:27:49.345	8.9s	5.4s	102.8%	190 MB	740.6 MB	29.4 MB	16 MB
501	7f/d1101a	23182	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (30)	COMPLETED	0	2022-11-02 07:27:58.201	8.5s	5s	103.5%	168.7 MB	719.2 MB	28.7 MB	15.6 MB
502	5f/d6ef6f	23710	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (31)	COMPLETED	0	2022-11-02 07:28:06.736	8.6s	5.1s	103.0%	169.2 MB	719.9 MB	28.7 MB	15.6 MB
503	b9/6f22df	24227	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (32)	COMPLETED	0	2022-11-02 07:28:15.300	8.4s	4.8s	103.5%	170.8 MB	721.3 MB	28 MB	15 MB
504	18/679239	24735	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (33)	COMPLETED	0	2022-11-02 07:28:23.716	8.7s	5.4s	102.3%	209.5 MB	760.3 MB	29.6 MB	16.3 MB
505	d0/54f42a	25289	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (34)	COMPLETED	0	2022-11-02 07:28:32.445	8.6s	5.3s	103.5%	223.6 MB	774.3 MB	29.8 MB	16.5 MB
506	1b/37e129	25847	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (35)	COMPLETED	0	2022-11-02 07:28:41.092	8.9s	5.6s	102.6%	184.2 MB	734.9 MB	30.9 MB	17.4 MB
507	34/57e7fc	26403	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (36)	COMPLETED	0	2022-11-02 07:28:49.987	8.7s	5.3s	102.6%	226.2 MB	776.7 MB	30 MB	16.7 MB
508	65/5db7f1	26965	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (37)	COMPLETED	0	2022-11-02 07:28:58.693	8.3s	4.9s	103.0%	170.5 MB	721 MB	28.1 MB	15.1 MB
509	2b/6f7206	27470	NFCORE_WOMBAT:WOMBAT:TPP:PROTXML2CSV (38)	COMPLETED	0	2022-11-02 07:29:07.155	9.1s	5.6s	102.6%	183.8 MB	734.5 MB	30.9 MB	17.5 MB
510	da/8d96d3	28026	NFCORE_WOMBAT:WOMBAT:COMPOMICS:FLASHLFQ	COMPLETED	0	2022-11-02 07:29:16.252	19m 1s	18m 56s	161.0%	2.5 GB	4 GB	19.7 GB	3.1 GB
511	78/fa12ce	7766	NFCORE_WOMBAT:WOMBAT:PROLINE:CONVERT_POLYSTEST (1)	COMPLETED	0	2022-11-02 07:48:17.435	14.7s	10s	78.9%	317.8 MB	801.8 MB	61 MB	13.5 MB
512	f1/a22267	8617	NFCORE_WOMBAT:WOMBAT:TPP:MERGEOUTPUT	COMPLETED	0	2022-11-02 07:48:32.196	21.7s	16.5s	75.0%	214.6 MB	509.5 MB	74 MB	15 MB
513	60/ff1916	9647	NFCORE_WOMBAT:WOMBAT:COMPOMICS:MSQROB	COMPLETED	0	2022-11-02 07:48:53.930	9m 17s	9m 13s	99.8%	1.4 GB	2.1 GB	95.1 MB	14.7 MB
516	8e/d0396b	16388	NFCORE_WOMBAT:WOMBAT:CALCBENCHMARKS_COMPOMICS	COMPLETED	0	2022-11-02 07:58:11.932	11.4s	5.6s	50.7%	148.4 MB	634.8 MB	76.7 MB	28 MB
514	e7/608a24	16352	NFCORE_WOMBAT:WOMBAT:CALCBENCHMARKS_PROLINE (1)	COMPLETED	0	2022-11-02 07:58:10.924	12.5s	5.6s	49.1%	146.3 MB	632.9 MB	73.2 MB	26.7 MB
515	24/58c29f	17499	NFCORE_WOMBAT:WOMBAT:TPP:ROTS	COMPLETED	0	2022-11-02 07:58:23.465	2m 32s	2m 27s	98.9%	305.4 MB	792.9 MB	16.7 MB	2.7 MB
517	0e/fdd0b3	20806	NFCORE_WOMBAT:WOMBAT:CALCBENCHMARKS_TPP	COMPLETED	0	2022-11-02 08:00:55.066	3.9s	663ms	117.9%	3 MB	5.4 MB	37.4 MB	15 MB
